Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
GC=F,Gold (黃金),Other,Other,4484.1,190510.0,327.34,0.78,3.66,7.09,0.85,0.85,0.85
BRBR,BRBR,Consumer Defensive,Packaged Foods,24.76,3846818.0,1.02,7.42,-7.37,-18.85,0.1,0.1,0.1
CL=F,Crude Oil (原油),Other,Other,58.64,289322.0,1.17,4.73,2.12,-0.41,0.02,0.02,0.02
^GSPC,S&P 500,Index,Market Index,6921.46,3184872000.0,0.67,0.01,1.11,1.09,22043.96,22043.96,22043.96
NVDA,NVIDIA,Technology,Semiconductors,185.04,163531152.0,1.05,-2.15,-0.78,-0.27,30.26,30.26,30.26
BMNR,BMNR,Financial Services,Capital Markets,31.28,35399073.0,0.78,3.03,15.21,-12.72,1.11,1.11,1.11
MUR,MUR,Energy,Oil & Gas E&P,32.74,2801790.0,1.25,9.43,4.77,1.08,0.09,0.09,0.09
^SOX,PHLX Semi,Index,Market Index,7436.1,0.0,0.0,-1.83,4.98,0.83,0.0,0.0,0.0
APA,APA,Energy,Oil & Gas E&P,25.37,8667124.0,1.64,8.47,3.72,-2.95,0.22,0.22,0.22
VG,VG,Energy,Oil & Gas Midstream,7.52,14675440.0,1.27,10.26,10.26,13.94,0.11,0.11,0.11
BBAI,BBAI,Technology,Information Technology Services,6.17,58187734.0,0.9,3.01,14.26,-5.95,0.36,0.36,0.36
AAL,AAL,Industrials,Airlines,15.73,45094638.0,0.76,-1.63,2.61,5.85,0.71,0.71,0.71
ONDS,ONDS,Technology,Communication Equipment,14.01,134463281.0,1.12,15.02,43.55,55.32,1.88,1.88,1.88
TGLS,TGLS,Basic Materials,Building Materials,51.23,334250.0,0.96,6.86,1.81,0.22,0.02,0.02,0.02
^DJI,Dow Jones,Index,Market Index,49266.11,515075686.0,1.06,0.55,2.5,3.2,25375.78,25375.78,25375.78
KTOS,KTOS,Industrials,Aerospace & Defense,104.04,9570680.0,3.08,13.78,37.06,35.06,1.0,1.0,1.0
WLK,WLK,Basic Materials,Specialty Chemicals,79.53,1093622.0,0.95,6.79,7.56,17.61,0.09,0.09,0.09
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,435.8,55121032.0,0.78,1.02,-3.1,-0.86,24.02,24.02,24.02
ACHR,ACHR,Industrials,Aerospace & Defense,8.71,48426003.0,1.15,3.44,15.82,1.16,0.42,0.42,0.42
