Code,Name,Theme,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Vol_Chg%,Weekly_Vol_Chg%,Monthly_Vol_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
PONY,Pony AI Inc.,🚀 漲幅排行,16.07,4935600.0,1.28,10.83,2.49,13.25,30.6,144.41,-5.38,0.08,0.08,0.08
CRWV,"CoreWeave, Inc.",🚀 漲幅排行,79.32,30002200.0,2.1,10.77,0.57,4.33,65.55,151.64,17.4,2.38,2.38,2.38
AAPL,Apple,消費電,271.01,37822400.0,1.68,-0.31,-1.02,-5.3,38.58,111.17,-29.53,10.25,10.25,10.25
ONDS,Ondas Holdings Inc.,🔥 交易熱門,11.02,135614100.0,2.13,12.91,20.7,36.56,-13.25,419.36,49.62,1.49,1.49,1.49
GLXY,Galaxy Digital,🚀 漲幅排行,24.75,7073500.0,2.19,10.69,1.31,-2.41,77.46,318.9,17.84,0.18,0.18,0.18
AAL,American Airlines Group Inc.,🔥 交易熱門,15.48,43915200.0,1.23,0.98,-1.28,8.71,58.53,74.42,-32.0,0.68,0.68,0.68
BTC-USD,Bitcoin,加密幣,89977.2,35188047872.0,0.96,0.04,3.26,-0.36,-24.16,-27.31,-45.22,3166122.13,3166122.13,3166122.13
SNDK,Sandisk Corporation,🚀 漲幅排行,275.24,11059400.0,2.0,15.95,10.06,34.03,164.55,96.0,-0.33,3.04,3.04,3.04
SOFI,"SoFi Technologies, Inc.",🔥 交易熱門,27.46,54964500.0,2.15,4.89,-0.07,-6.95,61.33,281.04,-8.0,1.51,1.51,1.51
EOSE,"Eos Energy Enterprises, Inc.",🚀 漲幅排行,12.97,15197200.0,1.68,13.18,7.9,1.49,71.46,118.42,-19.14,0.2,0.2,0.2
^VIX,VIX,恐慌,14.51,0.0,0.0,-2.94,7.72,-12.54,0.0,0.0,0.0,0.0,0.0,0.0
TSLA,Tesla,電動車,438.07,85263000.0,1.55,-2.59,-9.75,2.06,73.73,106.52,22.97,37.35,37.35,37.35
NVDA,NVIDIA,AI,188.85,147941400.0,1.36,1.26,0.13,4.07,23.18,125.77,-18.99,27.94,27.94,27.94
AMD,AMD,晶片,223.47,36402400.0,2.33,4.35,3.92,3.82,106.93,357.5,-13.33,8.13,8.13,8.13
