Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
FLY,FLY,Industrials,Aerospace & Defense,29.35,3826384.0,0.99,16.47,-3.26,8.54,0.11,0.11,0.11
GC=F,Gold (黃金),Other,Other,5176.0,314525.0,463.35,1.9,8.75,15.52,1.63,1.63,1.63
GRAB,GRAB,Technology,Software - Application,4.69,62291706.0,1.12,2.85,3.99,-8.58,0.29,0.29,0.29
IREN,IREN,Financial Services,Capital Markets,59.99,54028136.0,1.13,14.57,10.56,42.9,3.24,3.24,3.24
WULF,WULF,Financial Services,Capital Markets,15.31,37773613.0,1.54,11.02,14.85,24.37,0.58,0.58,0.58
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,136.83,11780815.0,0.69,1.48,4.88,14.77,1.61,1.61,1.61
BTC-USD,Bitcoin,Crypto,Cryptocurrency,89054.09,37791326208.0,1.11,0.89,-0.46,-4.99,3365472.31,3365472.31,3365472.31
SYY,SYY,Consumer Defensive,Food Distribution,83.92,10024405.0,2.67,10.96,9.67,13.02,0.84,0.84,0.84
V,Visa,Financial Services,Credit Services,325.26,5230374.0,0.7,-0.98,-0.17,-8.41,1.7,1.7,1.7
NU,NU,Financial Services,Banks - Regional,18.55,42232424.0,0.64,2.04,9.31,10.81,0.78,0.78,0.78
SMCI,Super Micro,Technology,Computer Hardware,31.2,20605508.0,0.64,1.3,-0.67,2.13,0.64,0.64,0.64
AVGO,Broadcom,Technology,Semiconductors,332.79,23014954.0,0.8,2.44,0.06,-4.98,7.66,7.66,7.66
HYMC,HYMC,Basic Materials,Gold,54.85,7291536.0,0.89,10.61,28.24,119.75,0.4,0.4,0.4
DIS,Disney,Communication Services,Entertainment,110.61,8888859.0,0.86,-0.63,0.24,-3.38,0.98,0.98,0.98
KVUE,KVUE,Consumer Defensive,Household & Personal Products,17.5,78708679.0,1.36,-0.79,-0.51,1.69,1.38,1.38,1.38
KC,KC,Technology,Software - Application,14.51,3687840.0,3.52,8.77,27.95,35.99,0.05,0.05,0.05
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1039.51,2186067.0,0.81,-2.19,-0.17,-3.48,2.27,2.27,2.27
ADBE,Adobe,Technology,Software - Application,297.42,3987222.0,0.76,-2.4,2.43,-15.74,1.19,1.19,1.19
ERAS,ERAS,Healthcare,Biotechnology,10.5,5350002.0,0.6,9.26,7.03,206.12,0.06,0.06,0.06
TXN,Texas Inst,Technology,Semiconductors,196.63,9607145.0,1.2,0.02,3.71,11.01,1.89,1.89,1.89
T,T,Communication Services,Telecom Services,23.0,60417149.0,1.49,-1.92,-1.92,-6.73,1.39,1.39,1.39
ONDS,ONDS,Technology,Communication Equipment,12.26,91837129.0,0.8,9.86,-6.63,34.28,1.13,1.13,1.13
NFLX,Netflix,Communication Services,Entertainment,85.58,37491468.0,0.45,-0.14,-1.93,-8.61,3.21,3.21,3.21
META,Meta,Communication Services,Internet Content & Information,672.97,13139173.0,0.73,0.09,11.4,0.81,8.84,8.84,8.84
INTC,Intel,Technology,Semiconductors,43.93,115107874.0,0.57,3.39,-9.53,21.49,5.06,5.06,5.06
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.41,93933980.0,0.73,4.78,4.33,14.76,0.23,0.23,0.23
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,238.46,11849878.0,1.04,7.0,7.22,34.47,2.83,2.83,2.83
APLD,APLD,Technology,Information Technology Services,41.35,45892369.0,1.13,14.29,16.61,60.77,1.9,1.9,1.9
CRWV,CoreWeave,Technology,Software - Infrastructure,108.86,45427841.0,1.55,10.73,14.32,38.02,4.95,4.95,4.95
^DJI,Dow Jones,Index,Market Index,49003.41,533026252.0,1.01,-0.83,1.06,0.56,26120.1,26120.1,26120.1
BBD,BBD,Financial Services,Banks - Regional,4.14,60810902.0,1.25,4.28,15.97,23.21,0.25,0.25,0.25
LEU,LEU,Energy,Uranium,309.39,1273363.0,0.88,9.83,-2.07,18.91,0.39,0.39,0.39
UNH,UNH,Healthcare,Healthcare Plans,282.7,65272338.0,7.5,-19.61,-16.47,-13.7,18.45,18.45,18.45
MSFT,Microsoft,Technology,Software - Infrastructure,480.58,29078464.0,0.93,2.19,5.73,-1.52,13.97,13.97,13.97
JPM,JPMorgan,Financial Services,Banks - Diversified,300.31,9686247.0,0.86,-0.24,-0.8,-8.77,2.91,2.91,2.91
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,430.9,36827538.0,0.6,-0.99,2.78,-11.23,15.87,15.87,15.87
RGC,RGC,Healthcare,Drug Manufacturers - Specialty & Generic,32.05,555873.0,0.78,9.76,31.78,30.28,0.02,0.02,0.02
BBAI,BBAI,Technology,Information Technology Services,6.16,88557419.0,0.98,7.69,3.7,2.16,0.55,0.55,0.55
CVS,CVS,Healthcare,Healthcare Plans,72.0,41993386.0,4.93,-14.15,-10.1,-9.0,3.02,3.02,3.02
JNJ,J&J,Healthcare,Drug Manufacturers - General,224.44,6976710.0,0.63,1.33,2.86,8.02,1.57,1.57,1.57
CIFR,CIFR,Financial Services,Capital Markets,18.75,37357718.0,1.11,13.71,4.63,15.6,0.7,0.7,0.7
TSM,TSMC,Technology,Semiconductors,338.34,9928999.0,0.67,1.69,3.42,13.23,3.36,3.36,3.36
RDW,RDW,Industrials,Aerospace & Defense,14.2,94347411.0,2.52,29.56,33.21,81.59,1.34,1.34,1.34
CPNG,CPNG,Consumer Cyclical,Internet Retail,20.09,57276368.0,2.41,2.66,-1.9,-11.89,1.15,1.15,1.15
HL,HL,Basic Materials,Other Precious Metals & Mining,28.31,39768561.0,1.04,-5.54,0.25,42.76,1.13,1.13,1.13
PANW,Palo Alto,Technology,Software - Infrastructure,183.5,5008078.0,0.79,-0.39,-0.3,-1.99,0.92,0.92,0.92
DNN,DNN,Energy,Uranium,3.94,44511195.0,0.74,6.49,6.78,42.24,0.18,0.18,0.18
