Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
NU,NU,Financial Services,Banks - Regional,17.94,67861646.0,3.12,5.41,7.04,2.87,1.22,1.22,1.22
NVTS,NVTS,Technology,Semiconductors,9.05,41158022.0,3.03,8.0,22.3,4.14,0.37,0.37,0.37
AMD,AMD,Technology,Semiconductors,221.08,31162937.0,1.46,-1.07,2.83,1.6,6.89,6.89,6.89
MSFT,Microsoft,Technology,Software - Infrastructure,472.85,24752522.0,1.65,-0.02,-3.05,-1.02,11.7,11.7,11.7
AVGO,Broadcom,Technology,Semiconductors,343.42,30887208.0,1.64,-1.21,-2.47,-9.77,10.61,10.61,10.61
QXO,QXO,Industrials,Industrial Distribution,23.3,25185506.0,3.71,18.15,9.7,16.5,0.59,0.59,0.59
VICR,VICR,Technology,Electronic Components,133.64,2093901.0,4.09,14.36,20.37,43.98,0.28,0.28,0.28
KTOS,KTOS,Industrials,Aerospace & Defense,89.93,4356105.0,2.5,13.42,15.74,23.56,0.39,0.39,0.39
NIO,NIO,Consumer Cyclical,Auto Manufacturers,4.86,74168424.0,1.15,-5.45,-4.71,1.46,0.36,0.36,0.36
HUT,HUT,Financial Services,Capital Markets,58.25,9811367.0,2.36,13.61,17.34,45.55,0.57,0.57,0.57
CIFR,CIFR,Financial Services,Capital Markets,18.16,26580186.0,1.47,12.1,19.55,-2.52,0.48,0.48,0.48
OSCR,OSCR,Healthcare,Healthcare Plans,16.57,11686562.0,1.92,10.69,11.13,-3.1,0.19,0.19,0.19
OPEN,OPEN,Real Estate,Real Estate Services,6.32,52696874.0,1.21,4.12,5.16,-8.93,0.33,0.33,0.33
^VIX,VIX,Index,Market Index,14.9,0.0,0.0,2.69,9.56,-7.34,0.0,0.0,0.0
RKT,RKT,Financial Services,Mortgage Finance,21.1,41402956.0,2.19,6.14,8.71,7.05,0.87,0.87,0.87
KVUE,KVUE,Consumer Defensive,Household & Personal Products,16.82,47207999.0,2.39,-2.89,-2.15,-0.88,0.79,0.79,0.79
AVAV,AVAV,Industrials,Aerospace & Defense,297.41,2339493.0,3.35,16.09,16.63,9.43,0.7,0.7,0.7
FIGR,FIGR,Financial Services,Capital Markets,53.22,7057487.0,5.37,21.67,20.82,50.42,0.38,0.38,0.38
TSM,TSMC,Technology,Semiconductors,322.25,17378204.0,1.97,0.83,6.41,9.07,5.6,5.6,5.6
SLB,SLB,Energy,Oil & Gas Equipment & Services,43.8,56247010.0,7.01,8.96,15.9,16.64,2.46,2.46,2.46
INTC,INTC,Technology,Semiconductors,39.37,95677780.0,1.74,-0.03,8.76,-10.03,3.77,3.77,3.77
JOBY,JOBY,Industrials,Airports & Air Services,16.04,36689731.0,2.2,11.7,15.56,9.64,0.59,0.59,0.59
DNN,DNN,Energy,Uranium,3.22,61565810.0,1.82,6.27,19.7,19.26,0.2,0.2,0.2
QBTS,QBTS,Technology,Computer Hardware,30.64,45865989.0,1.23,8.92,21.15,22.17,1.41,1.41,1.41
F,F,Consumer Cyclical,Auto Manufacturers,13.47,49292204.0,1.73,0.97,1.2,2.9,0.66,0.66,0.66
IREN,IREN,Financial Services,Capital Markets,48.24,46237083.0,2.05,12.97,19.7,9.74,2.23,2.23,2.23
META,Meta,Communication Services,Internet Content & Information,658.79,12005892.0,1.29,1.29,-0.68,3.0,7.91,7.91,7.91
ONDS,ONDS,Technology,Communication Equipment,12.53,141233701.0,1.65,13.7,47.76,40.47,1.77,1.77,1.77
HAL,HAL,Energy,Oil & Gas Equipment & Services,31.92,43479998.0,8.51,7.84,14.16,16.5,1.39,1.39,1.39
HYMC,HYMC,Basic Materials,Gold,28.15,6607470.0,1.37,15.37,12.55,146.07,0.19,0.19,0.19
HROW,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,54.8,1366115.0,2.7,9.8,9.4,23.09,0.07,0.07,0.07
^SOX,PHLX Semi,Index,Market Index,7446.45,0.0,0.0,1.07,3.31,2.28,0.0,0.0,0.0
SMR,SMR,Industrials,Specialty Industrial Machinery,18.78,67835272.0,2.86,15.14,26.46,-6.75,1.27,1.27,1.27
TXG,TXG,Healthcare,Health Information Services,18.32,2889867.0,1.97,10.23,11.1,2.52,0.05,0.05,0.05
SMCI,Super Micro,Technology,Computer Hardware,30.07,36443229.0,1.64,-2.87,-1.86,-10.72,1.1,1.1,1.1
^GSPC,S&P 500,Index,Market Index,6902.05,3473387000.0,1.03,0.64,-0.4,0.76,23973.49,23973.49,23973.49
UPST,UPST,Financial Services,Credit Services,50.7,9076968.0,1.84,10.6,6.8,11.92,0.46,0.46,0.46
PFE,PFE,Healthcare,Drug Manufacturers - General,25.17,52336988.0,1.76,-0.04,0.32,-1.56,1.32,1.32,1.32
LEU,LEU,Energy,Uranium,300.41,1005074.0,1.39,10.24,18.13,12.05,0.3,0.3,0.3
AMZN,Amazon,Consumer Cyclical,Internet Retail,233.06,45804714.0,1.72,2.9,0.23,0.29,10.68,10.68,10.68
MODG,MODG,Consumer Cyclical,Leisure,12.87,2955161.0,1.82,9.81,9.63,5.41,0.04,0.04,0.04
NVDA,NVIDIA,Technology,Semiconductors,188.12,178569651.0,1.43,-0.39,-1.26,4.75,33.59,33.59,33.59
GOOG,Alphabet,Communication Services,Internet Content & Information,317.32,19301239.0,1.53,0.63,0.75,-1.03,6.12,6.12,6.12
^IXIC,Nasdaq,Index,Market Index,23395.82,7620467000.0,1.2,0.69,-0.84,-0.25,178287.09,178287.09,178287.09
RGC,RGC,Healthcare,Drug Manufacturers - Specialty & Generic,27.04,1849988.0,5.12,31.65,27.79,107.84,0.05,0.05,0.05
UUUU,UUUU,Energy,Uranium,18.47,17491776.0,1.89,10.73,26.16,22.32,0.32,0.32,0.32
AMKR,AMKR,Technology,Semiconductor Equipment & Materials,48.13,7931380.0,3.45,12.14,18.58,9.56,0.38,0.38,0.38
PTRN,PTRN,Technology,Software - Application,12.74,1187492.0,1.93,10.78,7.6,-17.0,0.02,0.02,0.02
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,451.67,67251801.0,1.06,3.1,-4.95,1.1,30.38,30.38,30.38
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,254.92,13602034.0,2.04,7.77,7.61,-7.94,3.47,3.47,3.47
^DJI,Dow Jones,Index,Market Index,48977.18,582850371.0,1.72,1.23,0.55,2.29,28546.37,28546.37,28546.37
BBAI,BBAI,Technology,Information Technology Services,5.88,73385785.0,1.69,0.68,2.62,-3.61,0.43,0.43,0.43
ACHR,ACHR,Industrials,Aerospace & Defense,8.56,53800281.0,2.02,5.29,8.49,2.51,0.46,0.46,0.46
SOFI,SOFI,Financial Services,Credit Services,29.28,73582442.0,2.19,6.63,8.16,0.72,2.15,2.15,2.15
VALE,VALE,Basic Materials,Other Industrial Metals & Mining,13.56,41812248.0,2.58,2.26,2.49,1.95,0.57,0.57,0.57
OKLO,OKLO,Utilities,Utilities - Independent Power Producers,89.34,18072829.0,2.21,14.83,16.15,-7.51,1.61,1.61,1.61
BMNR,BMNR,Financial Services,Capital Markets,33.35,53664940.0,1.46,6.93,17.8,-0.92,1.79,1.79,1.79
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.37,111163428.0,1.38,6.28,14.49,6.28,0.26,0.26,0.26
USAR,USAR,Basic Materials,Other Industrial Metals & Mining,15.8,11646139.0,1.43,11.66,16.95,12.7,0.18,0.18,0.18
AAPL,Apple,Technology,Consumer Electronics,267.26,41463468.0,1.56,-1.38,-2.25,-5.94,11.08,11.08,11.08
NVMI,NVMI,Technology,Semiconductor Equipment & Materials,382.88,643565.0,3.11,10.23,15.7,18.7,0.25,0.25,0.25
BTC-USD,Bitcoin,Crypto,Cryptocurrency,93998.42,53318684672.0,1.82,2.83,7.42,8.77,5011872.22,5011872.22,5011872.22
AAL,AAL,Industrials,Airlines,15.83,55344789.0,1.4,2.26,2.53,8.72,0.88,0.88,0.88
