Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
ONDS,ONDS,Technology,Communication Equipment,12.18,68674546.0,0.59,-5.14,35.48,34.29,0.84,0.84,0.84
NUVL,NUVL,Healthcare,Biotechnology,106.82,882614.0,1.42,9.9,6.42,-2.54,0.09,0.09,0.09
PLTR,PLTR,Technology,Software - Infrastructure,181.68,43446146.0,1.2,1.1,0.46,-0.04,7.89,7.89,7.89
TRMD,TRMD,Energy,Oil & Gas Midstream,22.07,773709.0,1.64,7.82,12.95,3.91,0.02,0.02,0.02
T,T,Communication Services,Telecom Services,23.97,38513476.0,1.06,-1.52,-3.39,-5.18,0.92,0.92,0.92
CRNX,CRNX,Healthcare,Biotechnology,53.34,4604386.0,2.25,16.08,12.56,14.29,0.25,0.25,0.25
RGC,RGC,Healthcare,Drug Manufacturers - Specialty & Generic,52.88,3173431.0,3.94,60.1,130.92,225.62,0.17,0.17,0.17
GOOG,Alphabet,Communication Services,Internet Content & Information,322.43,24308170.0,1.47,2.51,2.51,0.11,7.84,7.84,7.84
RCUS,RCUS,Healthcare,Biotechnology,23.2,1238787.0,0.73,6.96,-0.13,-8.84,0.03,0.03,0.03
INTC,INTC,Technology,Semiconductors,42.63,164442193.0,2.21,6.47,14.29,2.95,7.01,7.01,7.01
RARE,RARE,Healthcare,Biotechnology,24.2,4380692.0,0.84,7.36,6.23,-33.48,0.11,0.11,0.11
SOFI,SOFI,Financial Services,Credit Services,27.0,43226772.0,0.69,0.07,1.66,-2.81,1.17,1.17,1.17
^IXIC,Nasdaq,Index,Market Index,23584.28,7326303000.0,0.97,0.16,0.71,0.03,172785.55,172785.55,172785.55
AMD,AMD,Technology,Semiconductors,210.02,29048477.0,1.02,-2.02,-2.47,-3.65,6.1,6.1,6.1
CMBT,CMBT,Energy,Oil & Gas Midstream,10.58,3268441.0,1.81,7.96,11.02,-2.13,0.03,0.03,0.03
APLS,APLS,Healthcare,Biotechnology,26.49,3433923.0,1.77,10.65,4.95,12.1,0.09,0.09,0.09
VALE,VALE,Basic Materials,Other Industrial Metals & Mining,14.26,59438346.0,2.05,0.64,8.85,10.54,0.85,0.85,0.85
AAPL,Apple,Technology,Consumer Electronics,260.33,45316385.0,1.22,-0.77,-4.67,-6.62,11.8,11.8,11.8
MBLY,MBLY,Consumer Cyclical,Auto Parts,12.24,51061611.0,6.04,0.49,15.36,4.62,0.62,0.62,0.62
LEGN,LEGN,Healthcare,Biotechnology,22.72,3266758.0,1.73,8.29,5.53,-19.23,0.07,0.07,0.07
SNAP,SNAP,Communication Services,Internet Content & Information,8.62,63229023.0,1.79,-1.93,6.82,8.98,0.55,0.55,0.55
SIMO,SIMO,Technology,Semiconductors,121.13,2774373.0,5.95,15.13,33.9,31.36,0.34,0.34,0.34
RVMD,RVMD,Healthcare,Biotechnology,102.71,12760216.0,7.09,28.63,28.92,28.97,1.31,1.31,1.31
EWTX,EWTX,Healthcare,Biotechnology,24.67,1210662.0,1.2,7.54,0.53,4.58,0.03,0.03,0.03
BTC-USD,Bitcoin,Crypto,Cryptocurrency,90988.23,44233883648.0,1.11,-2.92,1.16,5.62,4024762.63,4024762.63,4024762.63
CL=F,Crude Oil (原油),Other,Other,56.3,350174.0,1.6,-1.45,-2.85,-6.29,0.02,0.02,0.02
NVDA,NVIDIA,Technology,Semiconductors,189.11,146469945.0,1.01,1.0,0.84,3.67,27.7,27.7,27.7
HG=F,Copper (銅),Other,Other,5.85,70258.0,50.13,-2.65,2.16,8.72,0.0,0.0,0.0
NVTS,NVTS,Technology,Semiconductors,10.31,36959171.0,1.2,1.18,42.4,8.76,0.38,0.38,0.38
NOK,NOK,Technology,Communication Equipment,6.79,51792242.0,2.36,4.95,4.3,11.86,0.35,0.35,0.35
SRRK,SRRK,Healthcare,Biotechnology,44.23,1292681.0,1.52,7.07,1.4,-1.75,0.06,0.06,0.06
^SOX,PHLX Semi,Index,Market Index,7574.87,0.0,0.0,-0.99,5.66,3.84,0.0,0.0,0.0
DHT,DHT,Energy,Oil & Gas Midstream,13.11,3585926.0,2.01,9.07,7.99,2.74,0.05,0.05,0.05
MIRM,MIRM,Healthcare,Biotechnology,81.98,657291.0,0.73,7.22,3.97,19.71,0.05,0.05,0.05
OLMA,OLMA,Healthcare,Biotechnology,27.07,1697110.0,1.63,8.11,7.98,-0.51,0.05,0.05,0.05
PFE,PFE,Healthcare,Drug Manufacturers - General,25.28,51276071.0,1.3,-0.59,1.16,-2.88,1.3,1.3,1.3
DYN,DYN,Healthcare,Biotechnology,19.39,2110223.0,0.89,7.01,0.99,-4.39,0.04,0.04,0.04
MSFT,Microsoft,Technology,Software - Infrastructure,483.47,25400908.0,1.23,1.04,-0.82,0.06,12.28,12.28,12.28
F,F,Consumer Cyclical,Auto Manufacturers,13.74,50457694.0,1.1,-0.43,3.85,5.45,0.69,0.69,0.69
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.28,80310846.0,0.82,-4.6,17.53,3.64,0.18,0.18,0.18
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,431.41,58880190.0,0.84,-0.36,-5.07,-5.18,25.4,25.4,25.4
FRO,FRO,Energy,Oil & Gas Midstream,23.67,5506471.0,1.94,9.53,8.98,1.24,0.13,0.13,0.13
AMZN,Amazon,Consumer Cyclical,Internet Retail,241.56,41695607.0,1.04,0.26,3.88,5.24,10.07,10.07,10.07
TSM,TSMC,Technology,Semiconductors,318.68,11683209.0,0.89,-2.67,6.38,8.13,3.72,3.72,3.72
OPEN,OPEN,Real Estate,Real Estate Services,6.12,99339021.0,1.95,-11.69,4.79,-14.41,0.61,0.61,0.61
HRC=F,Steel (熱軋鋼),Other,Other,961.0,169.0,3.49,3.33,6.31,5.84,0.0,0.0,0.0
