Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
ORCL,Oracle,Technology,Software - Infrastructure,179.92,24926668.0,1.26,-5.85,-12.1,0.82,4.48,4.48,4.48
^IXIC,Nasdaq,Index,Market Index,22954.32,8018310000.0,0.81,-2.39,-3.28,1.15,184054.87,184054.87,184054.87
GRAB,GRAB,Technology,Software - Application,4.51,66784925.0,1.13,2.97,-7.77,-7.39,0.3,0.3,0.3
TSM,TSMC,Technology,Semiconductors,327.16,22526455.0,1.18,-4.45,-1.39,18.13,7.37,7.37,7.37
KEP,KEP,Utilities,Utilities - Regulated Electric,21.45,950259.0,1.99,14.46,20.91,25.66,0.02,0.02,0.02
ALM,ALM,Basic Materials,Other Industrial Metals & Mining,9.44,7525274.0,2.74,8.88,3.85,20.56,0.07,0.07,0.07
PANW,Palo Alto,Technology,Software - Infrastructure,184.06,7147776.0,1.23,-1.92,-2.55,0.34,1.32,1.32,1.32
^SOX,PHLX Semi,Index,Market Index,7794.19,0.0,0.0,-1.68,1.56,16.41,0.0,0.0,0.0
SKE,SKE,Basic Materials,Other Industrial Metals & Mining,29.14,1472607.0,2.21,8.21,10.17,22.03,0.04,0.04,0.04
CRWV,CoreWeave,Technology,Software - Infrastructure,95.22,25645063.0,0.76,-5.94,5.88,47.51,2.44,2.44,2.44
LITE,LITE,Technology,Communication Equipment,356.83,5195479.0,1.25,10.05,4.99,11.42,1.85,1.85,1.85
ORLA,ORLA,Basic Materials,Gold,16.89,3205549.0,1.78,14.66,14.51,23.83,0.05,0.05,0.05
V,Visa,Financial Services,Credit Services,325.82,6947147.0,0.58,-0.76,-5.06,-5.4,2.26,2.26,2.26
OPEN,OPEN,Real Estate,Real Estate Services,6.39,48839609.0,0.84,-4.2,-8.97,4.41,0.31,0.31,0.31
MA,Mastercard,Financial Services,Credit Services,531.74,3229170.0,0.68,-1.44,-6.1,-5.96,1.72,1.72,1.72
HBM,HBM,Basic Materials,Copper,24.69,9274278.0,1.86,9.73,9.54,30.02,0.23,0.23,0.23
