Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
ADBE,Adobe,Technology,Software - Application,301.07,4328686.0,0.7,0.45,-0.99,-15.79,1.3,1.3,1.3
AMD,AMD,Technology,Semiconductors,259.68,47039039.0,0.97,2.35,13.93,20.81,12.22,12.22,12.22
BTG,BTG,Basic Materials,Gold,5.29,46718685.0,1.01,1.73,14.25,10.21,0.25,0.25,0.25
LYV,LYV,Communication Services,Entertainment,146.97,4596119.0,1.48,6.39,0.85,3.68,0.68,0.68,0.68
BBD,BBD,Financial Services,Banks - Regional,3.95,52972187.0,1.3,2.33,12.54,20.8,0.21,0.21,0.21
META,Meta,Communication Services,Internet Content & Information,658.76,22185431.0,1.37,1.72,6.11,-0.41,14.61,14.61,14.61
LIF,LIF,Technology,Software - Application,68.1,3499573.0,2.96,24.25,13.9,3.64,0.24,0.24,0.24
RDW,RDW,Industrials,Aerospace & Defense,12.52,49107824.0,1.45,4.51,15.29,46.95,0.61,0.61,0.61
PANW,Palo Alto,Technology,Software - Infrastructure,180.18,5764734.0,0.84,-1.15,-4.02,-4.91,1.04,1.04,1.04
V,Visa,Financial Services,Credit Services,326.18,4769373.0,0.58,-0.06,-0.48,-7.36,1.56,1.56,1.56
ERO,ERO,Basic Materials,Copper,32.84,3034740.0,1.63,6.18,9.5,22.4,0.1,0.1,0.1
^VIX,VIX,Index,Market Index,16.09,0.0,0.0,2.88,1.58,14.28,0.0,0.0,0.0
AMZN,Amazon,Consumer Cyclical,Internet Retail,239.16,33511710.0,0.78,2.06,0.41,4.7,8.01,8.01,8.01
AAPL,Apple,Technology,Consumer Electronics,248.04,40981809.0,0.72,-0.12,-3.94,-8.46,10.17,10.17,10.17
DIS,Disney,Communication Services,Entertainment,110.98,8560533.0,0.82,-1.97,-2.14,-1.25,0.95,0.95,0.95
TXN,Texas Inst,Technology,Semiconductors,193.31,6686621.0,0.88,-0.86,2.22,8.1,1.29,1.29,1.29
SI=F,Silver (白銀),Other,Other,103.0,134366.0,323.0,7.32,12.11,51.69,0.01,0.01,0.01
COST,Costco,Consumer Defensive,Discount Stores,983.25,1666783.0,0.54,0.73,2.77,15.68,1.64,1.64,1.64
IPX,IPX,Basic Materials,Other Industrial Metals & Mining,60.11,257694.0,1.59,8.01,28.63,74.48,0.02,0.02,0.02
OPEN,OPEN,Real Estate,Real Estate Services,6.01,63024455.0,1.19,-6.39,-4.6,-6.39,0.38,0.38,0.38
PLTR,Palantir,Technology,Software - Infrastructure,169.6,30021554.0,0.74,2.23,-4.22,-12.57,5.09,5.09,5.09
WMT,Walmart,Consumer Defensive,Discount Stores,117.73,20666544.0,0.19,-0.08,-1.23,4.56,2.43,2.43,2.43
CRML,CRML,Basic Materials,Other Industrial Metals & Mining,20.62,43522217.0,1.26,11.7,19.54,156.47,0.9,0.9,0.9
PSLV,PSLV,Financial Services,Asset Management,33.22,16776362.0,0.78,6.13,9.71,44.94,0.56,0.56,0.56
JPM,JPMorgan,Financial Services,Banks - Diversified,297.72,9155709.0,0.73,-1.95,-3.73,-7.85,2.73,2.73,2.73
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,217.94,9976783.0,0.76,-1.25,0.22,24.35,2.17,2.17,2.17
MU,Micron,Technology,Semiconductors,399.65,34058543.0,0.78,0.52,18.72,44.49,13.61,13.61,13.61
ALM,ALM,Basic Materials,Other Industrial Metals & Mining,11.12,6743116.0,1.08,6.21,23.56,25.79,0.07,0.07,0.07
ORLA,ORLA,Basic Materials,Gold,18.45,2919923.0,1.29,5.91,25.94,28.21,0.05,0.05,0.05
CRWD,CrowdStrike,Technology,Software - Infrastructure,452.49,1760362.0,0.64,-0.28,-0.55,-6.34,0.8,0.8,0.8
USAR,USAR,Basic Materials,Other Industrial Metals & Mining,24.77,25344168.0,1.28,9.07,47.53,76.42,0.63,0.63,0.63
^GSPC,S&P 500,Index,Market Index,6915.61,3223852000.0,0.59,0.03,-0.42,0.54,22294.9,22294.9,22294.9
INTC,Intel,Technology,Semiconductors,45.07,290298816.0,1.77,-17.03,-6.73,23.92,13.08,13.08,13.08
ONDS,ONDS,Technology,Communication Equipment,12.17,78137114.0,0.57,-3.57,-5.07,31.28,0.95,0.95,0.95
MSFT,Microsoft,Technology,Software - Infrastructure,465.95,37533469.0,1.28,3.28,2.03,-3.91,17.49,17.49,17.49
NFLX,Netflix,Communication Services,Entertainment,86.12,60927470.0,0.78,3.09,-2.19,-7.63,5.25,5.25,5.25
BTC-USD,Bitcoin,Crypto,Cryptocurrency,89425.59,38268801024.0,0.93,-0.04,-4.49,-0.58,3422209.95,3422209.95,3422209.95
PYPL,PayPal,Financial Services,Credit Services,56.62,8712086.0,0.54,-0.93,-0.21,-5.41,0.49,0.49,0.49
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1064.29,1887418.0,0.57,-2.12,3.03,-1.13,2.01,2.01,2.01
NVDA,NVIDIA,Technology,Semiconductors,187.67,140475501.0,0.73,1.53,0.33,2.17,26.36,26.36,26.36
MARA,MARA,Financial Services,Capital Markets,10.5,46508246.0,1.01,2.04,-1.5,3.65,0.49,0.49,0.49
TGB,TGB,Basic Materials,Copper,7.63,10757917.0,1.2,5.97,6.71,37.97,0.08,0.08,0.08
GC=F,Gold (黃金),Other,Other,4982.1,270985.0,163.3,1.49,7.92,12.09,1.35,1.35,1.35
IREN,IREN,Financial Services,Capital Markets,56.68,56171542.0,1.21,8.46,9.23,34.82,3.18,3.18,3.18
SLB,SLB,Energy,Oil & Gas Equipment & Services,49.15,39308808.0,1.9,-0.34,5.54,28.23,1.93,1.93,1.93
KVUE,KVUE,Consumer Defensive,Household & Personal Products,17.8,38443181.0,0.68,0.28,3.13,4.64,0.68,0.68,0.68
APLD,APLD,Technology,Information Technology Services,37.69,47498850.0,1.45,8.49,7.01,35.67,1.79,1.79,1.79
HYMC,HYMC,Basic Materials,Gold,50.65,6946945.0,1.19,8.48,46.43,106.57,0.35,0.35,0.35
CRM,Salesforce,Technology,Software - Application,228.05,8658376.0,0.72,-0.02,-2.35,-13.82,1.97,1.97,1.97
USAS,USAS,Basic Materials,Other Industrial Metals & Mining,9.29,12337050.0,1.6,9.55,50.32,59.35,0.11,0.11,0.11
^SOX,PHLX Semi,Index,Market Index,7957.93,0.0,0.0,-1.21,1.54,11.37,0.0,0.0,0.0
BBAI,BBAI,Technology,Information Technology Services,5.82,82701605.0,0.78,-1.85,-5.67,-8.92,0.48,0.48,0.48
CIFR,CIFR,Financial Services,Capital Markets,17.57,41183660.0,1.18,1.04,0.29,7.53,0.72,0.72,0.72
^IXIC,Nasdaq,Index,Market Index,23501.24,7098192000.0,0.76,0.28,-0.12,0.31,166816.34,166816.34,166816.34
GRAB,GRAB,Technology,Software - Application,4.58,62392222.0,0.87,0.66,4.33,-11.58,0.29,0.29,0.29
TSM,TSMC,Technology,Semiconductors,334.87,10665296.0,0.47,2.29,-1.98,14.18,3.57,3.57,3.57
MSTR,MicroStrategy,Technology,Software - Application,163.11,14784668.0,0.77,1.32,-4.56,-0.74,2.41,2.41,2.41
TMC,TMC,Basic Materials,Other Industrial Metals & Mining,9.44,22696929.0,1.46,13.46,27.91,22.44,0.21,0.21,0.21
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,134.97,14063438.0,0.82,1.0,4.52,14.24,1.9,1.9,1.9
MA,Mastercard,Financial Services,Credit Services,524.74,4286393.0,0.99,-1.52,-3.3,-8.85,2.25,2.25,2.25
HUT,HUT,Financial Services,Capital Markets,58.22,6335173.0,1.29,5.62,1.64,15.54,0.37,0.37,0.37
ERIC,ERIC,Technology,Communication Equipment,10.43,32252949.0,2.43,8.87,9.79,7.42,0.34,0.34,0.34
BAH,BAH,Industrials,Consulting Services,102.23,5460644.0,2.67,6.76,5.27,18.2,0.56,0.56,0.56
^DJI,Dow Jones,Index,Market Index,49098.71,460749873.0,0.71,-0.58,-0.7,1.52,22622.22,22622.22,22622.22
CL=F,Crude Oil (原油),Other,Other,61.28,255809.0,0.92,3.23,3.53,5.64,0.02,0.02,0.02
WULF,WULF,Financial Services,Capital Markets,14.12,29098165.0,1.34,9.54,2.1,13.23,0.41,0.41,0.41
HBAN,HBAN,Financial Services,Banks - Regional,17.35,46454506.0,1.07,-1.64,-3.34,-3.18,0.81,0.81,0.81
CLF,CLF,Basic Materials,Steel,15.09,17163039.0,1.03,5.23,5.52,9.83,0.26,0.26,0.26
SMCI,Super Micro,Technology,Computer Hardware,31.7,34245767.0,0.78,-2.31,7.75,2.03,1.09,1.09,1.09
CORT,CORT,Healthcare,Biotechnology,43.98,3646324.0,1.43,6.49,24.27,-48.33,0.16,0.16,0.16
CRWV,CoreWeave,Technology,Software - Infrastructure,92.98,20037617.0,0.66,1.3,-2.14,9.61,1.86,1.86,1.86
IBRX,IBRX,Healthcare,Biotechnology,6.45,74579027.0,0.58,-12.13,63.29,184.14,0.48,0.48,0.48
DNN,DNN,Energy,Uranium,3.9,40046843.0,0.58,-0.51,9.86,40.79,0.16,0.16,0.16
SBSW,SBSW,Basic Materials,Other Precious Metals & Mining,19.45,11838564.0,1.47,7.16,12.88,28.38,0.23,0.23,0.23
FRMI,FRMI,Other,Other,9.8,6593499.0,1.08,6.52,1.14,10.36,0.06,0.06,0.06
HG=F,Copper (銅),Other,Other,5.94,53084.0,63.26,3.38,-0.19,9.18,0.0,0.0,0.0
AVGO,Broadcom,Technology,Semiconductors,320.05,30038573.0,1.06,-1.67,-6.7,-6.27,9.61,9.61,9.61
QCOM,Qualcomm,Technology,Semiconductors,155.82,7012385.0,0.7,-1.25,-3.45,-10.56,1.09,1.09,1.09
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,216.95,12565679.0,1.39,-2.77,-9.33,-12.48,2.73,2.73,2.73
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.5,107203784.0,0.86,-3.47,10.62,18.48,0.27,0.27,0.27
ORCL,Oracle,Technology,Software - Infrastructure,177.16,21447660.0,0.86,-0.57,-6.68,-10.7,3.8,3.8,3.8
VOYG,VOYG,Industrials,Aerospace & Defense,37.09,2902614.0,1.57,7.26,11.89,30.78,0.11,0.11,0.11
HRC=F,Steel (熱軋鋼),Other,Other,943.0,78.0,5.27,0.0,0.43,3.85,0.0,0.0,0.0
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,322.38,6023564.0,0.65,1.13,1.03,24.47,1.94,1.94,1.94
SSL,SSL,Basic Materials,Specialty Chemicals,7.47,2293444.0,0.99,5.96,4.48,22.46,0.02,0.02,0.02
JNJ,J&J,Healthcare,Drug Manufacturers - General,220.14,5162097.0,0.43,0.76,0.26,6.18,1.14,1.14,1.14
NU,NU,Financial Services,Banks - Regional,18.04,59746466.0,1.02,0.22,8.61,8.54,1.08,1.08,1.08
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,449.06,56314964.0,0.9,-0.07,2.39,-8.12,25.29,25.29,25.29
GOOG,Alphabet,Communication Services,Internet Content & Information,328.43,18912084.0,0.87,-0.73,-1.42,5.49,6.21,6.21,6.21
