symbol,added_date
2337.TW,2026-02-01
2344.TW,2026-02-01
2408.TW,2026-02-01
2451.TW,2026-02-01
4967.TW,2026-02-01
5289.TWO,2026-02-01
6770.TW,2026-02-01
8299.TWO,2026-02-01
