Date,Code,Name,EntryPrice,PctChange,Note
2025-12-02,1304,台聚,12.25,9.87,漲停
2025-12-02,1308,亞聚,14.55,9.81,漲停
2025-12-02,1309,台達化,12.45,9.69,漲停
2025-12-02,2491,吉祥全,18.15,10.0,漲停
2025-12-02,3229,晟鈦,16.5,10.0,漲停
2025-12-02,3272,東碩,20.4,9.97,漲停
2025-12-02,3321,同泰,17.99,9.84,漲停
2025-12-02,3354,律勝,18.6,9.73,漲停
2025-12-02,3454,晶睿,93.6,9.99,漲停
2025-12-02,3628,盈正,81.9,9.93,漲停
2025-12-02,4939,亞電,38.8,9.92,漲停
2025-12-02,5340,建榮,67.1,10.0,漲停
2025-12-02,5468,凱鈺,21.25,9.82,漲停
2025-12-02,5475,德宏,63.8,10.0,漲停
2025-12-02,5481,新華,22.95,9.81,漲停
2025-12-02,6156,松上,21.9,9.77,漲停
2025-12-02,6163,華電網,44.15,9.96,漲停
2025-12-02,6265,方土昶,19.3,9.97,漲停
2025-12-02,6418,詠昇,49.5,10.0,漲停
2025-12-02,6431,光麗-KY,24.3,9.95,漲停
2025-12-02,6465,威潤,24.95,9.91,漲停
2025-12-02,6588,東典光電,37.75,9.9,漲停
2025-12-02,6923,中台,110.5,9.95,漲停
2025-12-02,7728,光焱科技,404.0,9.93,漲停
2025-12-02,7751,竑騰,581.0,9.83,漲停
2025-12-02,7810,捷創科技,201.0,10.44,漲停
2025-12-03,2349,錸德,9.9,10.0,漲停
2025-12-03,2491,吉祥全,19.95,9.92,漲停
2025-12-03,3135,凌航,63.4,9.92,漲停
2025-12-03,3229,晟鈦,18.15,10.0,漲停
2025-12-03,3236,千如,28.4,9.86,漲停
2025-12-03,3354,律勝,20.45,9.95,漲停
2025-12-03,3363,上詮,418.0,10.0,漲停
2025-12-03,3438,類比科,57.4,9.96,漲停
2025-12-03,3494,誠研,7.5,9.97,漲停
2025-12-03,3530,晶相光,66.1,9.98,漲停
2025-12-03,3685,元創精密,39.3,9.93,漲停
2025-12-03,4971,IET-KY,205.0,9.92,漲停
2025-12-03,5210,寶碩,24.0,9.84,漲停
2025-12-03,5228,鈺鎧,18.9,9.88,漲停
2025-12-03,5328,華容,22.15,9.93,漲停
2025-12-03,5475,德宏,70.1,9.87,漲停
2025-12-03,6127,九豪,29.8,9.96,漲停
2025-12-03,6155,鈞寶,44.05,9.99,漲停
2025-12-03,6431,光麗-KY,26.7,9.88,漲停
2025-12-03,6432,今展科,35.8,9.98,漲停
2025-12-03,6706,惠特,100.0,9.77,漲停
2025-12-03,6739,竹陞科技,717.0,9.97,漲停
2025-12-03,6831,邁科,256.0,9.87,漲停
2025-12-03,7728,光焱科技,444.0,9.9,漲停
2025-12-03,8042,金山電,59.6,9.96,漲停
2025-12-03,8043,蜜望實,85.3,9.92,漲停
2025-12-03,8111,立碁,74.9,9.99,漲停
2025-12-03,8121,越峰,28.65,9.98,漲停
2025-12-03,8131,福懋科,46.4,9.95,漲停
2025-12-04,2009,第一銅,47.75,9.9,漲停
2025-12-04,2061,風青,19.1,9.77,漲停
2025-12-04,2349,錸德,10.85,9.6,漲停
2025-12-04,2359,所羅門,138.5,9.92,漲停
2025-12-04,2365,昆盈,37.0,9.96,漲停
2025-12-04,2605,新興,31.55,9.93,漲停
2025-12-04,2606,裕民,69.6,9.95,漲停
