Date,Code,Name,EntryPrice,LatestPrice,ReturnPct,HoldDays,Note
2026-07-01,6156,松上,31.65,23.55,-25.59,20,漲停
2026-07-01,6173,信昌電,341.5,175.0,-48.76,20,漲停
2026-07-01,6174,安碁,54.4,48.7,-10.48,20,漲停
2026-07-01,6182,合晶,135.0,135.0,0.0,20,漲停
2026-07-01,6207,雷科,161.0,117.5,-27.02,20,漲停
2026-07-01,6223,旺矽,6695.0,5455.0,-18.52,20,漲停
2026-07-01,3664,安瑞-KY,7.7,6.2,-19.48,20,漲停
2026-07-01,3672,康聯訊,12.85,12.85,0.0,20,漲停
2026-07-01,3680,家登,558.0,437.5,-21.59,20,漲停
2026-07-01,4183,福永生技,14.6,14.0,-4.11,20,漲停
2026-07-01,3349,寶德,20.0,22.0,10.0,20,漲停
2026-07-01,3490,單井,33.9,26.75,-21.09,20,漲停
2026-07-01,3520,華盈,17.25,16.4,-4.93,20,漲停
2026-07-01,3521,台鋼建設,13.3,12.1,-9.02,20,漲停
2026-07-01,3577,泓格,130.0,143.0,10.0,20,漲停
2026-07-01,3221,台嘉碩,64.4,46.05,-28.49,20,漲停
2026-07-01,6488,環球晶,1105.0,1265.0,14.48,20,漲停
2026-07-01,6603,富強鑫,25.15,24.1,-4.17,20,漲停
2026-07-01,6617,共信-KY,76.6,100.0,30.55,20,漲停
2026-07-01,6640,均華,1125.0,910.0,-19.11,20,漲停
2026-07-01,6684,安格,64.5,49.35,-23.49,20,漲停
2026-07-01,5328,華容,78.2,54.9,-29.8,20,漲停
2026-07-01,4542,科嶠,494.0,295.0,-40.28,20,漲停
2026-07-01,5426,振發,34.4,25.55,-25.73,20,漲停
2026-07-01,5460,同協,17.25,16.65,-3.48,20,漲停
2026-07-01,5483,中美晶,198.0,227.5,14.9,20,漲停
2026-07-01,8043,蜜望實,213.0,135.5,-36.38,20,漲停
2026-07-01,8182,加高,54.0,39.7,-26.48,20,漲停
2026-07-01,1303,南亞,183.0,186.5,1.91,20,漲停
2026-07-01,1447,力鵬,8.27,7.75,-6.29,20,漲停
2026-07-01,6870,騰雲,289.5,319.5,10.36,20,漲停
2026-07-01,6877,鏵友益,134.0,121.0,-9.7,20,漲停
2026-07-01,7402,邑錡,126.5,113.5,-10.28,20,漲停
2026-07-01,1466,聚隆,16.25,17.3,6.46,20,漲停
2026-07-01,1467,南緯,8.03,9.57,19.18,20,漲停
2026-07-01,1515,力山,35.45,44.0,24.12,20,漲停
2026-07-01,1617,榮星,22.85,19.4,-15.1,20,漲停
2026-07-01,2233,宇隆,233.0,202.0,-13.3,20,漲停
