Date,Code,Name,EntryPrice,LatestPrice,ReturnPct,HoldDays,Note
2026-05-01,6246,臺龍,16.4,16.1,-1.83,25,漲停
2026-05-01,6485,點序,87.6,116.5,32.99,25,漲停
2026-05-01,6530,創威,118.5,114.0,-3.8,25,漲停
2026-05-01,4561,健椿,38.1,51.8,35.96,25,漲停
2026-05-01,4563,百德,50.6,50.6,0.0,25,漲停
2026-05-01,4609,唐鋒,4.84,5.38,11.16,25,漲停
2026-05-01,3672,康聯訊,11.95,10.9,-8.79,25,漲停
2026-05-01,3707,漢磊,66.2,85.7,29.46,25,漲停
2026-05-01,5474,聰泰,154.0,169.5,10.06,25,漲停
2026-05-01,3163,波若威,1145.0,1210.0,5.68,25,漲停
2026-05-01,4951,精拓科,119.0,132.0,10.92,25,漲停
2026-05-01,4991,環宇-KY,676.0,840.0,24.26,25,漲停
2026-05-01,5291,邑昇,62.5,76.4,22.24,25,漲停
2026-05-01,1595,川寶,72.8,96.0,31.87,25,漲停
2026-05-01,6187,萬潤,1210.0,1210.0,0.0,25,漲停
2026-05-01,6234,高僑,52.8,50.3,-4.73,25,漲停
2026-05-01,3498,陽程,87.7,159.0,81.3,25,漲停
2026-05-01,3581,博磊,179.5,272.5,51.81,25,漲停
2026-05-01,8064,東捷,104.0,145.5,39.9,25,漲停
2026-05-01,8074,鉅橡,80.3,80.9,0.75,25,漲停
2026-05-01,8027,鈦昇,193.5,250.5,29.46,25,漲停
2026-05-01,1597,直得,143.5,201.0,40.07,25,漲停
2026-05-01,2380,虹光,5.62,5.85,4.09,25,漲停
2026-05-01,2388,威盛,78.6,84.2,7.12,25,漲停
2026-05-01,2417,圓剛,47.15,51.9,10.07,25,漲停
2026-05-01,2455,全新,347.5,444.0,27.77,25,漲停
2026-05-01,2467,志聖,609.0,663.0,8.87,25,漲停
2026-05-01,8444,綠河-KY,6.25,6.5,4.0,25,漲停
2026-05-01,1309,台達化,20.8,15.65,-24.76,25,漲停
2026-05-01,2233,宇隆,300.0,381.5,27.17,25,漲停
2026-05-01,4576,大銀微系統,222.0,277.0,24.77,25,漲停
2026-05-01,4807,日成-KY,20.75,23.85,14.94,25,漲停
2026-05-01,4958,臻鼎-KY,421.0,529.0,25.65,25,漲停
2026-05-01,6224,聚鼎,73.3,84.6,15.42,25,漲停
2026-05-01,6405,悅城,50.9,69.0,35.56,25,漲停
2026-05-01,3016,嘉晶,89.7,133.0,48.27,25,漲停
2026-05-01,3037,欣興,883.0,990.0,12.12,25,漲停
2026-05-01,6830,汎銓,850.0,787.0,-7.41,25,漲停
