Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
MSFT,Microsoft,Technology,Software - Infrastructure,429.25,30312242.0,0.96,1.04,1.2,20.32,13.01,13.01,13.01,3190.35
UDR,UDR,Real Estate,REIT - Residential,36.21,3423986.0,1.24,4.83,3.52,7.83,0.12,0.12,0.12,13.63
SANM,SANM,Technology,Electronic Components,215.46,3231212.0,3.23,14.56,23.78,64.6,0.7,0.7,0.7,11.77
NOK,NOK,Technology,Communication Equipment,11.3,127285274.0,1.03,5.02,8.65,41.6,1.44,1.44,1.44,63.08
CNC,CNC,Healthcare,Healthcare Plans,49.57,17187065.0,2.95,13.95,26.65,54.91,0.85,0.85,0.85,24.38
BWLP,BWLP,Industrials,Marine Shipping,19.72,450004.0,1.46,5.01,8.47,17.94,0.01,0.01,0.01,2.99
AXGN,AXGN,Healthcare,Medical Devices,41.99,2699198.0,2.31,6.6,17.0,34.24,0.11,0.11,0.11,2.18
BRK-B,Berkshire,Financial Services,Insurance - Diversified,478.16,4859524.0,0.97,1.13,2.06,2.06,2.32,2.32,2.32,1031.33
AMZN,Amazon,Consumer Cyclical,Internet Retail,259.7,42065244.0,0.97,-0.54,3.92,30.28,10.92,10.92,10.92,2792.88
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,197.69,4872069.0,0.64,0.16,-3.62,-5.59,0.96,0.96,0.96,349.67
HG=F,Copper (銅),Index,Market Index,5.98,73.0,0.08,-0.66,-0.39,9.35,0.0,0.0,0.0,0.0
LFST,LFST,Healthcare,Medical Care Facilities,7.67,7739871.0,3.75,5.5,12.96,21.36,0.06,0.06,0.06,2.97
^VIX,VIX,Index,Market Index,17.83,0.0,0.0,-1.05,-8.56,-42.58,0.0,0.0,0.0,0.0
WMT,Walmart,Consumer Defensive,Discount Stores,127.59,16319296.0,0.97,0.0,-1.55,3.82,2.08,2.08,2.08,1017.02
JPM,JPMorgan,Financial Services,Banks - Diversified,311.45,4082722.0,0.62,-0.06,-0.5,10.12,1.27,1.27,1.27,834.53
CECO,CECO,Industrials,Pollution & Treatment Controls,74.29,2682521.0,5.72,14.43,20.86,21.89,0.2,0.2,0.2,2.67
RHI,RHI,Industrials,Staffing & Employment Services,27.52,2518460.0,0.55,5.24,-4.81,10.79,0.07,0.07,0.07,2.82
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,874.0,2540173.0,0.79,0.66,-3.21,-0.48,2.22,2.22,2.22,780.79
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,376.02,50307720.0,0.75,-0.7,-2.69,3.92,18.92,18.92,18.92,1412.23
DIS,Disney,Communication Services,Entertainment,101.47,5373383.0,0.81,-0.86,-2.7,9.79,0.55,0.55,0.55,179.76
MSTR,MicroStrategy,Technology,Software - Application,165.71,13697334.0,0.68,-2.06,1.06,31.48,2.27,2.27,2.27,58.06
SMCI,Super Micro,Technology,Computer Hardware,27.25,21831300.0,0.65,-2.15,-4.15,24.03,0.59,0.59,0.59,16.36
RIG,RIG,Energy,Oil & Gas Drilling,6.79,53641748.0,1.56,4.14,12.23,-2.02,0.36,0.36,0.36,7.51
MA,Mastercard,Financial Services,Credit Services,507.62,2797498.0,1.04,0.23,-0.73,4.83,1.42,1.42,1.42,453.02
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,150.56,14703645.0,1.02,1.6,1.48,-11.95,2.21,2.21,2.21,625.81
PKX,PKX,Basic Materials,Steel,76.02,312623.0,1.94,7.04,9.98,34.69,0.02,0.02,0.02,22.99
TSM,TSMC,Technology,Semiconductors,392.34,14529631.0,0.95,-3.12,6.59,20.08,5.7,5.7,5.7,2034.83
F,F,Consumer Cyclical,Auto Manufacturers,12.4,40568603.0,1.29,-0.72,-2.97,9.06,0.5,0.5,0.5,49.74
NVTS,NVTS,Technology,Semiconductors,15.12,36931383.0,0.6,-17.38,-1.37,82.61,0.56,0.56,0.56,3.49
PFE,PFE,Healthcare,Drug Manufacturers - General,26.48,57978636.0,1.6,-1.16,-3.04,-2.07,1.54,1.54,1.54,150.63
NFLX,Netflix,Communication Services,Entertainment,92.27,32002694.0,0.82,0.98,-0.33,-1.24,2.95,2.95,2.95,388.53
GC=F,Gold (黃金),Index,Market Index,4610.5,482.0,1.03,-1.39,-1.87,2.64,0.0,0.0,0.0,0.0
CRWV,CoreWeave,Technology,Software - Infrastructure,105.53,27142910.0,1.04,-5.83,-8.36,41.06,2.86,2.86,2.86,55.74
ERAS,ERAS,Healthcare,Biotechnology,9.9,51214694.0,4.42,-48.3,-55.82,-33.87,0.51,0.51,0.51,3.08
ADBE,Adobe,Technology,Software - Application,243.2,4526094.0,0.66,1.63,-1.61,3.56,1.1,1.1,1.1,98.3
QCOM,Qualcomm,Technology,Semiconductors,150.0,22646483.0,1.1,-0.17,10.65,18.01,3.4,3.4,3.4,160.21
OMCL,OMCL,Healthcare,Health Information Services,45.51,2168436.0,4.81,20.94,23.84,38.96,0.1,0.1,0.1,2.07
BAC,Bank of America,Financial Services,Banks - Diversified,52.66,16173355.0,0.54,0.06,-1.53,12.11,0.85,0.85,0.85,375.46
SNAP,SNAP,Communication Services,Internet Content & Information,5.95,29412183.0,0.66,-1.82,5.5,51.4,0.18,0.18,0.18,10.05
TXN,Texas Inst,Technology,Semiconductors,265.0,8362741.0,0.62,-1.67,13.66,39.23,2.22,2.22,2.22,241.17
IREN,IREN,Financial Services,Capital Markets,44.44,39100893.0,0.97,-8.11,-1.62,26.65,1.74,1.74,1.74,14.74
AAL,AAL,Industrials,Airlines,11.64,42759372.0,0.76,-0.34,-1.1,13.01,0.5,0.5,0.5,7.7
ORCL,Oracle,Technology,Software - Infrastructure,165.96,33510741.0,1.02,-4.05,-8.4,18.83,5.56,5.56,5.56,477.31
CVLT,CVLT,Technology,Software - Application,97.98,1865038.0,2.31,10.82,4.65,28.79,0.18,0.18,0.18,4.31
ONDS,ONDS,Technology,Communication Equipment,10.48,41361258.0,0.68,-4.29,-3.59,19.09,0.43,0.43,0.43,5.07
RVMD,RVMD,Healthcare,Biotechnology,144.83,5450254.0,1.42,9.99,-2.73,56.56,0.79,0.79,0.79,30.63
MU,Micron,Technology,Semiconductors,504.29,43805215.0,1.16,-3.86,12.22,41.17,22.09,22.09,22.09,568.71
^IXIC,Nasdaq,Index,Market Index,24663.8,6489540000.0,0.74,-0.9,1.66,17.74,160056.71,160056.71,160056.71,0.0
GRAB,GRAB,Technology,Software - Application,3.86,48603153.0,1.08,-0.77,-5.39,8.12,0.19,0.19,0.19,15.83
^SOX,PHLX Semi,Index,Market Index,10035.58,0.0,0.0,-3.58,4.03,34.57,0.0,0.0,0.0,0.0
NVDA,NVIDIA,Technology,Semiconductors,213.17,179415428.0,1.23,-1.59,6.65,27.25,38.25,38.25,38.25,5181.1
INTC,Intel,Technology,Semiconductors,84.52,143020562.0,0.9,-0.55,27.56,95.97,12.09,12.09,12.09,424.8
KNSA,KNSA,Healthcare,Drug Manufacturers - Specialty & Generic,53.85,3001990.0,3.5,23.48,26.86,17.7,0.16,0.16,0.16,4.12
CL=F,Crude Oil (原油),Index,Market Index,99.39,370.0,0.0,3.13,7.88,-0.25,0.0,0.0,0.0,0.0
PII,PII,Consumer Cyclical,Recreational Vehicles,66.47,4185368.0,2.78,8.88,8.24,22.8,0.28,0.28,0.28,3.77
MAAS,MAAS,Financial Services,Asset Management,10.62,328511.0,0.4,21.37,16.96,92.39,0.0,0.0,0.0,3.77
GOOG,Alphabet,Communication Services,Internet Content & Information,347.5,17042700.0,1.11,-0.29,5.15,26.94,5.92,5.92,5.92,4203.71
CRM,Salesforce,Technology,Software - Application,181.32,7287177.0,0.51,0.63,-3.09,1.12,1.32,1.32,1.32,148.33
^DJI,Dow Jones,Index,Market Index,49141.93,508212255.0,1.05,-0.05,-0.02,8.8,24974.53,24974.53,24974.53,0.0
NWBI,NWBI,Financial Services,Banks - Regional,14.16,2217888.0,2.43,4.97,7.11,14.01,0.03,0.03,0.03,2.07
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,251.23,11269851.0,1.12,-3.18,-2.76,18.84,2.83,2.83,2.83,314.18
COST,Costco,Consumer Defensive,Discount Stores,994.0,1726520.0,1.16,-0.4,-1.17,1.03,1.72,1.72,1.72,440.99
V,Visa,Financial Services,Credit Services,309.3,7601295.0,1.2,-0.11,-0.21,4.66,2.35,2.35,2.35,596.34
OPEN,OPEN,Real Estate,Real Estate Services,5.48,37502732.0,0.84,1.67,0.55,14.17,0.21,0.21,0.21,5.25
SI=F,Silver (白銀),Index,Market Index,73.67,138.0,5.48,-1.78,-3.59,5.92,0.0,0.0,0.0,0.0
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,329.06,2772177.0,0.91,-0.98,-4.32,2.3,0.91,0.91,0.91,327.75
PLUG,PLUG,Industrials,Electrical Equipment & Parts,3.03,37201063.0,0.54,-1.62,-1.62,38.99,0.11,0.11,0.11,4.22
AVGO,Broadcom,Technology,Semiconductors,399.83,25462353.0,1.28,-4.39,-0.58,32.98,10.18,10.18,10.18,1893.06
HRI,HRI,Industrials,Rental & Leasing Services,133.96,1449554.0,1.82,7.5,24.67,33.51,0.19,0.19,0.19,4.47
SOFI,SOFI,Financial Services,Credit Services,18.36,66985545.0,1.33,-2.13,-2.5,20.55,1.23,1.23,1.23,23.41
AAPL,Apple,Technology,Consumer Electronics,270.71,32820055.0,0.79,1.16,1.71,8.81,8.88,8.88,8.88,3974.33
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,194.1,6036007.0,0.61,-1.31,-0.94,20.45,1.17,1.17,1.17,51.26
KEN,KEN,Utilities,Utilities - Independent Power Producers,88.58,52320.0,1.97,5.57,8.94,9.9,0.0,0.0,0.0,4.62
PLTR,Palantir,Technology,Software - Infrastructure,141.18,24542303.0,0.57,-1.34,-3.28,-1.31,3.46,3.46,3.46,338.43
OSCR,OSCR,Healthcare,Healthcare Plans,18.04,8200081.0,1.58,5.01,11.56,61.94,0.15,0.15,0.15,5.43
SEI,SEI,Energy,Oil & Gas Equipment & Services,74.44,4472471.0,2.06,5.39,13.7,28.72,0.33,0.33,0.33,6.93
UNH,UnitedHealth,Healthcare,Healthcare Plans,366.77,10317985.0,0.85,3.41,6.0,41.6,3.78,3.78,3.78,333.11
^GSPC,S&P 500,Index,Market Index,7138.8,3031611000.0,0.61,-0.49,1.06,12.09,21642.06,21642.06,21642.06,0.0
AVB,AVB,Real Estate,REIT - Residential,183.5,1392897.0,1.81,5.29,6.6,14.11,0.26,0.26,0.26,25.53
BTC-USD,Bitcoin,Crypto,Cryptocurrency,76327.67,32651132928.0,1.09,-1.34,-2.48,6.1,2492184.96,2492184.96,2492184.96,0.0
OGN,OGN,Healthcare,Drug Manufacturers - General,13.32,35144172.0,0.96,1.22,50.68,128.08,0.47,0.47,0.47,3.5
GLXY,GLXY,Financial Services,Capital Markets,26.36,6850716.0,1.36,5.23,5.65,46.44,0.18,0.18,0.18,5.06
PG,P&G,Consumer Defensive,Household & Personal Products,149.17,7961540.0,0.76,0.52,4.81,4.53,1.19,1.19,1.19,347.36
AMD,AMD,Technology,Semiconductors,323.21,42029312.0,0.79,-3.41,13.61,60.01,13.58,13.58,13.58,526.97
MARA,MARA,Financial Services,Capital Markets,11.02,30699106.0,0.71,-1.43,-1.87,37.41,0.34,0.34,0.34,4.19
JOBY,JOBY,Industrials,Airports & Air Services,8.93,48586741.0,1.77,-1.22,-0.45,10.25,0.43,0.43,0.43,8.78
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,78.35,30686038.0,2.51,3.86,4.89,3.49,2.4,2.4,2.4,337.23
NIO,NIO,Consumer Cyclical,Auto Manufacturers,6.36,30549993.0,1.19,2.09,-1.09,19.77,0.19,0.19,0.19,15.94
MTN,MTN,Consumer Cyclical,Resorts & Casinos,126.65,1046403.0,1.0,5.1,-4.54,0.13,0.13,0.13,0.13,4.51
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,381.11,10380695.0,1.93,-5.87,-3.35,13.03,3.96,3.96,3.96,302.45
BEN,BEN,Financial Services,Asset Management,29.46,11369893.0,2.19,6.86,8.15,29.49,0.33,0.33,0.33,15.34
JNJ,J&J,Healthcare,Drug Manufacturers - General,227.79,5428778.0,0.65,1.09,0.72,-5.27,1.24,1.24,1.24,548.34
HRC=F,Steel (熱軋鋼),Index,Market Index,1117.0,121.0,7.47,7.2,6.69,7.3,0.0,0.0,0.0,0.0
META,Meta,Communication Services,Internet Content & Information,671.34,10276663.0,0.92,-1.07,0.37,27.7,6.9,6.9,6.9,1704.15
