Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
UNH,UnitedHealth,Healthcare,Healthcare Plans,354.69,6525263.0,0.52,-0.06,9.65,32.32,2.31,2.31,2.31,322.13
META,Meta,Communication Services,Internet Content & Information,678.62,12763296.0,1.15,0.53,1.15,23.94,8.66,8.66,8.66,1722.62
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,378.67,66452161.0,0.99,0.63,-3.52,1.76,25.16,25.16,25.16,1422.18
GOOG,Alphabet,Communication Services,Internet Content & Information,348.52,17346132.0,1.2,1.81,3.91,24.14,6.05,6.05,6.05,4216.05
RIG,RIG,Energy,Oil & Gas Drilling,6.52,62104580.0,2.27,6.71,10.7,-5.37,0.4,0.4,0.4,7.22
BEAM,BEAM,Healthcare,Biotechnology,29.17,3149178.0,1.3,7.58,-6.49,23.48,0.09,0.09,0.09,3.0
ORCL,Oracle,Technology,Software - Infrastructure,172.96,21393990.0,0.65,-0.18,-2.6,21.11,3.7,3.7,3.7,497.44
DIS,Disney,Communication Services,Entertainment,102.35,5384480.0,0.81,-0.24,-3.72,8.02,0.55,0.55,0.55,181.32
XE,XE,,,35.98,27263169.0,0.0,23.22,0.0,0.0,0.98,0.98,0.98,9.5
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,404.86,5657233.0,1.13,-2.92,3.38,19.59,2.29,2.29,2.29,321.3
OGN,OGN,Healthcare,Drug Manufacturers - General,13.16,133794540.0,12.04,16.87,42.12,117.52,1.76,1.76,1.76,3.43
MSFT,Microsoft,Technology,Software - Infrastructure,424.82,30769467.0,0.99,0.05,1.61,16.08,13.07,13.07,13.07,3157.42
MP,MP,Basic Materials,Other Industrial Metals & Mining,64.92,5847853.0,0.86,6.9,-1.98,25.57,0.38,0.38,0.38,11.53
TXN,Texas Inst,Technology,Semiconductors,269.5,9396240.0,0.73,-2.76,15.32,39.34,2.53,2.53,2.53,245.25
JPM,JPMorgan,Financial Services,Banks - Diversified,311.63,5202144.0,0.73,1.09,-1.69,6.85,1.62,1.62,1.62,835.01
