Code,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Name,Industry,RVOL,Weekly_Chg%,Monthly_Chg%,Vol_Increase
5274.TWO,13975.0,-3.0523759972251128,42.32426575,302857.0,伺服器IC,信驊,伺服器IC,0,0,0,0
6669.TW,5050.0,0.6979062811565304,50.61817,1002340.0,AI伺服器,緯穎,AI伺服器,0,0,0,0
3661.TW,4065.0,0.7434944237918215,64.94093595,1597563.0,ASIC設計,世芯-KY,ASIC設計,0,0,0,0
7769.TWO,6055.0,-2.0226537216828477,37.04866795,611869.0,IC測試(興櫃),鴻勁,IC測試(興櫃),0,0,0,0
6515.TW,7705.0,-3.987538940809969,38.162865,495300.0,一般,穎崴,一般,0,0,0,0
2059.TW,8095.0,-1.9975786924939467,49.23111865,608167.0,一般,川湖,一般,0,0,0,0
3008.TW,3950.0,1.5424164524421593,70.135884,1775592.0,光學鏡頭,大立光,光學鏡頭,0,0,0,0
3443.TW,4400.0,-1.7857142857142856,74.619644,1695901.0,一般,創意,一般,0,0,0,0
3653.TW,3200.0,0.1564945226917058,23.992416,749763.0,一般,健策,一般,0,0,0,0
6510.TWO,2840.0,0.1763668430335097,8.2782024,291486.0,一般,精測,一般,0,0,0,0
6223.TWO,6460.0,2.3771790808240887,49.5103444,766414.0,一般,旺矽,一般,0,0,0,0
3131.TWO,3110.0,-2.3547880690737837,21.0717428,677548.0,一般,弘塑,一般,0,0,0,0
3529.TWO,2680.0,-2.18978102189781,15.8698344,592158.0,一般,力旺,一般,0,0,0,0
2330.TW,2465.0,1.0245901639344261,614.87840005,24944357.0,半導體業,台積電,半導體業,0,0,0,0
8299.TWO,2140.0,-0.2331002331002331,74.6270216,3487244.0,一般,群聯,一般,0,0,0,0
2383.TW,5315.0,1.8199233716475096,140.24159,2638600.0,一般,台光電,一般,0,0,0,0
2454.TW,3995.0,-0.8684863523573202,265.5368635,6646730.0,IC設計,聯發科,IC設計,0,0,0,0
3665.TW,1900.0,-4.040404040404041,68.397131,3599849.0,一般,貿聯-KY,一般,0,0,0,0
6805.TW,1395.0,-6.375838926174497,48.1751532,3453416.0,一般,富世達,一般,0,0,0,0
3017.TW,2325.0,-5.1020408163265305,103.264875,4441500.0,一般,奇鋐,一般,0,0,0,0
3533.TW,1990.0,1.2722646310432568,10.4479975,525025.0,一般,嘉澤,一般,0,0,0,0
5269.TW,1525.0,1.6666666666666667,14.2091265,931746.0,一般,祥碩,一般,0,0,0,0
6442.TW,1485.0,-3.571428571428571,52.35440265,3525549.0,一般,光聖,一般,0,0,0,0
6781.TW,1165.0,-0.851063829787234,24.1757072,2075168.0,一般,AES-KY,一般,0,0,0,0
2345.TW,2415.0,-1.6293279022403258,87.57429975,3626265.0,一般,智邦,一般,0,0,0,0
2308.TW,1885.0,-0.26455026455026454,205.7136315,10913190.0,一般,台達電,一般,0,0,0,0
6409.TW,1140.0,-3.79746835443038,15.8590758,1391147.0,一般,旭隼,一般,0,0,0,0
2404.TW,1200.0,-4.761904761904762,27.944532,2328711.0,一般,漢唐,一般,0,0,0,0
7734.TWO,2795.0,0.9025270758122743,2.11852615,75797.0,封裝材料(興櫃),印能科技,封裝材料(興櫃),0,0,0,0
1590.TW,1345.0,-2.536231884057971,6.70230985,498313.0,一般,亞德客-KY,一般,0,0,0,0
3324.TW,925.0,-4.639175257731959,33.66482925,3639441.0,一般,雙鴻,一般,0,0,0,0
8210.TW,1195.0,1.702127659574468,12.57286985,1052123.0,一般,勤誠,一般,0,0,0,0
4749.TWO,877.0,-2.4471635150166855,7.35191731,838303.0,一般,新應材,一般,0,0,0,0
2360.TW,1855.0,-5.597964376590331,105.79716105,5703351.0,一般,致茂,一般,0,0,0,0
7750.TWO,2080.0,0.7263922518159807,1.5906176,76472.0,工具機(興櫃),新代,工具機(興櫃),0,0,0,0
5536.TWO,1260.0,-9.67741935483871,21.3068016,1691016.0,一般,聖暉*,一般,0,0,0,0
3491.TWO,1270.0,6.2761506276150625,15.3166572,1206036.0,一般,昇達科,一般,0,0,0,0
1519.TW,740.0,-1.06951871657754,8.897094,1202310.0,一般,華城,一般,0,0,0,0
6944.TWO,941.0,-2.8895768833849327,7.37662133,783913.0,廢水處理(興櫃),兆聯實業,廢水處理(興櫃),0,0,0,0
6739.TWO,1110.0,-6.329113924050633,5.010651,451410.0,半導體設備(興櫃),竹陞科技,半導體設備(興櫃),0,0,0,0
7751.TWO,1420.0,4.029304029304029,1.8636932,131246.0,自動化(興櫃),竑騰,自動化(興櫃),0,0,0,0
3293.TWO,748.0,0.0,15.66332196,2094027.0,一般,鈊象,一般,0,0,0,0
7805.TWO,640.0,-1.5384615384615385,0.3821568,59712.0,網通(興櫃),威聯通,網通(興櫃),0,0,0,0
6640.TWO,982.0,-3.251231527093596,3.21878978,327779.0,一般,均華,一般,0,0,0,0
5289.TWO,1515.0,-4.716981132075472,47.02540305,3103987.0,工控記憶體,宜鼎,工控記憶體,0,0,0,0
4583.TW,610.0,-0.32679738562091504,0.2223633,36453.0,一般,台灣精銳,一般,0,0,0,0
2368.TW,1150.0,1.3215859030837005,45.1250225,3923915.0,一般,金像電,一般,0,0,0,0
3081.TWO,2095.0,10.0,46.99753305,2243319.0,一般,聯亞,一般,0,0,0,0
4966.TWO,662.0,1.8461538461538463,11.613797,1754350.0,一般,譜瑞-KY,一般,0,0,0,0
7728.TWO,636.0,0.15748031496062992,0.13967832,21962.0,光電(興櫃),光焱科技,光電(興櫃),0,0,0,0
^TWII,45734.41015625,0.5613583571852874,0.0,0.0,指數/原物料,加權指數,指數/原物料,0,0,0,0
^TWOII,445.3800048828125,1.3355771169620823,0.0,0.0,指數/原物料,櫃買指數,指數/原物料,0,0,0,0
^DJI,52925.1484375,-0.246460231037232,0.0,0.0,指數/原物料,道瓊工業,指數/原物料,0,0,0,0
^GSPC,7503.85009765625,-0.4455109678215951,0.0,0.0,指數/原物料,S&P 500,指數/原物料,0,0,0,0
^IXIC,25818.689453125,-1.1579527912072003,0.0,0.0,指數/原物料,那斯達克,指數/原物料,0,0,0,0
^SOX,12300.51953125,-4.648167644139632,0.0,0.0,指數/原物料,費城半導體,指數/原物料,0,0,0,0
^VIX,18.780000686645508,10.0,0.0,0.0,指數/原物料,美股 VIX,指數/原物料,0,0,0,0
GC=F,4066.39990234375,-1.9033581661459102,0.0,0.0,指數/原物料,黃金,指數/原物料,0,0,0,0
SI=F,58.8849983215332,-3.357899004651438,0.0,0.0,指數/原物料,白銀,指數/原物料,0,0,0,0
HG=F,6.0929999351501465,-1.2719803649567698,0.0,0.0,指數/原物料,銅,指數/原物料,0,0,0,0
CL=F,74.98999786376953,6.459391346767883,0.0,0.0,指數/原物料,原油,指數/原物料,0,0,0,0
HRC=F,1163.0,0.6926406926406926,0.0,0.0,指數/原物料,熱軋鋼,指數/原物料,0,0,0,0
