date,open,high,low,close,volume
2023-01-03,180.0,195.5,179.0,195.5,7115826
2023-01-04,195.5,214.0,194.0,209.5,17552727
2023-01-05,207.0,209.5,203.5,208.0,5775054
2023-01-06,205.0,213.0,199.0,213.0,7638761
2023-01-09,213.0,234.0,211.0,234.0,12711055
2023-01-10,234.0,248.0,231.0,246.0,22302578
2023-01-11,247.0,252.0,241.0,251.0,16286727
2023-01-12,251.0,272.0,242.5,272.0,18115815
2023-01-13,264.0,268.0,250.5,254.5,16744170
2023-01-16,251.5,279.5,251.0,275.0,21360496
2023-01-17,275.0,283.5,268.5,276.0,18469899
2023-01-30,276.0,291.5,276.0,283.0,10677873
2023-01-31,285.0,293.0,277.0,288.0,11465752
2023-02-01,289.0,297.5,266.0,271.0,15842212
2023-02-02,273.0,274.5,266.0,269.5,7007575
2023-02-03,269.5,269.5,253.5,260.5,8488489
2023-02-06,260.0,274.0,255.5,267.0,5890974
2023-02-07,280.0,293.5,276.5,293.5,17388677
2023-02-08,294.5,308.0,289.0,299.5,14371845
2023-02-09,298.5,306.5,290.5,291.5,8782332
2023-02-10,296.0,306.5,285.5,286.0,11927702
2023-02-13,287.5,294.0,282.0,289.5,4834284
2023-02-14,291.0,300.0,289.0,297.5,6856815
2023-02-15,294.0,315.0,294.0,310.0,11175421
2023-02-16,310.5,315.5,301.0,306.0,7290591
2023-02-17,303.5,308.5,294.0,301.0,4787129
2023-02-20,300.0,314.5,300.0,312.5,5527709
2023-02-21,312.0,329.0,310.0,318.0,7748198
2023-02-22,316.0,324.0,303.5,324.0,7995889
2023-02-23,322.0,356.0,320.0,356.0,9349360
2023-02-24,368.0,376.0,327.0,339.0,22653661
2023-03-01,338.0,344.0,305.5,307.5,15146746
2023-03-02,313.0,321.5,306.0,318.0,8941021
2023-03-03,322.0,348.5,320.0,338.0,14673516
2023-03-06,345.0,353.5,342.0,348.0,9872177
2023-03-07,351.0,359.0,347.5,347.5,10245422
2023-03-08,352.0,353.5,320.0,341.0,15316075
2023-03-09,343.0,344.5,330.0,335.0,8297672
2023-03-10,328.0,330.5,317.0,321.5,7702826
2023-03-13,320.0,324.5,310.0,321.5,7210507
2023-03-14,317.5,321.0,296.5,299.0,11982422
2023-03-15,309.0,312.0,302.0,302.0,6442200
2023-03-16,298.0,309.0,298.0,307.0,6329208
2023-03-17,309.5,314.5,295.0,306.5,10796101
2023-03-20,308.5,313.5,305.0,305.0,5281787
2023-03-21,310.0,318.5,305.5,308.0,7339142
2023-03-22,312.0,338.0,312.0,330.5,14628153
2023-03-23,333.0,343.5,321.5,333.0,14055072
2023-03-24,330.0,333.0,303.0,307.0,13257274
2023-03-27,309.5,332.0,307.0,322.5,6959559
2023-03-28,328.0,331.0,312.0,320.5,1680992
2023-03-29,327.5,330.0,325.0,329.5,1411088
2023-03-30,334.5,336.0,329.5,335.0,1234915
2023-03-31,337.0,350.0,337.0,348.0,2004843
2023-04-06,351.5,364.0,351.5,364.0,1964423
2023-04-07,379.5,400.0,370.0,400.0,4249626
2023-04-10,406.5,439.0,400.0,437.0,3197169
2023-04-11,433.5,437.0,420.0,437.0,1988043
2023-04-12,433.5,445.0,432.5,436.5,1684866
2023-04-13,433.0,440.0,421.5,438.5,966868
2023-04-14,438.5,471.0,435.0,471.0,746289
2023-04-17,475.0,495.0,472.0,478.5,494187
2023-04-18,483.5,483.5,454.5,454.5,565493
2023-04-19,463.0,480.0,459.0,480.0,453363
2023-04-20,490.0,490.0,461.5,465.0,303020
2023-04-21,467.5,467.5,433.0,435.0,945232
2023-04-24,418.0,448.0,418.0,447.0,727914
2023-04-25,449.0,449.0,422.5,427.5,691015
2023-04-26,429.0,440.5,418.0,435.0,947039
2023-04-27,445.0,453.0,411.0,428.0,10050628
2023-04-28,431.5,470.5,430.0,470.5,5995644
2023-05-02,479.0,517.0,479.0,517.0,9348005
2023-05-03,520.0,530.0,509.0,530.0,11565185
2023-05-04,528.0,556.0,504.0,545.0,8536035
2023-05-05,545.0,557.0,532.0,548.0,6506860
2023-05-08,536.0,537.0,511.0,511.0,7981231
2023-05-09,518.0,534.0,515.0,515.0,6314043
2023-05-10,520.0,549.0,520.0,528.0,8226578
2023-05-11,538.0,544.0,515.0,520.0,6411902
2023-05-12,530.0,549.0,513.0,546.0,8228371
2023-05-15,538.0,550.0,522.0,522.0,6262953
2023-05-16,531.0,534.0,517.0,520.0,4962955
2023-05-17,525.0,570.0,522.0,557.0,9065162
2023-05-18,560.0,575.0,548.0,558.0,7267409
2023-05-19,566.0,585.0,555.0,578.0,6371523
2023-05-22,577.0,605.0,574.0,599.0,5091331
2023-05-23,599.0,605.0,563.0,565.0,6748583
2023-05-24,571.0,573.0,554.0,563.0,5300970
