Code,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Name,Industry,RVOL,Weekly_Chg%,Monthly_Chg%,Vol_Increase
5274.TWO,15750.0,-0.505369551484523,41.0522175,260649.0,伺服器IC,信驊,伺服器IC,0,0,0,0
6669.TW,6325.0,-0.7843137254901961,56.87509575,899211.0,AI伺服器,緯穎,AI伺服器,0,0,0,0
3661.TW,3750.0,3.3057851239669422,71.33925,1902380.0,ASIC設計,世芯-KY,ASIC設計,0,0,0,0
7769.TWO,6455.0,0.1551590380139643,27.11261375,420025.0,IC測試(興櫃),鴻勁,IC測試(興櫃),0,0,0,0
6515.TW,6380.0,0.15698587127158556,10.1411376,158952.0,一般,穎崴,一般,0,0,0,0
2059.TW,13925.0,-1.2061014544164597,80.1130315,575318.0,一般,川湖,一般,0,0,0,0
3008.TW,5515.0,-0.6306306306306306,162.82248855,2952357.0,光學鏡頭,大立光,光學鏡頭,0,0,0,0
3443.TW,5630.0,6.326723323890462,147.899537,2626990.0,一般,創意,一般,0,0,0,0
3653.TW,5600.0,2.564102564102564,106.683808,1905068.0,一般,健策,一般,0,0,0,0
6510.TWO,2760.0,3.7593984962406015,11.7027588,424013.0,一般,精測,一般,0,0,0,0
6223.TWO,5650.0,7.516650808753568,54.006203,955862.0,一般,旺矽,一般,0,0,0,0
3131.TWO,2320.0,-1.48619957537155,5.7890728,249529.0,一般,弘塑,一般,0,0,0,0
3529.TWO,2210.0,-2.2123893805309733,12.506832,565920.0,一般,力旺,一般,0,0,0,0
2330.TW,2375.0,1.0638297872340425,377.00125375,15873737.0,半導體業,台積電,半導體業,0,0,0,0
8299.TWO,1995.0,1.5267175572519083,78.5364069,3936662.0,一般,群聯,一般,0,0,0,0
2383.TW,5985.0,1.7857142857142856,146.6269938,2449908.0,一般,台光電,一般,0,0,0,0
2454.TW,3700.0,-3.7711313394018204,476.003224,12864952.0,IC設計,聯發科,IC設計,0,0,0,0
