Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
NFLX,Netflix,Communication Services,Entertainment,85.45,39913690.0,1.07,-2.33,-6.12,-17.05,3.41,3.41,3.41,359.81
LITE,LITE,Technology,Communication Equipment,1053.09,9401821.0,1.31,16.52,7.88,17.36,9.9,9.9,9.9,81.93
TSM,TSMC,Technology,Semiconductors,404.54,14607194.0,0.98,-1.73,0.73,9.16,5.91,5.91,5.91,2098.11
BBAI,BBAI,Technology,Information Technology Services,4.32,45192033.0,0.98,3.35,3.6,30.12,0.2,0.2,0.2,2.07
COHR,COHR,Technology,Scientific & Technical Instruments,379.69,8822557.0,1.04,13.25,15.1,23.48,3.35,3.35,3.35,74.28
SI=F,Silver (白銀),Index,Market Index,87.03,293.0,0.9,8.25,19.09,14.02,0.0,0.0,0.0,0.0
ORCL,Oracle,Technology,Software - Infrastructure,193.84,16547357.0,0.6,-1.08,7.52,40.37,3.21,3.21,3.21,557.49
HL,HL,Basic Materials,Other Precious Metals & Mining,20.67,21002150.0,1.36,11.07,17.58,6.22,0.43,0.43,0.43,13.86
COST,Costco,Consumer Defensive,Discount Stores,999.47,2049433.0,1.09,-0.92,-1.32,0.1,2.05,2.05,2.05,443.42
SNAP,SNAP,Communication Services,Internet Content & Information,5.75,42210198.0,0.72,-5.43,-6.81,19.29,0.24,0.24,0.24,9.53
LASR,LASR,Technology,Semiconductors,84.95,2386340.0,1.37,14.94,22.39,29.95,0.2,0.2,0.2,4.79
POET,POET,Technology,Semiconductors,13.9,80618998.0,1.34,26.94,95.5,97.44,1.12,1.12,1.12,2.12
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,202.78,3117367.0,0.56,0.61,-2.58,-2.48,0.63,0.63,0.63,358.67
^SOX,PHLX Semi,Index,Market Index,12081.04,0.0,0.0,2.59,14.68,35.9,0.0,0.0,0.0,0.0
AAPL,Apple,Technology,Consumer Electronics,292.68,39366022.0,0.78,-0.22,5.73,12.36,11.52,11.52,11.52,4298.7
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,296.05,8257887.0,0.8,0.68,14.5,12.28,2.44,2.44,2.44,370.23
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,443.62,7225052.0,1.05,1.88,13.35,11.05,3.21,3.21,3.21,352.06
SMR,SMR,Industrials,Specialty Industrial Machinery,13.29,47490803.0,1.47,5.9,9.11,44.3,0.63,0.63,0.63,4.6
PLUG,PLUG,Industrials,Electrical Equipment & Parts,3.52,148994237.0,2.46,12.82,12.46,28.47,0.52,0.52,0.52,4.91
BBD,BBD,Financial Services,Banks - Regional,3.65,43686594.0,1.5,-2.67,-2.67,-9.43,0.16,0.16,0.16,38.58
PG,P&G,Consumer Defensive,Household & Personal Products,143.36,6951682.0,0.83,-2.09,-0.04,-1.24,1.0,1.0,1.0,333.83
JPM,JPMorgan,Financial Services,Banks - Diversified,300.0,8830845.0,1.1,-0.7,-2.49,-3.19,2.65,2.65,2.65,803.85
NU,NU,Financial Services,Banks - Regional,13.5,51740346.0,1.3,-2.17,-4.66,-9.76,0.7,0.7,0.7,65.62
