Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
MIRM,MIRM,Healthcare,Biotechnology,105.79,2038036.0,3.43,9.59,14.39,12.34,0.22,0.22,0.22,6.45
AXSM,AXSM,Healthcare,Biotechnology,223.7,2503303.0,1.85,8.31,19.37,32.76,0.56,0.56,0.56,11.51
XNDU,XNDU,Technology,Software - Infrastructure,13.99,49147536.0,20.97,-61.27,-51.22,66.75,0.69,0.69,0.69,4.75
BTC-USD,Bitcoin,Crypto,Cryptocurrency,80249.97,55186997248.0,1.87,2.18,5.9,7.74,4428754.8,4428754.8,4428754.8,0.0
ADBE,Adobe,Technology,Software - Application,253.96,5532833.0,1.23,1.3,6.12,4.54,1.41,1.41,1.41,102.65
IREN,IREN,Financial Services,Capital Markets,49.48,42275623.0,1.38,8.37,2.32,42.31,2.09,2.09,2.09,16.42
BW,BW,Industrials,Specialty Industrial Machinery,15.08,3929737.0,1.46,7.18,-2.39,-4.07,0.06,0.06,0.06,2.05
INTC,Intel,Technology,Semiconductors,95.78,118485863.0,0.67,-3.85,12.7,90.12,11.35,11.35,11.35,481.39
CRM,Salesforce,Technology,Software - Application,185.48,8411400.0,0.78,0.9,2.94,-0.91,1.56,1.56,1.56,151.73
AXTI,AXTI,Technology,Semiconductor Equipment & Materials,106.0,11409097.0,0.92,10.42,51.1,100.61,1.21,1.21,1.21,6.93
MNDY,MNDY,Technology,Software - Application,77.32,2124801.0,1.83,6.3,13.67,13.14,0.16,0.16,0.16,3.99
V,Visa,Financial Services,Credit Services,326.85,6707099.0,0.67,-0.36,5.55,8.66,2.19,2.19,2.19,621.58
SMCI,Super Micro,Technology,Computer Hardware,27.92,29164642.0,1.17,3.06,0.25,20.24,0.81,0.81,0.81,16.77
NICE,NICE,Technology,Software - Application,124.19,1213034.0,2.48,10.0,23.01,9.71,0.15,0.15,0.15,7.26
NEXT,NEXT,Energy,Oil & Gas Equipment & Services,8.52,4586530.0,1.43,8.81,17.68,8.54,0.04,0.04,0.04,2.26
JNJ,J&J,Healthcare,Drug Manufacturers - General,224.2,8151408.0,1.1,-1.32,-0.51,-7.75,1.83,1.83,1.83,539.7
AVGO,Broadcom,Technology,Semiconductors,416.5,15083748.0,0.81,-1.13,-0.41,32.41,6.28,6.28,6.28,1971.99
AAPL,Apple,Technology,Consumer Electronics,276.83,45414226.0,0.8,-1.18,3.45,8.17,12.57,12.57,12.57,4060.46
ADT,ADT,Industrials,Security & Protection Services,7.06,50082721.0,5.72,-6.49,-2.22,6.65,0.35,0.35,0.35,5.69
TSM,TSMC,Technology,Semiconductors,401.61,9938256.0,0.77,0.99,-0.83,18.46,3.99,3.99,3.99,2082.91
WMT,Walmart,Consumer Defensive,Discount Stores,130.33,10286452.0,0.64,-0.97,2.15,3.61,1.34,1.34,1.34,1038.86
^GSPC,S&P 500,Index,Market Index,7200.75,2940319000.0,0.58,-0.41,0.37,9.39,21172.5,21172.5,21172.5,0.0
MA,Mastercard,Financial Services,Credit Services,504.74,3770301.0,0.83,1.87,-0.33,2.29,1.9,1.9,1.9,445.83
HG=F,Copper (銅),Index,Market Index,5.86,95.0,0.01,-1.23,-2.64,5.32,0.0,0.0,0.0,0.0
DIS,Disney,Communication Services,Entertainment,101.31,8371748.0,1.24,-1.72,-1.02,4.86,0.85,0.85,0.85,179.47
AMD,AMD,Technology,Semiconductors,341.54,41513674.0,0.97,-5.27,2.06,57.03,14.18,14.18,14.18,556.85
CRCL,CRCL,Financial Services,Capital Markets,119.53,32091366.0,3.67,19.89,25.24,32.43,3.84,3.84,3.84,31.79
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,78.19,8487984.0,0.46,-0.5,3.65,1.92,0.66,0.66,0.66,336.45
^DJI,Dow Jones,Index,Market Index,48941.9,439463725.0,0.82,-1.13,-0.46,5.24,21508.19,21508.19,21508.19,0.0
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,967.93,3130097.0,0.72,0.48,11.48,3.46,3.03,3.03,3.03,866.12
KRYS,KRYS,Healthcare,Biotechnology,286.95,651427.0,3.14,7.86,5.21,9.96,0.19,0.19,0.19,8.45
CRWV,CoreWeave,Technology,Software - Infrastructure,125.43,29697345.0,1.12,5.39,11.93,52.52,3.72,3.72,3.72,66.25
MSFT,Microsoft,Technology,Software - Infrastructure,413.62,26572430.0,0.66,-0.2,-2.64,10.75,10.99,10.99,10.99,3072.55
APLD,APLD,Technology,Information Technology Services,35.63,23736826.0,1.2,6.2,5.82,45.07,0.85,0.85,0.85,10.18
TNGX,TNGX,Healthcare,Biotechnology,22.71,2265324.0,0.7,8.25,-13.75,4.99,0.05,0.05,0.05,3.28
F,F,Consumer Cyclical,Auto Manufacturers,11.5,46139936.0,0.88,-3.2,-7.93,-0.86,0.53,0.53,0.53,46.13
FIG,FIG,Technology,Software - Application,19.96,19229681.0,1.39,6.51,15.31,-6.16,0.38,0.38,0.38,10.52
BAC,Bank of America,Financial Services,Banks - Diversified,52.19,42042048.0,1.65,-1.97,-0.84,5.69,2.19,2.19,2.19,372.11
HNGE,HNGE,Healthcare,Health Information Services,48.89,1585810.0,1.85,7.62,8.57,25.42,0.08,0.08,0.08,3.85
NOK,NOK,Technology,Communication Equipment,13.14,117991044.0,0.82,-1.2,22.12,48.98,1.55,1.55,1.55,73.35
NU,NU,Financial Services,Banks - Regional,14.16,42201998.0,1.45,-1.94,-3.28,0.07,0.6,0.6,0.6,68.83
MU,Micron,Technology,Semiconductors,576.45,44949559.0,1.13,6.31,9.89,57.4,25.91,25.91,25.91,650.08
BB,BB,Technology,Software - Infrastructure,5.58,50610089.0,3.75,2.95,4.89,61.27,0.28,0.28,0.28,3.28
QCOM,Qualcomm,Technology,Semiconductors,168.38,22767509.0,0.62,-4.88,12.06,32.79,3.83,3.83,3.83,177.47
AMZN,Amazon,Consumer Cyclical,Internet Retail,272.05,48861402.0,0.78,1.41,4.19,29.69,13.29,13.29,13.29,2925.69
^IXIC,Nasdaq,Index,Market Index,25067.8,6728050000.0,0.85,-0.19,0.73,14.57,168657.42,168657.42,168657.42,0.0
PLTR,Palantir,Technology,Software - Infrastructure,146.03,63559848.0,2.05,1.36,2.05,-1.64,9.28,9.28,9.28,350.06
CELC,CELC,Healthcare,Biotechnology,144.98,3797893.0,3.58,15.38,15.36,28.72,0.55,0.55,0.55,7.01
GOOG,Alphabet,Communication Services,Internet Content & Information,379.64,18143004.0,0.69,-0.93,8.93,28.93,6.89,6.89,6.89,4592.51
PLUG,PLUG,Industrials,Electrical Equipment & Parts,3.13,50061495.0,0.69,0.64,1.62,29.88,0.16,0.16,0.16,4.36
TXN,Texas Inst,Technology,Semiconductors,280.89,5524091.0,0.66,-0.05,4.23,44.14,1.55,1.55,1.55,255.64
ORKA,ORKA,Healthcare,Biotechnology,66.46,2183233.0,0.42,6.2,-13.0,24.67,0.15,0.15,0.15,3.98
HRC=F,Steel (熱軋鋼),Index,Market Index,1133.0,71.0,0.53,4.52,8.73,7.8,0.0,0.0,0.0,0.0
AGRO,AGRO,Consumer Defensive,Farm Products,15.18,2449879.0,1.9,9.21,16.32,-0.26,0.04,0.04,0.04,2.19
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,312.42,6379638.0,1.6,-3.54,-5.98,-2.86,1.99,1.99,1.99,311.18
BMNR,BMNR,Financial Services,Capital Markets,22.79,40580704.0,1.38,4.16,5.75,17.17,0.92,0.92,0.92,12.98
^SOX,PHLX Semi,Index,Market Index,10534.66,0.0,0.0,-0.57,1.22,34.48,0.0,0.0,0.0,0.0
PG,P&G,Consumer Defensive,Household & Personal Products,143.42,9376447.0,1.1,-2.61,-3.36,0.21,1.34,1.34,1.34,333.97
^VIX,VIX,Index,Market Index,18.29,0.0,0.0,7.65,1.5,-23.38,0.0,0.0,0.0,0.0
CL=F,Crude Oil (原油),Index,Market Index,105.09,798.0,0.0,3.09,9.05,-5.78,0.0,0.0,0.0,0.0
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,392.51,48463706.0,0.87,0.43,3.65,8.85,19.02,19.02,19.02,1474.16
TSN,TSN,Consumer Defensive,Farm Products,68.75,6227242.0,2.09,7.96,8.08,6.37,0.43,0.43,0.43,24.21
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,208.16,4575571.0,0.56,0.76,5.46,-0.33,0.95,0.95,0.95,368.19
COST,Costco,Consumer Defensive,Discount Stores,1012.79,1264956.0,0.75,0.11,1.48,-0.21,1.28,1.28,1.28,449.33
ONDS,ONDS,Technology,Communication Equipment,9.73,46789328.0,0.98,-5.72,-11.14,1.35,0.46,0.46,0.46,4.74
NCLH,NCLH,Consumer Cyclical,Travel Services,17.2,58685155.0,2.89,-8.56,-5.44,-9.14,1.01,1.01,1.01,7.84
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,258.57,6291321.0,0.66,0.72,-0.35,18.37,1.63,1.63,1.63,323.36
JPM,JPMorgan,Financial Services,Banks - Diversified,307.65,7189461.0,0.94,-1.54,-1.28,4.43,2.21,2.21,2.21,824.35
ICHR,ICHR,Technology,Semiconductor Equipment & Materials,69.72,2191092.0,2.57,8.23,-1.36,44.89,0.15,0.15,0.15,2.42
GC=F,Gold (黃金),Index,Market Index,4531.1,436.0,0.56,-2.13,-3.09,-2.59,0.0,0.0,0.0,0.0
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,202.99,11017848.0,1.33,6.14,3.21,18.39,2.24,2.24,2.24,53.6
ORCL,Oracle,Technology,Software - Infrastructure,180.29,31235336.0,1.27,4.92,4.24,23.17,5.63,5.63,5.63,518.52
NBIS,NBIS,Communication Services,Internet Content & Information,176.42,24644671.0,1.68,14.2,21.7,62.12,4.35,4.35,4.35,44.64
META,Meta,Communication Services,Internet Content & Information,610.41,16126242.0,0.69,0.27,-10.05,6.26,9.84,9.84,9.84,1549.48
GRAB,GRAB,Technology,Software - Application,3.62,68595518.0,1.17,-1.36,-6.94,0.0,0.25,0.25,0.25,14.84
NVDA,NVIDIA,Technology,Semiconductors,198.48,124170649.0,0.74,0.02,-8.37,11.89,24.65,24.65,24.65,4824.06
MSTR,MicroStrategy,Technology,Software - Application,183.8,17621655.0,1.16,3.74,8.63,53.38,3.24,3.24,3.24,64.4
GBTG,GBTG,Consumer Cyclical,Travel Services,9.34,80463852.0,82.86,57.5,62.15,67.99,0.75,0.75,0.75,4.89
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,153.69,14225310.0,0.87,0.62,3.71,-4.36,2.19,2.19,2.19,638.82
VG,VG,Energy,Oil & Gas Midstream,13.77,24093086.0,1.35,8.17,12.96,-5.94,0.33,0.33,0.33,34.18
LEGN,LEGN,Healthcare,Biotechnology,26.5,3882074.0,2.5,12.34,12.05,38.45,0.1,0.1,0.1,4.9
SOFI,SOFI,Financial Services,Credit Services,16.2,65866874.0,0.67,-1.4,-13.65,2.21,1.07,1.07,1.07,20.76
NFLX,Netflix,Communication Services,Entertainment,91.02,25836029.0,0.8,-1.13,-0.38,-7.74,2.35,2.35,2.35,383.27
MARA,MARA,Financial Services,Capital Markets,11.83,42061019.0,0.91,3.23,5.81,35.82,0.5,0.5,0.5,4.5
SOUN,SOUN,Technology,Software - Application,9.47,51648628.0,1.69,-0.94,16.05,39.68,0.49,0.49,0.49,4.04
RIVN,RIVN,Consumer Cyclical,Auto Manufacturers,14.51,47973796.0,1.74,-3.4,-13.22,-5.78,0.7,0.7,0.7,19.2
UNH,UnitedHealth,Healthcare,Healthcare Plans,370.75,3827073.0,0.49,0.53,4.53,33.72,1.42,1.42,1.42,336.72
SI=F,Silver (白銀),Index,Market Index,73.24,79.0,0.01,-3.58,-2.36,0.69,0.0,0.0,0.0,0.0
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,391.38,5055177.0,0.77,0.59,-3.33,12.31,1.98,1.98,1.98,310.6
BRK-B,Berkshire,Financial Services,Insurance - Diversified,468.52,6001513.0,1.31,-0.95,-0.91,-1.85,2.81,2.81,2.81,1010.54
