Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
JPM,JPMorgan,Financial Services,Banks - Diversified,303.0,7842359.0,0.96,0.34,1.03,-3.2,2.38,2.38,2.38,811.89
QCOM,Qualcomm,Technology,Semiconductors,213.41,27272631.0,1.23,5.38,6.66,56.84,5.82,5.82,5.82,224.93
AMZN,Amazon,Consumer Cyclical,Internet Retail,268.46,35693581.0,0.99,1.3,0.46,5.13,9.58,9.58,9.58,2887.85
NU,NU,Financial Services,Banks - Regional,13.16,62164595.0,0.76,2.89,1.78,-11.38,0.82,0.82,0.82,63.98
^SOX,PHLX Semi,Index,Market Index,11964.08,0.0,0.0,1.28,-0.91,20.74,0.0,0.0,0.0,0.0
HRC=F,Steel (熱軋鋼),Index,Market Index,1120.0,201.0,10.26,3.7,3.8,7.18,0.0,0.0,0.0,0.0
TXN,Texas Inst,Technology,Semiconductors,298.39,5617152.0,0.83,-2.13,-3.17,26.27,1.68,1.68,1.68,271.56
QBTS,QBTS,Technology,Computer Hardware,25.74,114599943.0,4.78,33.37,16.31,21.19,2.95,2.95,2.95,9.54
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1041.65,2700418.0,1.01,2.24,3.47,13.04,2.81,2.81,2.81,928.88
RDW,RDW,Industrials,Aerospace & Defense,15.35,41668794.0,0.67,3.93,9.72,28.67,0.64,0.64,0.64,3.05
COST,Costco,Consumer Defensive,Discount Stores,1050.45,2027935.0,0.93,-2.19,0.88,4.66,2.13,2.13,2.13,466.03
TE,TE,Industrials,Electrical Equipment & Parts,8.72,79147711.0,1.33,0.23,52.18,61.78,0.69,0.69,0.69,2.44
STLA,STLA,Consumer Cyclical,Auto Manufacturers,7.56,46399142.0,3.24,0.4,-3.57,-11.06,0.35,0.35,0.35,21.91
EOSE,EOSE,Industrials,Electrical Equipment & Parts,8.17,33680728.0,1.18,14.91,0.0,11.31,0.28,0.28,0.28,2.77
BTDR,BTDR,Technology,Software - Application,14.92,9198411.0,0.97,12.35,1.15,18.6,0.14,0.14,0.14,3.63
INTC,Intel,Technology,Semiconductors,118.5,101773804.0,0.71,-0.39,2.22,81.55,12.06,12.06,12.06,595.58
SPOT,SPOT,Communication Services,Internet Content & Information,489.93,7295506.0,4.17,13.06,13.27,-6.3,3.57,3.57,3.57,100.74
PLTR,Palantir,Technology,Software - Infrastructure,137.41,23573461.0,0.72,0.19,2.76,-9.96,3.24,3.24,3.24,329.43
BIRK,BIRK,Consumer Cyclical,Footwear & Accessories,39.67,7667160.0,2.42,19.45,16.23,-3.05,0.3,0.3,0.3,7.3
^GSPC,S&P 500,Index,Market Index,7445.72,2962758000.0,0.55,0.17,-0.74,4.31,22059.87,22059.87,22059.87,0.0
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,427.36,5652647.0,0.55,0.12,-3.0,5.92,2.42,2.42,2.42,339.16
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,214.5,2671521.0,0.48,1.04,1.77,6.98,0.57,0.57,0.57,378.98
META,Meta,Communication Services,Internet Content & Information,607.38,12300310.0,1.01,0.38,-1.79,-9.98,7.47,7.47,7.47,1541.79
GC=F,Gold (黃金),Index,Market Index,4541.9,458.0,0.95,0.23,-2.91,-4.03,0.0,0.0,0.0,0.0
SI=F,Silver (白銀),Index,Market Index,77.0,187.0,2.05,1.51,-9.32,-1.15,0.0,0.0,0.0,0.0
WMT,Walmart,Consumer Defensive,Discount Stores,121.34,52788301.0,2.58,-7.27,-8.39,-6.65,6.41,6.41,6.41,967.2
ONDS,ONDS,Technology,Communication Equipment,9.18,55479224.0,0.49,-1.92,-18.11,-17.0,0.51,0.51,0.51,4.55
F,F,Consumer Cyclical,Auto Manufacturers,13.67,66174419.0,0.74,3.4,-5.59,8.23,0.9,0.9,0.9,54.47
V,Visa,Financial Services,Credit Services,331.12,4151908.0,0.53,0.11,2.67,6.37,1.37,1.37,1.37,629.71
ENS,ENS,Industrials,Electrical Equipment & Parts,238.91,855098.0,1.76,11.35,-0.3,18.21,0.2,0.2,0.2,8.8
AEHR,AEHR,Technology,Semiconductor Equipment & Materials,91.3,1953073.0,0.77,10.88,-14.14,-6.22,0.18,0.18,0.18,2.87
AAPL,Apple,Technology,Consumer Electronics,304.99,42823425.0,1.04,0.91,2.27,11.65,13.06,13.06,13.06,4479.5
NOK,NOK,Technology,Communication Equipment,14.18,60298116.0,0.6,4.11,-1.94,43.81,0.86,0.86,0.86,79.16
ARM,ARM,Technology,Semiconductors,298.23,21320169.0,1.88,16.16,30.52,51.72,6.36,6.36,6.36,317.32
BAC,Bank of America,Financial Services,Banks - Diversified,51.49,27417495.0,0.66,0.51,3.29,-3.07,1.41,1.41,1.41,365.4
NVDA,NVIDIA,Technology,Semiconductors,219.51,200994166.0,1.21,-1.77,-6.88,8.4,44.12,44.12,44.12,5316.65
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,417.85,42321926.0,0.87,0.14,-5.74,7.83,17.68,17.68,17.68,1569.33
POET,POET,Technology,Semiconductors,14.82,50492632.0,0.57,0.27,-27.95,16.05,0.75,0.75,0.75,2.27
LITE,LITE,Technology,Communication Equipment,964.5,5637947.0,0.91,11.11,-3.72,10.41,5.44,5.44,5.44,75.04
CRM,Salesforce,Technology,Software - Application,176.31,7757580.0,0.57,-2.1,5.21,-7.11,1.37,1.37,1.37,144.23
MA,Mastercard,Financial Services,Credit Services,499.62,2442271.0,0.72,0.32,1.98,-2.07,1.22,1.22,1.22,441.46
JNJ,J&J,Healthcare,Drug Manufacturers - General,231.73,5196882.0,0.56,1.05,0.4,2.49,1.2,1.2,1.2,557.82
MU,Micron,Technology,Semiconductors,762.1,42072334.0,0.8,4.11,-1.79,56.33,32.06,32.06,32.06,859.45
FRVO,FRVO,Utilities,Utilities - Renewable,42.5,7986145.0,1.07,11.81,4.6,0.0,0.34,0.34,0.34,12.05
^DJI,Dow Jones,Index,Market Index,50285.66,565800938.0,1.1,0.55,0.44,1.61,28451.67,28451.67,28451.67,0.0
