Code,Name,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Industry,Vol_Increase,RVOL,Weekly_Chg%,Monthly_Chg%
4989.TW,榮科,49.85,-0.10020040080160322,4.6771837275,9382515.0,一般,一般,False,0,0,0
4994.TW,傳奇,98.0,0.5128205128205128,0.0167727,17115.0,一般,一般,False,0,0,0
4999.TW,鑫禾,22.8,0.4405286343612335,0.013239276000000001,58067.0,一般,一般,False,0,0,0
5007.TW,三星,55.5,-0.3590664272890485,0.00455544,8208.0,一般,一般,False,0,0,0
5203.TW,訊連,88.2,1.3793103448275863,0.24285517199999998,275346.0,一般,一般,False,0,0,0
5215.TW,科嘉-KY,35.0,0.14306151645207438,0.01211945,34627.0,一般,一般,False,0,0,0
5222.TW,全訊,129.0,-0.7692307692307693,0.67019499,519531.0,一般,一般,False,0,0,0
5225.TW,東科-KY,99.4,-0.6,0.289228156,290974.0,一般,一般,False,0,0,0
5234.TW,達興材料,361.5,-2.0325203252032518,5.410451205,1496667.0,一般,一般,False,0,0,0
5243.TW,乙盛-KY,81.1,2.0125786163522017,2.8543615379999996,3519558.0,一般,一般,False,0,0,0
5244.TW,弘凱,39.3,0.12738853503184716,0.12349003199999999,314224.0,一般,一般,False,0,0,0
5258.TW,虹堡,63.5,-0.3139717425431711,0.15504287,244162.0,一般,一般,False,0,0,0
5269.TW,祥碩,1305.0,9.663865546218489,23.21917335,1779247.0,IC設計,IC設計,False,0,0,0
5283.TW,禾聯碩,59.9,0.33500837520938026,0.065633628,109572.0,一般,一般,False,0,0,0
5284.TW,jpp-KY,273.0,-2.3255813953488373,3.1263141,1145170.0,一般,一般,False,0,0,0
5285.TW,界霖,51.1,0.7889546351084813,0.071082655,139105.0,一般,一般,False,0,0,0
5288.TW,豐祥-KY,152.0,3.4013605442176873,0.69800984,459217.0,一般,一般,False,0,0,0
5292.TW,華懋,177.5,1.7191977077363898,0.4883593,275132.0,一般,一般,False,0,0,0
5306.TW,桂盟,88.9,0.5656108597285068,0.06108496800000001,68712.0,一般,一般,False,0,0,0
5388.TW,中磊,79.6,3.108808290155441,4.7038625,5909375.0,一般,一般,False,0,0,0
5434.TW,崇越,307.0,1.487603305785124,2.78349225,906675.0,一般,一般,False,0,0,0
5469.TW,瀚宇博,92.8,1.4207650273224044,4.610853376,4968592.0,一般,一般,False,0,0,0
5471.TW,松翰,33.1,2.795031055900621,0.13892632700000002,419717.0,一般,一般,False,0,0,0
5484.TW,慧友,40.5,-2.173913043478261,0.445733685,1100577.0,一般,一般,False,0,0,0
5515.TW,建國,38.7,4.594594594594594,0.440191215,1137445.0,一般,一般,False,0,0,0
5519.TW,隆大,32.9,0.15220700152207,0.074559296,226624.0,一般,一般,False,0,0,0
5521.TW,工信,23.9,9.885057471264368,2.39635023,10026570.0,一般,一般,False,0,0,0
5522.TW,遠雄,73.4,2.086230876216968,0.9148348460000001,1246369.0,一般,一般,False,0,0,0
5525.TW,順天,27.8,-0.35842293906810035,0.015408428,55426.0,一般,一般,False,0,0,0
5531.TW,鄉林,9.03,0.0,0.09345147,1034900.0,一般,一般,False,0,0,0
5533.TW,皇鼎,14.25,-0.6968641114982579,0.0555295425,389681.0,一般,一般,False,0,0,0
5534.TW,長虹,84.7,0.35545023696682465,0.541638713,639479.0,一般,一般,False,0,0,0
5538.TW,東明-KY,32.3,1.7322834645669294,0.018237226,56462.0,一般,一般,False,0,0,0
