Code,Name,Close,Volume,Daily_Amount_B,Daily_Chg%,Vol_Increase,Sector,Industry,RVOL,Weekly_Chg%,Monthly_Chg%
2012.TW,春雨,17.2,82571.0,0.01405303,3.303303303303304,False,一般,一般,0,0,0
2013.TW,中鋼構,42.8,511083.0,0.21791393,0.0,True,一般,一般,0,0,0
2014.TW,中鴻,17.2,39863557.0,6.6646643,8.860759493670885,True,一般,一般,0,0,0
2015.TW,豐興,62.5,271480.0,0.16961435,0.9693053311793215,True,一般,一般,0,0,0
2017.TW,官田鋼,9.17,3873960.0,0.34640589,9.952038369304555,True,一般,一般,0,0,0
2020.TW,美亞,24.1,610252.0,0.14526898,4.103671706263498,True,一般,一般,0,0,0
2022.TW,聚亨,8.62,2334294.0,0.196935,9.948979591836736,True,一般,一般,0,0,0
2023.TW,燁輝,15.2,4197006.0,0.63460649,3.4013605442176873,True,一般,一般,0,0,0
2024.TW,志聯,16.9,41644.0,0.00694517,3.6809815950920246,True,一般,一般,0,0,0
2025.TW,千興,11.8,1182595.0,0.1339754,9.767441860465116,True,一般,一般,0,0,0
2027.TW,大成鋼,37.5,55501691.0,20.37946607,6.990014265335237,True,一般,一般,0,0,0
2028.TW,威致,18.85,1040769.0,0.19206812,9.912536443148687,True,一般,一般,0,0,0
2029.TW,盛餘,21.7,316877.0,0.06818131,3.3333333333333335,True,一般,一般,0,0,0
2030.TW,彰源,15.7,3835137.0,0.59013182,9.79020979020979,True,一般,一般,0,0,0
2031.TW,新光鋼,40.4,3055046.0,1.20733958,7.446808510638298,True,一般,一般,0,0,0
2032.TW,新鋼,16.3,2321877.0,0.36815061,9.764309764309763,True,一般,一般,0,0,0
2033.TW,佳大,17.1,1430613.0,0.2420346,8.227848101265822,True,一般,一般,0,0,0
2034.TW,允強,21.8,6234823.0,1.34074991,7.389162561576354,True,一般,一般,0,0,0
2038.TW,海光,15.6,2467946.0,0.37856102,9.859154929577464,True,一般,一般,0,0,0
2049.TW,上銀,196.0,3235033.0,6.40331345,-0.5076142131979695,False,一般,一般,0,0,0
2059.TW,川湖,3255.0,963948.0,31.60932945,1.5600624024960998,False,高價股,高價股,0,0,0
2062.TW,橋椿,20.75,222892.0,0.0461348,0.9732360097323601,True,一般,一般,0,0,0
2069.TW,運錩,18.95,897953.0,0.16884714,4.696132596685083,True,一般,一般,0,0,0
2101.TW,南港,37.45,1645886.0,0.61514456,0.8075370121130551,True,一般,一般,0,0,0
2102.TW,泰豐,19.3,416184.0,0.08058028,-1.278772378516624,True,一般,一般,0,0,0
2103.TW,台橡,15.35,1991681.0,0.30358042,4.067796610169491,True,一般,一般,0,0,0
2104.TW,國際中橡,11.45,2849541.0,0.32485686,2.690582959641256,True,一般,一般,0,0,0
2105.TW,正新,29.9,30045220.0,8.77847679,2.0477815699658706,True,一般,一般,0,0,0
2106.TW,建大,19.15,982607.0,0.18760538,0.5249343832020998,True,一般,一般,0,0,0
2107.TW,厚生,24.65,172661.0,0.04255505,0.0,False,一般,一般,0,0,0
2108.TW,南帝,24.55,2376348.0,0.58753359,6.277056277056277,True,一般,一般,0,0,0
2109.TW,華豐,14.95,113842.0,0.01698488,0.0,True,一般,一般,0,0,0
2114.TW,鑫永銓,89.7,40458.0,0.0363707,-0.3333333333333333,True,一般,一般,0,0,0
2115.TW,六暉-KY,24.35,57099.0,0.01389586,0.0,False,一般,一般,0,0,0
2201.TW,裕隆,32.1,3463360.0,1.10921075,1.1023622047244095,False,一般,一般,0,0,0
2204.TW,中華,58.1,1124867.0,0.65405592,-0.1718213058419244,True,一般,一般,0,0,0
2206.TW,三陽工業,60.1,773931.0,0.464177,0.0,True,一般,一般,0,0,0
2207.TW,和泰車,544.0,484509.0,2.62123479,-0.5484460694698354,True,一般,一般,0,0,0
2208.TW,台船,19.7,3542719.0,0.69691054,-0.7556675062972293,True,一般,一般,0,0,0
2211.TW,長榮鋼,102.0,1193896.0,1.21683785,0.9900990099009901,False,一般,一般,0,0,0
2227.TW,裕日車,54.1,44729.0,0.02430255,0.0,True,一般,一般,0,0,0
2228.TW,劍麟,110.0,2015460.0,2.1933381,4.265402843601896,True,一般,一般,0,0,0
2231.TW,為升,94.2,446266.0,0.41384472,2.50272034820457,False,一般,一般,0,0,0
2233.TW,宇隆,209.0,710079.0,1.47904319,-0.9478672985781991,False,一般,一般,0,0,0
2236.TW,百達-KY,116.5,550454.0,0.64624202,-0.4273504273504274,True,一般,一般,0,0,0
2239.TW,英利-KY,35.5,353129.0,0.12634879,-1.7980636237897651,True,一般,一般,0,0,0
2241.TW,艾姆勒,34.7,402077.0,0.13853631,1.1661807580174928,False,一般,一般,0,0,0
2243.TW,宏旭-KY,11.25,193920.0,0.02173924,-0.881057268722467,True,一般,一般,0,0,0
2247.TW,汎德永業,281.5,153078.0,0.43067688,1.0771992818671454,False,一般,一般,0,0,0
2248.TW,華勝-KY,49.05,13013.0,0.00639489,-0.10183299389002037,True,一般,一般,0,0,0
2250.TW,IKKA-KY,71.9,79766.0,0.05759673,-0.1388888888888889,False,一般,一般,0,0,0
2254.TW,巨鎧精密-創,59.6,75000.0,0.044472,0.3367003367003367,True,一般,一般,0,0,0
2258.TW,鴻華先進-創,40.7,659528.0,0.26998873,-0.3671970624235006,False,一般,一般,0,0,0
2301.TW,光寶科,163.5,25905660.0,43.11512067,-4.105571847507331,True,一般,一般,0,0,0
2302.TW,麗正,18.4,1130671.0,0.20945676,1.9390581717451525,False,一般,一般,0,0,0
2303.TW,聯電,54.1,232693576.0,124.35786065,9.959349593495935,True,一般,一般,0,0,0
2305.TW,全友,11.75,5891754.0,0.70561229,-0.423728813559322,True,一般,一般,0,0,0
2308.TW,台達電,1030.0,18956362.0,195.36353781,-1.9047619047619049,True,高價股,高價股,0,0,0
2312.TW,金寶,23.85,49555417.0,11.81151092,2.5806451612903225,True,一般,一般,0,0,0
2313.TW,華通,110.5,141522055.0,151.02014319,6.763285024154589,True,一般,一般,0,0,0
2314.TW,台揚,21.25,221836.0,0.04716014,-2.0737327188940093,False,一般,一般,0,0,0
2316.TW,楠梓電,97.3,2296812.0,2.23880908,-0.3073770491803279,False,一般,一般,0,0,0
2317.TW,鴻海,238.5,88280139.0,210.20122381,1.059322033898305,True,一般,一般,0,0,0
2321.TW,東訊,17.3,30996.0,0.00530282,-0.5747126436781609,True,一般,一般,0,0,0
2323.TW,中環,11.6,27916161.0,3.20579263,2.6548672566371683,True,一般,一般,0,0,0
2324.TW,仁寶,30.95,26345709.0,8.13915861,0.487012987012987,True,一般,一般,0,0,0
2327.TW,國巨*,253.0,47713033.0,122.21493091,-0.19723865877712032,False,一般,一般,0,0,0
2328.TW,廣宇,48.8,4950867.0,2.42935509,-0.40816326530612246,True,一般,一般,0,0,0
2329.TW,華泰,56.0,22826273.0,12.96837775,-0.7092198581560284,True,一般,一般,0,0,0
2330.TW,台積電,1675.0,54807595.0,917.17350741,-1.7595307917888565,True,高價股,高價股,0,0,0
2331.TW,精英,23.85,6876956.0,1.62795694,3.0237580993520514,True,一般,一般,0,0,0
2332.TW,友訊,15.4,3227882.0,0.49756292,0.983606557377049,False,一般,一般,0,0,0
2337.TW,旺宏,57.6,465772691.0,260.31228776,9.923664122137406,True,一般,一般,0,0,0
2338.TW,光罩,38.95,5418698.0,2.07917617,6.566347469220244,True,一般,一般,0,0,0
