datetime,open,high,low,close,volume
2026-08-03 09:00:00+08:00,42780.421875,43181.859375,42780.421875,43156.55859375,0
2026-08-03 09:05:00+08:00,43156.26953125,43319.16015625,43107.8203125,43256.33984375,0
2026-08-03 09:10:00+08:00,43298.51953125,43413.6796875,43262.4296875,43358.98828125,0
2026-08-03 09:15:00+08:00,43396.98046875,43396.98046875,43235.578125,43238.30859375,0
2026-08-03 09:20:00+08:00,43235.48828125,43469.62109375,43226.4609375,43469.62109375,0
2026-08-03 09:25:00+08:00,43463.078125,43523.41015625,43418.80078125,43471.25,0
2026-08-03 09:30:00+08:00,43463.19921875,43526.62109375,43402.98828125,43444.46875,0
2026-08-03 09:35:00+08:00,43399.30078125,43444.4296875,43282.87109375,43298.55078125,0
2026-08-03 09:40:00+08:00,43297.078125,43428.5390625,43297.078125,43381.0,0
2026-08-03 09:45:00+08:00,43422.41015625,43440.26171875,43350.80078125,43393.05078125,0
2026-08-03 09:50:00+08:00,43390.921875,43494.390625,43359.921875,43484.9609375,0
2026-08-03 09:55:00+08:00,43441.4296875,43559.6796875,43441.4296875,43523.328125,0
2026-08-03 10:00:00+08:00,43562.55859375,43587.08984375,43499.9296875,43578.69140625,0
2026-08-03 10:05:00+08:00,43575.37109375,43575.37109375,43506.12890625,43542.609375,0
2026-08-03 10:10:00+08:00,43543.62109375,43623.23046875,43499.0390625,43622.3203125,0
2026-08-03 10:15:00+08:00,43624.69140625,43744.078125,43584.05078125,43732.76171875,0
2026-08-03 10:20:00+08:00,43725.828125,43784.19140625,43618.48046875,43656.94140625,0
2026-08-03 10:25:00+08:00,43655.640625,43663.83984375,43490.23046875,43542.3515625,0
2026-08-03 10:30:00+08:00,43542.5390625,43597.55078125,43506.0,43548.16015625,0
2026-08-03 10:35:00+08:00,43554.23046875,43603.33984375,43539.7109375,43574.78125,0
2026-08-03 10:40:00+08:00,43536.46875,43596.55859375,43491.859375,43535.62109375,0
2026-08-03 10:45:00+08:00,43532.19140625,43542.109375,43470.921875,43509.8984375,0
2026-08-03 10:50:00+08:00,43511.44140625,43587.171875,43475.859375,43544.30078125,0
2026-08-03 10:55:00+08:00,43547.6796875,43598.8984375,43506.4296875,43512.80078125,0
2026-08-03 11:00:00+08:00,43510.98828125,43556.078125,43456.87109375,43505.21875,0
2026-08-03 11:05:00+08:00,43501.578125,43505.80078125,43432.0703125,43441.41015625,0
2026-08-03 11:10:00+08:00,43442.05078125,43489.96875,43440.1484375,43446.4296875,0
2026-08-03 11:15:00+08:00,43448.87890625,43491.44140625,43392.33984375,43432.91015625,0
2026-08-03 11:20:00+08:00,43390.80078125,43439.26171875,43368.62890625,43372.75,0
2026-08-03 11:25:00+08:00,43414.26953125,43424.69921875,43357.5703125,43398.859375,0
2026-08-03 11:30:00+08:00,43394.62109375,43421.30859375,43361.19140625,43378.98046875,0
2026-08-03 11:35:00+08:00,43377.44921875,43452.0703125,43377.44921875,43408.51171875,0
2026-08-03 11:40:00+08:00,43406.44921875,43468.1484375,43406.44921875,43452.98828125,0
2026-08-03 11:45:00+08:00,43454.03125,43514.7890625,43416.94921875,43474.76953125,0
2026-08-03 11:50:00+08:00,43485.01953125,43538.48046875,43464.578125,43512.53125,0
2026-08-03 11:55:00+08:00,43551.19140625,43557.421875,43453.859375,43492.96875,0
2026-08-03 12:00:00+08:00,43493.421875,43499.30078125,43422.0703125,43424.66015625,0
2026-08-03 12:05:00+08:00,43423.3984375,43488.078125,43423.3984375,43484.1015625,0
2026-08-03 12:10:00+08:00,43481.44921875,43485.05078125,43470.48046875,43474.6796875,0
2026-08-03 12:15:00+08:00,43476.19921875,43482.08984375,43433.33984375,43477.16015625,0
2026-08-03 12:20:00+08:00,43431.26171875,43496.8984375,43428.30078125,43496.8984375,0
2026-08-03 12:25:00+08:00,43494.80078125,43517.66015625,43461.46875,43466.390625,0
2026-08-03 12:30:00+08:00,43472.30078125,43543.8984375,43465.44921875,43491.75,0
2026-08-03 12:35:00+08:00,43529.48828125,43535.6484375,43446.98046875,43493.359375,0
2026-08-03 12:40:00+08:00,43494.19921875,43494.19921875,43425.83984375,43479.1015625,0
2026-08-03 12:45:00+08:00,43472.44140625,43489.05859375,43436.01171875,43488.71875,0
2026-08-03 12:50:00+08:00,43485.78125,43492.76953125,43433.12890625,43479.21875,0
2026-08-03 12:55:00+08:00,43440.6484375,43477.25,43419.5,43422.5703125,0
2026-08-03 13:00:00+08:00,43459.73828125,43478.328125,43417.19140625,43425.6015625,0
2026-08-03 13:05:00+08:00,43464.26171875,43464.26171875,43390.1015625,43428.3984375,0
2026-08-03 13:10:00+08:00,43432.83984375,43433.12109375,43373.94921875,43374.55078125,0
2026-08-03 13:15:00+08:00,43411.1484375,43412.80859375,43356.9609375,43360.8984375,0
2026-08-03 13:20:00+08:00,43358.26171875,43404.41015625,43306.53125,43319.0390625,0
2026-08-03 13:25:00+08:00,43362.5,43362.5,43362.30078125,43362.30078125,0
