Code,Close,Daily_Chg%,Daily_Amount_B,Volume,Sector,Name,Industry,RVOL,Weekly_Chg%,Monthly_Chg%,Vol_Increase
5274.TWO,16370.0,4.467134652201659,86.0104355,525415.0,伺服器IC,信驊,伺服器IC,0,0,0,0
6669.TW,4635.0,9.058823529411764,231.5770218,4996268.0,AI伺服器,緯穎,AI伺服器,0,0,0,0
3661.TW,4215.0,5.9045226130653266,138.6668403,3289842.0,ASIC設計,世芯-KY,ASIC設計,0,0,0,0
7769.TWO,4730.0,-1.6632016632016633,69.2291314,1463618.0,IC測試(興櫃),鴻勁,IC測試(興櫃),0,0,0,0
6515.TW,10060.0,-6.244175209692451,55.3603812,550302.0,一般,穎崴,一般,0,0,0,0
2059.TW,3795.0,5.857740585774058,63.37008645,1669831.0,一般,川湖,一般,0,0,0,0
3008.TW,2520.0,1.4084507042253522,40.5549144,1609322.0,光學鏡頭,大立光,光學鏡頭,0,0,0,0
3443.TW,4035.0,3.1969309462915603,72.91345875,1807025.0,一般,創意,一般,0,0,0,0
3653.TW,5370.0,1.1299435028248588,25.2134388,469524.0,一般,健策,一般,0,0,0,0
6510.TWO,3630.0,-5.714285714285714,54.5203494,1501938.0,一般,精測,一般,0,0,0,0
6223.TWO,4650.0,-2.9227557411273484,69.862902,1502428.0,一般,旺矽,一般,0,0,0,0
3131.TWO,3130.0,-0.6349206349206349,51.7034997,1651869.0,一般,弘塑,一般,0,0,0,0
3529.TWO,3900.0,-2.0100502512562812,36.107643,925837.0,一般,力旺,一般,0,0,0,0
2330.TW,2185.0,5.048076923076923,1081.36277095,49490287.0,半導體業,台積電,半導體業,0,0,0,0
8299.TWO,1680.0,-1.466275659824047,122.6273496,7299247.0,一般,群聯,一般,0,0,0,0
2383.TW,4475.0,9.146341463414634,197.2711565,4408294.0,一般,台光電,一般,0,0,0,0
2454.TW,2435.0,10.0,558.93026525,22954015.0,IC設計,聯發科,IC設計,0,0,0,0
3665.TW,2765.0,0.3629764065335753,97.1004958,3511772.0,一般,貿聯-KY,一般,0,0,0,0
6805.TW,1915.0,0.2617801047120419,67.82342095,3541693.0,一般,富世達,一般,0,0,0,0
3017.TW,2945.0,9.888059701492537,154.4088238,5243084.0,一般,奇鋐,一般,0,0,0,0
3533.TW,2520.0,2.4390243902439024,60.1107192,2385346.0,一般,嘉澤,一般,0,0,0,0
5269.TW,1295.0,1.5686274509803921,26.63282755,2056589.0,一般,祥碩,一般,0,0,0,0
6442.TW,1880.0,-6.9306930693069315,42.3386904,2252058.0,一般,光聖,一般,0,0,0,0
6781.TW,1115.0,0.0,26.6548109,2390566.0,一般,AES-KY,一般,0,0,0,0
2345.TW,2140.0,2.8846153846153846,106.6078664,4981676.0,一般,智邦,一般,0,0,0,0
2308.TW,2075.0,4.797979797979798,239.37982275,11536377.0,一般,台達電,一般,0,0,0,0
6409.TW,765.0,-0.2607561929595828,4.58752905,599677.0,一般,旭隼,一般,0,0,0,0
2404.TW,989.0,1.435897435897436,44.75672028,4525452.0,一般,漢唐,一般,0,0,0,0
7734.TWO,3765.0,8.658008658008658,44.4918333,1181722.0,封裝材料(興櫃),印能科技,封裝材料(興櫃),0,0,0,0
1590.TW,1360.0,-1.4492753623188406,38.5739656,2836321.0,一般,亞德客-KY,一般,0,0,0,0
