date,open,high,low,close,volume
2025-01-02,22.5,22.95,22.35,22.6,6326889
2025-01-03,22.7,22.85,22.0,22.15,5926038
2025-01-06,22.1,22.4,22.1,22.15,4824448
2025-01-07,22.35,22.35,21.8,22.0,5365266
2025-01-08,22.0,22.0,21.65,21.65,5988625
2025-01-09,21.9,21.9,21.15,21.15,6152658
2025-01-10,21.15,21.25,20.85,21.2,6856643
2025-01-13,21.2,21.2,20.55,20.6,5363855
2025-01-14,20.8,21.7,20.8,21.25,7741879
2025-01-15,21.25,21.9,21.25,21.75,5939823
2025-01-16,21.8,22.05,21.65,21.65,4592498
2025-01-17,21.7,22.4,21.7,22.0,5846996
2025-01-20,22.25,22.35,22.0,22.0,3968048
2025-01-21,22.0,22.1,21.85,21.9,3045200
2025-01-22,22.0,22.15,21.95,22.1,3581939
2025-02-03,22.1,22.2,21.9,22.0,5452020
2025-02-04,22.0,22.35,21.65,21.65,5395095
2025-02-05,21.9,21.9,21.65,21.7,4131353
2025-02-06,21.8,22.0,21.7,21.75,3642130
2025-02-07,21.85,22.4,21.85,22.1,5671242
2025-02-10,22.2,22.65,22.2,22.4,5732826
2025-02-11,22.5,23.1,22.5,22.7,6558132
2025-02-12,22.75,22.9,22.55,22.55,4686665
2025-02-13,22.75,23.55,22.55,23.15,8790789
2025-02-14,24.0,24.4,23.15,23.35,15254045
2025-02-17,23.4,23.4,22.85,22.95,8307164
2025-02-18,23.05,23.6,23.0,23.4,6011666
2025-02-19,23.5,24.3,23.45,23.9,8880522
2025-02-20,23.95,24.3,23.7,23.75,6598905
2025-02-21,23.8,24.5,23.8,24.5,7093323
2025-02-24,24.45,24.85,24.35,24.7,6795610
2025-02-25,24.55,24.7,24.3,24.35,3460313
2025-02-26,24.3,24.5,24.2,24.35,1844539
2025-02-27,24.3,24.4,24.15,24.2,2594111
2025-03-03,24.2,24.4,23.85,24.3,3326235
2025-03-04,24.0,24.35,23.9,24.3,2972358
2025-03-05,24.7,25.65,24.7,25.55,9054302
2025-03-06,25.5,25.7,25.25,25.5,4067382
2025-03-07,25.55,25.7,25.15,25.3,3221227
2025-03-10,25.4,25.5,25.3,25.3,1860946
2025-03-11,24.85,25.15,24.45,24.85,6731395
2025-03-12,24.85,25.1,24.85,24.9,2396650
2025-03-13,25.0,25.0,24.3,24.3,5275962
2025-03-14,24.5,24.5,24.25,24.4,2442204
2025-03-17,24.45,24.8,24.45,24.55,1825138
2025-03-18,24.7,25.3,24.6,25.2,3355042
2025-03-19,25.2,25.6,25.05,25.15,3277782
2025-03-20,25.5,25.75,25.2,25.75,3362737
2025-03-21,25.75,25.75,25.45,25.45,2627479
2025-03-24,25.5,25.6,25.3,25.4,2132730
2025-03-25,25.4,25.7,25.15,25.35,1812526
2025-03-26,25.35,25.4,25.0,25.1,2380199
2025-03-27,25.1,25.3,25.05,25.25,2290349
2025-03-28,25.25,25.25,24.35,24.5,4783954
2025-03-31,24.05,24.35,23.8,24.25,5042850
