Date,open,open,open,high,high,high,low,low,low,close,close,close,volume,volume,volume
2025-01-02,34.20000076293945,33.54999923706055,299.5,34.20000076293945,33.54999923706055,299.5,34.20000076293945,33.54999923706055,299.5,34.29999923706055,33.95000076293945,299.5,29623,5251350.0,0.0
2025-01-03,34.0,33.20000076293945,299.5,34.0,33.20000076293945,299.5,34.0,33.20000076293945,299.5,34.0,33.349998474121094,299.5,21442,3445498.0,0.0
2025-01-06,33.599998474121094,32.0,299.5,33.599998474121094,32.0,299.5,33.599998474121094,32.0,299.5,33.70000076293945,34.0,299.5,73441,6688800.0,0.0
2025-01-07,33.70000076293945,34.45000076293945,299.5,33.70000076293945,34.45000076293945,299.5,33.70000076293945,34.45000076293945,299.5,33.95000076293945,35.20000076293945,299.5,26573,12133734.0,0.0
2025-01-08,33.29999923706055,33.349998474121094,299.5,33.29999923706055,33.349998474121094,299.5,33.29999923706055,33.349998474121094,299.5,33.29999923706055,34.0,299.5,23424,2404432.0,0.0
2025-01-09,33.5,33.04999923706055,299.5,33.5,33.04999923706055,299.5,33.5,33.04999923706055,299.5,33.95000076293945,34.849998474121094,299.5,187038,11746050.0,0.0
2025-01-10,32.70000076293945,32.900001525878906,299.5,32.70000076293945,32.900001525878906,299.5,32.70000076293945,32.900001525878906,299.5,32.900001525878906,32.95000076293945,299.5,15506,3938233.0,0.0
2025-01-13,32.900001525878906,32.099998474121094,299.5,32.900001525878906,32.099998474121094,299.5,32.900001525878906,32.099998474121094,299.5,32.900001525878906,32.20000076293945,299.5,56961,3551442.0,0.0
2025-01-14,31.799999237060547,30.299999237060547,299.5,31.799999237060547,30.299999237060547,299.5,31.799999237060547,30.299999237060547,299.5,32.79999923706055,31.25,299.5,105794,4222430.0,0.0
2025-01-15,31.25,30.950000762939453,299.5,31.25,30.950000762939453,299.5,31.25,30.950000762939453,299.5,32.29999923706055,31.549999237060547,299.5,21263,2544791.0,0.0
2025-01-16,31.799999237060547,32.150001525878906,299.5,31.799999237060547,32.150001525878906,299.5,31.799999237060547,32.150001525878906,299.5,33.599998474121094,32.400001525878906,299.5,26853,3207740.0,0.0
2025-01-17,32.95000076293945,31.350000381469727,299.5,32.95000076293945,31.350000381469727,299.5,32.95000076293945,31.350000381469727,299.5,33.599998474121094,31.649999618530273,299.5,32377,1670137.0,0.0
