Date,open,open,open,open,high,high,high,high,low,low,low,low,close,close,close,close,volume,volume,volume,volume
2025-01-02,64.0999984741211,24.0,29.17696762084961,34.5,64.0999984741211,24.0,29.17696762084961,34.5,64.0999984741211,24.0,29.17696762084961,34.5,64.0999984741211,24.0,29.17696762084961,34.5,225001,76005,44827,188001
2025-01-03,63.79999923706055,23.350000381469727,29.08550262451172,34.599998474121094,63.79999923706055,23.350000381469727,29.08550262451172,34.599998474121094,63.79999923706055,23.350000381469727,29.08550262451172,34.599998474121094,63.79999923706055,23.350000381469727,29.08550262451172,34.599998474121094,349001,59999,36627,299001
2025-01-06,63.599998474121094,23.25,29.268430709838867,34.650001525878906,63.599998474121094,23.25,29.268430709838867,34.650001525878906,63.599998474121094,23.25,29.268430709838867,34.650001525878906,63.599998474121094,23.25,29.268430709838867,34.650001525878906,541003,42065,76145,359184
2025-01-07,67.0,23.299999237060547,29.359893798828125,35.29999923706055,67.0,23.299999237060547,29.359893798828125,35.29999923706055,67.0,23.299999237060547,29.359893798828125,35.29999923706055,67.0,23.299999237060547,29.359893798828125,35.29999923706055,2630052,44538,66463,257135
2025-01-08,66.0,24.299999237060547,28.99403953552246,34.5,66.0,24.299999237060547,28.99403953552246,34.5,66.0,24.299999237060547,28.99403953552246,34.5,66.0,24.299999237060547,28.99403953552246,34.5,473069,130855,42094,218001
2025-01-09,64.9000015258789,23.299999237060547,28.99403953552246,34.79999923706055,64.9000015258789,23.299999237060547,28.99403953552246,34.79999923706055,64.9000015258789,23.299999237060547,28.99403953552246,34.79999923706055,64.9000015258789,23.299999237060547,28.99403953552246,34.79999923706055,893222,68348,55213,389051
2025-01-10,62.5,23.0,28.445255279541016,34.099998474121094,62.5,23.0,28.445255279541016,34.099998474121094,62.5,23.0,28.445255279541016,34.099998474121094,62.5,23.0,28.445255279541016,34.099998474121094,650055,108072,26240,263043
2025-01-13,62.29999923706055,21.600000381469727,28.445255279541016,33.0,62.29999923706055,21.600000381469727,28.445255279541016,33.0,62.29999923706055,21.600000381469727,28.445255279541016,33.0,62.29999923706055,21.600000381469727,28.445255279541016,33.0,1148582,196015,64506,646019
2025-01-14,60.0,20.299999237060547,28.628183364868164,32.099998474121094,60.0,20.299999237060547,28.628183364868164,32.099998474121094,60.0,20.299999237060547,28.628183364868164,32.099998474121094,60.0,20.299999237060547,28.628183364868164,32.099998474121094,366060,61297,29530,288227
2025-01-15,60.0,20.600000381469727,28.17086410522461,32.400001525878906,60.0,20.600000381469727,28.17086410522461,32.400001525878906,60.0,20.600000381469727,28.17086410522461,32.400001525878906,60.0,20.600000381469727,28.17086410522461,32.400001525878906,376052,33117,51934,167001
