date,open,high,low,close,volume
2025-01-02,22.35,22.35,21.8,21.85,452561
2025-01-03,22.05,22.1,21.75,22.0,217509
2025-01-06,22.1,22.3,21.95,22.2,346008
2025-01-07,22.4,22.4,22.1,22.1,240712
2025-01-08,22.1,22.3,22.05,22.25,218163
2025-01-09,22.3,22.8,22.25,22.6,683877
2025-01-10,22.95,23.55,22.45,22.45,1254460
2025-01-13,22.45,22.55,21.75,22.25,640070
2025-01-14,22.1,22.3,21.95,22.0,362019
2025-01-15,22.05,22.25,22.0,22.1,365979
2025-01-16,22.25,22.4,22.05,22.2,453756
2025-01-17,22.4,22.5,22.25,22.35,273635
2025-01-20,22.25,22.35,22.05,22.25,277019
2025-01-21,22.4,22.45,22.25,22.35,145428
2025-01-22,22.35,22.5,22.25,22.5,378380
2025-02-03,22.35,22.6,21.95,22.35,763227
2025-02-04,22.45,22.45,22.2,22.2,297501
2025-02-05,22.45,22.6,22.25,22.25,319233
2025-02-06,22.35,23.15,22.35,22.95,819611
2025-02-07,23.2,23.2,22.6,22.7,455139
2025-02-10,22.6,22.7,22.45,22.55,261313
2025-02-11,22.5,22.7,22.35,22.35,280333
2025-02-12,22.4,22.5,22.25,22.4,293188
2025-02-13,22.5,22.85,22.45,22.8,590069
2025-02-14,22.85,23.05,22.55,22.95,432372
2025-02-17,23.2,23.2,22.75,22.85,319221
2025-02-18,22.8,22.85,22.55,22.65,288898
2025-02-19,22.65,23.65,22.65,23.35,2490113
2025-02-20,23.3,23.3,23.0,23.3,928648
2025-02-21,23.3,23.4,23.2,23.25,572203
2025-02-24,23.35,23.55,23.15,23.15,512902
2025-02-25,23.05,23.2,22.8,23.0,717241
2025-02-26,23.0,23.0,22.8,22.85,686493
2025-02-27,22.85,23.1,22.85,23.1,667626
2025-03-03,23.25,23.4,22.9,22.95,434139
2025-03-04,22.7,22.85,22.4,22.85,604709
2025-03-05,22.7,22.9,22.5,22.8,338857
2025-03-06,23.05,23.05,22.8,22.85,178033
2025-03-07,22.9,22.9,22.65,22.7,293732
2025-03-10,22.6,22.95,22.45,22.85,386355
2025-03-11,22.6,22.85,22.3,22.8,420332
2025-03-12,22.55,22.85,22.55,22.7,315575
2025-03-13,22.7,22.8,22.5,22.5,322877
2025-03-14,22.8,22.8,22.5,22.7,329787
2025-03-17,22.8,22.95,22.65,22.8,263797
2025-03-18,22.95,23.05,22.85,22.95,263516
2025-03-19,23.0,23.05,22.8,22.95,244409
2025-03-20,22.9,23.05,22.85,22.95,189807
2025-03-21,22.95,22.95,22.65,22.7,228599
2025-03-24,22.7,22.75,22.55,22.6,134297
2025-03-25,22.65,22.7,22.4,22.5,310866
2025-03-26,22.5,22.5,22.1,22.35,328805
2025-03-27,22.25,22.25,22.15,22.25,191237
2025-03-28,22.25,22.25,21.9,21.95,624990
2025-03-31,21.65,21.7,21.0,21.0,1012057
2025-04-01,21.0,21.5,21.0,21.2,277732
2025-04-02,21.1,21.15,20.85,21.1,334643
2025-04-07,19.0,19.0,19.0,19.0,740349
2025-04-08,18.0,18.55,17.7,18.3,1921377
2025-04-09,18.35,18.35,16.5,16.65,2346006
2025-04-10,18.0,18.3,18.0,18.3,486723
2025-04-11,17.55,17.95,16.95,17.8,775946
2025-04-14,17.9,18.35,17.8,18.05,825734
2025-04-15,18.05,18.85,18.05,18.75,648553
2025-04-16,18.65,18.65,18.2,18.2,511416
2025-04-17,18.2,18.65,18.0,18.6,376579
2025-04-18,18.65,18.65,18.4,18.55,459661
2025-04-21,18.5,18.5,17.85,18.15,314523
2025-04-22,18.0,18.1,17.7,17.8,738817
2025-04-23,18.05,18.35,18.0,18.2,551640
2025-04-24,18.2,18.35,18.15,18.3,174464
2025-04-25,18.35,18.75,18.35,18.55,219129
2025-04-28,18.6,18.9,18.6,18.75,349371
2025-04-29,18.95,19.1,18.8,18.9,305641
2025-04-30,18.9,19.1,18.8,18.8,403553
2025-05-02,18.95,19.0,18.7,18.95,157690
2025-05-05,19.0,19.2,18.55,19.0,356898
2025-05-06,19.0,19.25,18.9,19.25,259111
2025-05-07,19.1,19.3,19.05,19.2,246734
2025-05-08,19.3,19.4,19.05,19.2,201295
2025-05-09,19.1,19.1,18.8,19.05,249453
2025-05-12,19.25,19.3,19.0,19.2,203848
2025-05-13,19.1,19.2,19.0,19.1,217227
2025-05-14,19.2,19.3,19.0,19.1,323352
2025-05-15,19.2,19.2,18.65,18.65,783056
2025-05-16,18.65,18.9,18.65,18.7,261496
2025-05-19,18.6,19.0,18.6,18.8,703256
2025-05-20,18.9,18.9,18.55,18.65,481778
2025-05-21,18.65,18.75,18.5,18.6,473374
2025-05-22,18.4,18.45,18.1,18.15,632551
2025-05-23,18.0,18.05,17.8,17.85,1066808
2025-05-26,17.85,17.95,17.7,17.8,773670
2025-05-27,17.8,18.05,17.35,17.35,1614721
2025-05-28,17.65,17.7,17.2,17.2,1122104
2025-05-29,17.35,17.55,16.95,16.95,6688244
2025-06-02,17.0,17.75,16.8,17.5,1624641
2025-06-03,17.6,17.9,17.4,17.45,1150000
2025-06-04,17.5,17.7,17.45,17.45,715666
2025-06-05,17.45,17.65,17.3,17.35,789652
2025-06-06,17.3,17.4,17.15,17.15,943449
2025-06-09,17.4,17.4,16.85,16.95,1151498
2025-06-10,17.1,17.55,17.0,17.45,2560827
2025-06-11,17.5,17.6,17.2,17.4,1524473
2025-06-12,17.5,17.65,17.35,17.55,655280
2025-06-13,17.35,17.35,17.05,17.05,1295267
