date,open,high,low,close,volume
2025-01-02,25.75,25.9,25.7,25.8,161297
2025-01-03,25.7,25.9,25.5,25.55,333874
2025-01-06,25.6,25.9,25.6,25.75,163689
2025-01-07,25.75,25.8,25.65,25.7,203513
2025-01-08,25.7,25.7,25.4,25.6,358766
2025-01-09,25.6,25.8,25.6,25.6,225592
2025-01-10,25.55,25.7,25.4,25.55,384893
2025-01-13,25.4,25.4,25.15,25.2,372428
2025-01-14,25.35,25.6,25.35,25.55,199670
2025-01-15,25.6,25.75,25.45,25.45,148808
2025-01-16,25.5,25.7,25.4,25.6,187162
2025-01-17,25.6,25.7,25.5,25.7,208402
2025-01-20,25.7,25.7,25.5,25.65,167060
2025-01-21,25.65,25.75,25.6,25.6,147241
2025-01-22,25.6,25.9,25.6,25.9,210821
2025-02-03,25.9,25.9,25.7,25.8,180212
2025-02-04,25.7,25.9,25.7,25.8,224416
2025-02-05,25.95,25.95,25.8,25.85,147777
2025-02-06,25.85,26.15,25.8,26.1,222002
2025-02-07,26.15,26.15,25.85,25.85,168418
2025-02-10,25.85,26.2,25.8,26.1,284342
2025-02-11,26.1,26.1,25.85,26.0,205343
2025-02-12,26.0,26.1,25.85,26.0,238884
2025-02-13,25.9,26.15,25.9,26.15,161267
2025-02-14,26.15,26.25,26.15,26.25,201342
2025-02-17,26.35,26.5,26.15,26.4,196116
2025-02-18,26.4,26.4,26.2,26.25,63961
2025-02-19,26.2,26.45,26.15,26.25,124737
2025-02-20,26.25,26.4,26.25,26.4,205260
2025-02-21,26.25,26.35,26.05,26.3,322170
2025-02-24,26.3,26.5,26.15,26.4,158872
2025-02-25,26.25,26.4,26.2,26.35,124458
2025-02-26,26.3,26.3,26.2,26.25,164743
2025-02-27,26.25,26.45,26.25,26.35,204390
2025-03-03,26.3,26.5,26.15,26.3,101261
2025-03-04,26.2,26.45,26.1,26.45,147202
2025-03-05,26.25,26.5,26.25,26.35,112143
2025-03-06,26.35,26.65,26.35,26.55,282999
2025-03-07,26.55,26.6,26.4,26.55,149703
2025-03-10,26.65,26.65,26.25,26.4,186241
2025-03-11,26.5,26.8,26.2,26.7,516973
2025-03-12,26.65,26.65,26.45,26.5,215209
2025-03-13,26.45,26.55,26.3,26.3,300910
2025-03-14,26.3,26.5,26.3,26.45,153011
2025-03-17,26.5,26.5,26.3,26.35,246878
2025-03-18,26.4,26.55,26.35,26.5,171515
2025-03-19,26.6,26.6,26.4,26.55,162345
2025-03-20,26.55,26.7,26.55,26.55,170012
2025-03-21,26.6,26.6,26.4,26.4,328213
2025-03-24,26.55,26.55,26.4,26.5,282126
2025-03-25,26.75,26.75,26.5,26.6,188238
2025-03-26,26.5,26.65,26.5,26.65,79019
2025-03-27,26.65,26.65,26.45,26.55,237547
2025-03-28,26.5,26.5,26.3,26.45,394408
2025-03-31,26.2,26.45,25.9,25.9,742949
2025-04-01,26.0,26.6,26.0,26.3,345968
2025-04-02,26.3,26.6,26.25,26.5,253468
2025-04-07,23.85,24.55,23.85,23.85,2302435
2025-04-08,24.0,24.35,23.9,24.2,814974
2025-04-09,24.0,24.8,23.4,24.0,888436
2025-04-10,25.15,26.0,25.05,25.45,1151627
2025-04-11,24.8,25.55,24.75,25.2,633342
2025-04-14,25.3,25.35,24.5,24.9,736877
2025-04-15,24.7,25.3,24.7,25.15,201911
2025-04-16,25.2,25.2,24.9,25.0,143135
2025-04-17,25.0,25.15,24.8,25.0,75502
2025-04-18,24.95,25.1,24.95,25.1,127050
2025-04-21,24.95,24.95,24.7,24.85,219628
2025-04-22,24.55,24.7,24.4,24.4,344091
2025-04-23,24.8,24.85,24.65,24.8,171109
2025-04-24,24.85,24.9,24.55,24.6,142696
2025-04-25,24.85,25.0,24.65,24.8,235175
2025-04-28,24.7,24.8,24.7,24.75,120342
2025-04-29,24.75,25.05,24.75,25.05,171034
2025-04-30,25.15,25.15,24.8,24.95,405037
2025-05-02,25.0,26.0,24.95,25.9,828002
2025-05-05,26.6,27.4,26.15,26.25,2780034
2025-05-06,26.3,26.4,25.95,26.15,838568
2025-05-07,26.15,26.45,26.1,26.15,366580
2025-05-08,26.25,26.3,26.0,26.15,241006
2025-05-09,26.3,26.3,26.1,26.2,218768
2025-05-12,26.2,26.35,26.15,26.2,253698
2025-05-13,26.35,26.4,26.1,26.1,227679
2025-05-14,26.25,26.4,26.1,26.4,476046
2025-05-15,26.4,26.55,26.3,26.35,324463
2025-05-16,26.35,26.8,26.25,26.55,857254
2025-05-19,26.75,26.75,26.2,26.35,258682
2025-05-20,26.35,26.35,26.25,26.3,190288
2025-05-21,26.35,26.6,26.3,26.5,171623
2025-05-22,26.5,26.5,26.3,26.4,147478
2025-05-23,26.4,26.55,26.3,26.55,244038
2025-05-26,26.6,26.6,26.35,26.55,267989
2025-05-27,26.55,26.75,26.5,26.65,470615
2025-05-28,26.65,26.65,26.35,26.5,292123
2025-05-29,26.5,26.5,26.3,26.35,255231
2025-06-02,26.3,26.3,26.0,26.1,320379
2025-06-03,26.1,26.2,26.0,26.15,285026
2025-06-04,26.25,26.3,26.1,26.2,386777
2025-06-05,26.2,26.3,26.05,26.05,234102
2025-06-06,26.05,26.2,26.05,26.05,167925
2025-06-09,26.1,26.25,26.05,26.15,403526
2025-06-10,26.15,26.3,26.1,26.15,574673
2025-06-11,26.2,26.25,26.1,26.2,455546
2025-06-12,26.3,26.3,26.1,26.2,619990
2025-06-13,26.2,26.3,26.1,26.2,817595
