Date,open,open,high,high,low,low,close,close,volume,volume
2025-01-02,616.0,23.454544067382812,616.0,23.454544067382812,635.0,23.68181800842285,635.0,23.68181800842285,4272343,2727176
2025-01-03,613.0,23.727272033691406,613.0,23.727272033691406,628.0,24.0,628.0,24.0,4417487,3447419
2025-01-06,630.0,23.909090042114258,630.0,23.909090042114258,632.0,24.045454025268555,632.0,24.045454025268555,3415048,3621770
2025-01-07,631.0,24.09090805053711,631.0,24.09090805053711,648.0,24.18181800842285,648.0,24.18181800842285,5048617,3270141
2025-01-08,647.0,24.59090805053711,647.0,24.59090805053711,660.0,25.68181800842285,660.0,25.68181800842285,4479379,14310892
2025-01-09,645.0,25.409090042114258,645.0,25.409090042114258,648.0,25.68181800842285,648.0,25.68181800842285,2687719,8794572
2025-01-10,630.0,24.545454025268555,630.0,24.545454025268555,632.0,24.727272033691406,632.0,24.727272033691406,2848153,3848762
2025-01-13,626.0,24.5,626.0,24.5,626.0,24.5,626.0,24.5,4251598,5128632
2025-01-14,608.0,24.18181800842285,608.0,24.18181800842285,611.0,24.363636016845703,611.0,24.363636016845703,2979547,3908885
2025-01-15,606.0,24.09090805053711,606.0,24.09090805053711,610.0,24.18181800842285,610.0,24.18181800842285,3701858,2661396
2025-01-16,600.0,24.045454025268555,600.0,24.045454025268555,607.0,24.09090805053711,607.0,24.09090805053711,2214100,2884341
2025-01-17,601.0,23.863636016845703,601.0,23.863636016845703,605.0,23.954544067382812,605.0,23.954544067382812,1715303,1435134
2025-01-20,602.0,23.863636016845703,602.0,23.863636016845703,613.0,23.909090042114258,613.0,23.909090042114258,2002227,1889037
2025-01-21,613.0,23.727272033691406,613.0,23.727272033691406,613.0,23.863636016845703,613.0,23.863636016845703,2713858,1450960
2025-01-22,602.0,23.863636016845703,602.0,23.863636016845703,613.0,23.909090042114258,613.0,23.909090042114258,2288749,1954800
2025-02-03,600.0,23.636362075805664,600.0,23.636362075805664,655.0,23.727272033691406,655.0,23.727272033691406,11369971,2739389
2025-02-04,644.0,23.68181800842285,644.0,23.68181800842285,661.0,23.863636016845703,661.0,23.863636016845703,6216398,3230607
2025-02-05,645.0,23.545454025268555,645.0,23.545454025268555,661.0,23.727272033691406,661.0,23.727272033691406,4797652,3687996
2025-02-06,660.0,23.5,660.0,23.5,661.0,23.818180084228516,661.0,23.818180084228516,3079099,3142172
2025-02-07,649.0,23.818180084228516,649.0,23.818180084228516,665.0,23.818180084228516,665.0,23.818180084228516,3622448,2992847
2025-02-10,660.0,23.454544067382812,660.0,23.454544067382812,675.0,23.636362075805664,675.0,23.636362075805664,3265259,2594087
2025-02-11,662.0,23.545454025268555,662.0,23.545454025268555,669.0,23.727272033691406,669.0,23.727272033691406,2393352,2176901
2025-02-12,672.0,23.545454025268555,672.0,23.545454025268555,684.0,23.636362075805664,684.0,23.636362075805664,3220763,2211926
2025-02-13,680.0,23.59090805053711,680.0,23.59090805053711,685.0,23.68181800842285,685.0,23.68181800842285,1751764,2828973
2025-02-14,677.0,23.636362075805664,677.0,23.636362075805664,682.0,23.863636016845703,682.0,23.863636016845703,2154241,2587850
2025-02-17,675.0,23.818180084228516,675.0,23.818180084228516,683.0,24.0,683.0,24.0,1645403,2094010
2025-02-18,685.0,23.954544067382812,685.0,23.954544067382812,702.0,24.136362075805664,702.0,24.136362075805664,3789583,2645027
2025-02-19,700.0,24.318180084228516,700.0,24.318180084228516,702.0,24.77272605895996,702.0,24.77272605895996,3242084,6026354
2025-02-20,689.0,24.5,689.0,24.5,704.0,24.954544067382812,704.0,24.954544067382812,2977277,5440882
2025-02-21,697.0,25.045454025268555,697.0,25.045454025268555,713.0,25.227272033691406,713.0,25.227272033691406,3660080,4963910
2025-02-24,707.0,25.227272033691406,707.0,25.227272033691406,715.0,25.409090042114258,715.0,25.409090042114258,1909604,2877628
2025-02-25,693.0,25.27272605895996,693.0,25.27272605895996,704.0,25.545454025268555,704.0,25.545454025268555,3282215,4114809
2025-02-26,690.0,25.18181800842285,690.0,25.18181800842285,700.0,25.409090042114258,700.0,25.409090042114258,3039511,4901875
