date,open,high,low,close,volume
2025-01-02,12.85,12.85,12.65,12.65,78875
2025-01-03,12.85,12.9,12.55,12.6,106428
2025-01-06,12.65,12.65,12.5,12.55,96447
2025-01-07,12.7,12.7,12.4,12.4,162652
2025-01-08,12.4,12.5,12.3,12.4,130937
2025-01-09,12.4,12.5,12.0,12.0,213471
2025-01-10,12.2,12.3,12.05,12.15,111019
2025-01-13,12.1,12.1,11.75,11.9,183994
2025-01-14,12.0,12.0,11.7,11.9,104201
2025-01-15,11.9,12.25,11.9,12.1,95612
2025-01-16,12.25,12.35,12.05,12.1,56883
2025-01-17,12.0,12.2,12.0,12.1,78253
2025-01-20,12.0,12.15,12.0,12.1,38060
2025-01-21,12.1,12.15,12.05,12.1,48578
2025-01-22,12.1,12.3,12.0,12.15,100840
2025-02-03,12.05,12.2,11.9,12.2,102120
2025-02-04,12.2,12.2,11.95,12.0,43784
2025-02-05,12.15,12.2,12.1,12.15,49796
2025-02-06,12.4,12.4,12.1,12.25,30532
2025-02-07,12.2,12.6,12.15,12.55,359789
2025-02-10,12.2,12.45,12.15,12.25,202486
2025-02-11,12.25,12.45,12.2,12.25,107118
2025-02-12,12.2,12.4,12.15,12.3,106319
2025-02-13,12.25,12.6,12.25,12.6,156662
2025-02-14,12.5,12.8,12.45,12.6,119883
2025-02-17,12.6,12.8,12.4,12.55,108762
2025-02-18,12.45,12.5,12.35,12.35,139759
2025-02-19,12.35,12.45,12.25,12.45,194306
2025-02-20,12.4,12.6,12.3,12.6,218559
2025-02-21,12.75,12.85,12.45,12.7,241234
2025-02-24,12.4,12.65,12.4,12.6,182804
2025-02-25,12.5,12.55,12.4,12.55,108269
2025-02-26,12.65,12.8,12.6,12.6,87172
2025-02-27,12.6,12.7,12.45,12.45,87915
2025-03-03,12.25,12.3,12.15,12.25,157200
2025-03-04,12.2,12.3,12.1,12.3,102099
2025-03-05,12.2,12.3,12.15,12.25,113277
2025-03-06,12.35,12.35,12.15,12.3,58901
2025-03-07,12.2,12.3,12.0,12.15,93067
2025-03-10,12.4,12.4,12.1,12.3,115625
2025-03-11,12.15,12.3,12.05,12.3,96145
2025-03-12,12.3,12.3,12.15,12.15,44964
2025-03-13,12.15,12.15,11.6,11.6,612568
2025-03-14,11.6,11.85,11.5,11.7,113753
2025-03-17,12.1,12.1,11.7,11.85,128083
2025-03-18,11.7,12.1,11.7,11.95,99023
2025-03-19,11.75,11.9,11.75,11.85,42147
2025-03-20,12.05,12.25,11.85,12.2,188329
2025-03-21,12.05,12.25,12.0,12.05,51751
2025-03-24,12.2,12.25,12.0,12.05,113493
2025-03-25,12.05,12.3,12.0,12.1,176094
2025-03-26,12.1,13.3,12.1,13.3,1023547
2025-03-27,12.95,13.45,12.75,13.15,742377
2025-03-28,12.95,13.8,12.85,13.8,873377
2025-03-31,13.65,14.45,13.15,13.55,1191280
2025-04-01,13.6,14.9,13.6,14.9,2442282
2025-04-02,14.5,14.9,14.15,14.55,1052395
2025-04-07,13.1,13.1,13.1,13.1,376328
2025-04-08,12.2,14.2,12.2,13.05,689096
2025-04-09,13.5,13.55,11.75,11.8,994606
2025-04-10,12.8,12.95,12.5,12.95,518071
2025-04-11,12.7,13.35,12.2,13.15,439079
2025-04-14,13.2,14.0,13.2,13.55,566279
2025-04-15,13.9,14.9,13.9,14.8,1233193
2025-04-16,14.7,15.6,14.05,15.15,1126573
2025-04-17,14.85,15.9,14.6,15.8,1686404
2025-04-18,15.9,16.05,15.5,15.6,1121820
2025-04-21,15.2,15.7,14.05,14.65,929216
2025-04-22,14.0,14.95,13.95,14.55,697744
2025-04-23,14.85,15.5,14.55,15.1,634424
2025-04-24,15.25,15.4,14.6,14.7,422217
2025-04-25,14.85,15.8,14.3,15.35,975106
2025-04-28,15.35,15.75,14.95,15.5,539480
2025-04-29,15.05,15.25,14.75,15.1,623504
2025-04-30,15.25,15.3,14.6,14.6,406130
2025-05-02,14.6,14.95,14.4,14.65,417825
2025-05-05,14.85,14.85,13.6,13.75,455265
2025-05-06,13.75,14.1,13.6,13.95,273474
2025-05-07,14.25,14.25,13.75,13.95,174014
2025-05-08,14.0,14.3,13.8,13.95,192971
2025-05-09,13.55,13.85,13.3,13.65,554323
2025-05-12,13.65,13.65,13.35,13.45,251816
2025-05-13,13.45,13.6,13.3,13.55,294753
2025-05-14,13.55,14.85,13.55,14.5,906858
2025-05-15,14.85,14.85,14.15,14.15,316672
2025-05-16,14.15,14.45,14.1,14.35,203753
2025-05-19,14.35,14.45,13.7,14.2,304491
2025-05-20,14.05,14.2,13.95,14.2,113325
2025-05-21,14.15,15.35,14.0,14.85,562820
2025-05-22,15.0,15.0,14.6,14.75,164323
2025-05-23,14.8,14.85,14.5,14.7,160578
2025-05-26,14.6,14.8,14.25,14.7,229182
2025-05-27,14.65,14.7,14.15,14.65,171684
2025-05-28,14.55,14.85,14.2,14.6,175441
2025-05-29,14.55,14.75,14.3,14.6,295696
2025-06-02,14.35,14.6,14.15,14.5,143183
2025-06-03,14.5,14.5,14.0,14.4,205316
2025-06-04,14.05,14.35,14.05,14.3,98803
2025-06-05,14.15,14.3,14.05,14.2,89654
2025-06-06,14.15,14.45,13.85,14.35,258472
2025-06-09,14.4,14.4,14.05,14.3,105010
2025-06-10,14.25,14.25,13.2,13.75,524179
2025-06-11,13.35,13.65,12.8,13.45,570104
2025-06-12,13.3,13.5,13.2,13.5,174480
2025-06-13,13.35,13.5,13.1,13.2,156430
2025-06-16,13.05,13.25,12.95,13.25,67439
2025-06-17,13.4,13.9,13.3,13.8,378532
2025-06-18,13.6,13.9,13.5,13.8,155642
2025-06-19,13.5,13.8,13.0,13.8,207808
2025-06-20,13.5,13.5,13.15,13.2,185839
2025-06-23,13.2,13.5,11.95,13.1,653632
2025-06-24,13.0,13.25,12.9,13.2,268221
2025-06-25,13.2,13.25,12.95,13.1,155895
2025-06-26,13.2,13.4,13.0,13.15,166802
2025-06-27,13.0,13.25,12.8,12.95,192179
2025-06-30,12.9,13.0,12.6,13.0,123800
2025-07-01,12.8,13.4,12.8,13.0,171274
2025-07-02,12.85,12.9,12.75,12.75,97844
2025-07-03,12.7,12.95,12.7,12.95,140010
2025-07-04,12.75,12.8,12.35,12.8,290202
2025-07-07,12.4,12.55,12.35,12.55,89335
2025-07-08,12.4,12.45,12.1,12.15,120052
2025-07-09,12.25,13.1,12.25,12.4,185988
2025-07-10,12.4,12.6,11.9,12.35,328610
2025-07-11,12.35,12.35,12.15,12.3,83742
2025-07-14,12.35,12.35,12.1,12.2,69642
2025-07-15,12.15,12.3,12.1,12.25,87856
2025-07-16,12.15,12.3,12.1,12.3,83434
2025-07-17,12.4,12.4,12.25,12.4,125788
2025-07-18,12.45,12.45,12.2,12.4,104368
2025-07-21,12.25,12.25,12.1,12.15,131000
2025-07-22,12.1,12.15,11.85,11.9,144825
2025-07-23,11.9,12.6,11.9,12.3,205503
2025-07-24,12.3,12.45,12.2,12.4,148618
2025-07-25,12.3,12.45,12.25,12.45,84807
2025-07-28,12.4,12.45,12.1,12.45,116583
2025-07-29,12.25,12.55,11.85,12.5,437293
2025-07-30,12.4,12.95,12.35,12.7,283884
2025-07-31,12.75,12.9,12.4,12.7,117529
2025-08-01,12.3,13.2,12.25,12.95,181073
2025-08-04,12.9,12.9,12.5,12.9,130631
2025-08-05,13.0,13.1,12.9,13.0,150144
2025-08-06,13.05,13.15,12.9,13.0,140174
2025-08-07,13.3,13.3,12.65,12.95,131411
2025-08-08,12.9,12.9,12.65,12.8,66676
2025-08-11,12.6,12.6,12.2,12.45,269202
2025-08-12,12.4,12.55,12.35,12.55,167713
2025-08-13,12.45,12.65,12.4,12.5,152947
2025-08-14,12.5,12.6,12.45,12.6,116494
2025-08-15,12.5,12.8,12.4,12.8,159254
2025-08-18,12.6,13.15,12.55,13.15,390808
2025-08-19,13.0,13.25,12.95,13.15,267366
2025-08-20,13.0,13.0,12.7,12.9,163620
2025-08-21,12.85,12.95,12.8,12.95,141959
2025-08-22,12.8,13.1,12.7,12.8,171881
2025-08-25,12.95,13.25,12.8,13.15,396430
2025-08-26,12.95,13.25,12.95,13.15,156933
2025-08-27,13.05,13.15,13.0,13.1,83439
2025-08-28,13.0,13.1,12.9,13.1,102021
2025-08-29,13.15,13.15,12.8,13.05,181239
2025-09-01,12.95,13.0,12.7,12.9,200613
2025-09-02,12.75,12.8,12.55,12.8,136602
2025-09-03,12.6,12.85,12.6,12.85,109375
2025-09-04,12.7,12.8,12.7,12.8,64721
2025-09-05,12.85,12.85,12.65,12.7,100224
2025-09-08,12.7,12.75,12.5,12.7,153217
2025-09-09,12.7,12.7,12.45,12.65,142677
2025-09-10,12.55,12.55,12.25,12.35,209320
2025-09-11,12.35,12.45,12.2,12.3,143156
2025-09-12,12.3,12.45,12.2,12.45,111150
2025-09-15,12.45,12.45,12.15,12.3,166127
2025-09-16,12.3,12.3,12.15,12.3,128411
2025-09-17,12.25,12.4,12.25,12.4,129136
2025-09-18,12.45,12.45,12.3,12.45,262553
2025-09-19,12.45,12.45,12.25,12.4,107300
2025-09-22,12.35,12.45,12.35,12.45,57088
2025-09-23,12.35,12.5,12.3,12.4,126459
2025-09-24,12.4,12.45,12.25,12.45,114415
2025-09-25,12.3,12.8,12.3,12.6,180810
2025-09-26,12.6,12.6,12.2,12.4,154483
2025-09-30,12.2,12.5,12.1,12.4,171456
2025-10-01,12.25,12.4,12.2,12.35,87775
2025-10-02,12.15,12.35,12.15,12.35,42310
2025-10-03,12.15,12.45,12.15,12.45,116646
2025-10-07,12.3,12.45,12.15,12.45,153527
2025-10-08,12.4,12.45,12.25,12.4,86030
2025-10-09,12.4,12.4,12.2,12.4,69918
2025-10-13,12.05,12.35,12.0,12.35,86982
2025-10-14,12.15,12.3,12.1,12.1,117206
2025-10-15,12.25,12.3,12.1,12.2,145524
2025-10-16,12.1,12.2,12.05,12.2,156409
2025-10-17,12.25,12.25,12.05,12.2,139100
2025-10-20,12.25,12.25,12.0,12.2,157599
2025-10-21,12.05,12.25,12.05,12.25,65539
2025-10-22,12.25,12.3,12.1,12.3,147300
2025-10-23,12.25,12.5,12.25,12.35,212494
2025-10-27,12.3,12.8,12.2,12.6,334849
2025-10-28,12.6,13.0,12.5,13.0,428937
2025-10-29,13.3,13.95,13.05,13.5,630811
2025-10-30,13.6,13.6,13.05,13.5,656597
2025-10-31,13.35,13.45,13.1,13.45,184108
2025-11-03,13.45,13.45,13.05,13.35,142741
2025-11-04,13.35,13.35,12.65,12.9,168371
2025-11-05,12.6,12.75,12.5,12.75,115451
2025-11-06,12.6,12.75,12.35,12.75,160105
2025-11-07,12.7,12.7,12.5,12.7,64803
2025-11-10,12.6,12.7,12.45,12.7,97398
2025-11-11,12.55,12.6,12.35,12.6,151560
2025-11-12,12.4,12.6,12.4,12.6,85057
2025-11-13,12.45,12.6,12.45,12.6,115151
2025-11-14,12.45,12.6,12.45,12.6,112292
2025-11-17,12.6,12.7,12.4,12.7,121314
2025-11-18,12.65,12.65,12.5,12.6,149297
2025-11-19,12.5,12.65,12.3,12.5,161453
2025-11-20,12.35,12.7,12.35,12.7,126140
2025-11-21,12.5,12.55,12.3,12.55,79432
2025-11-24,12.4,12.7,12.4,12.65,98440
2025-11-25,12.5,12.8,12.5,12.55,110300
2025-11-26,12.5,12.6,12.3,12.45,96460
2025-11-27,12.4,12.55,12.35,12.55,108524
2025-11-28,12.45,12.5,12.3,12.45,101483
2025-12-01,12.35,12.4,12.25,12.35,148100
2025-12-02,12.35,12.4,12.2,12.35,110486
2025-12-03,12.4,12.4,12.2,12.3,136359
2025-12-04,12.2,12.4,12.15,12.25,146939
2025-12-05,12.2,12.25,12.0,12.15,199987
2025-12-08,12.0,12.3,12.0,12.15,106321
2025-12-09,12.15,12.35,12.15,12.35,141892
2025-12-10,12.35,12.35,12.2,12.3,130614
2025-12-11,12.2,12.3,12.15,12.25,153259
2025-12-12,12.25,13.0,12.2,13.0,241188
2025-12-15,13.0,14.3,12.55,14.3,1365640
2025-12-16,15.65,15.7,15.15,15.7,3556012
2025-12-17,15.0,15.65,14.15,14.75,2846221
2025-12-18,14.15,14.35,13.8,13.85,963425
2025-12-19,14.05,14.25,13.65,14.1,503693
