date,open,high,low,close,volume
2025-01-02,14.6,14.65,14.4,14.5,1842778
2025-01-03,14.6,14.95,14.55,14.65,2476402
2025-01-06,14.8,15.15,14.65,14.8,2492742
2025-01-07,14.95,14.95,14.15,14.15,2086536
2025-01-08,14.2,14.45,14.0,14.35,1675732
2025-01-09,14.3,14.3,13.75,13.75,2273492
2025-01-10,13.75,14.0,13.75,13.8,1605755
2025-01-13,13.65,13.8,13.15,13.5,2673265
2025-01-14,13.55,13.75,13.4,13.6,1488751
2025-01-15,13.65,14.0,13.55,13.75,2611801
2025-01-16,13.85,14.05,13.65,13.65,1980786
2025-01-17,13.75,13.8,13.6,13.65,1196985
2025-01-20,13.75,13.85,13.5,13.8,1358338
2025-01-21,13.9,13.9,13.55,13.75,997378
2025-01-22,13.75,13.8,13.6,13.7,958805
2025-02-03,13.45,13.85,13.2,13.85,1605087
2025-02-04,13.95,13.95,13.55,13.55,838784
2025-02-05,13.75,14.25,13.75,14.25,2984977
2025-02-06,14.8,15.0,14.4,14.8,5332944
2025-02-07,14.6,14.75,14.45,14.55,1752734
2025-02-10,14.55,14.55,14.25,14.3,930223
2025-02-11,14.25,14.45,14.05,14.15,1805648
2025-02-12,14.15,15.2,14.15,14.45,4148177
2025-02-13,14.45,14.8,14.4,14.55,1693353
2025-02-14,14.5,15.05,14.4,14.95,4841003
2025-02-17,14.9,15.15,14.65,14.65,2344775
2025-02-18,14.8,15.85,14.6,15.15,9733153
2025-02-19,15.15,15.3,14.95,15.05,2918051
2025-02-20,15.15,15.2,14.9,14.9,2048630
2025-02-21,15.1,16.35,15.05,16.35,14007097
2025-02-24,16.5,17.4,16.35,16.4,30211738
2025-02-25,16.25,16.65,15.95,15.95,6870528
2025-02-26,16.0,17.5,15.9,17.2,23785733
2025-02-27,17.3,18.6,17.25,17.45,37315616
2025-03-03,17.3,18.45,16.75,17.95,21316565
2025-03-04,17.95,18.7,17.35,17.45,31228064
2025-03-05,17.45,17.9,17.2,17.2,10255184
2025-03-06,17.4,17.4,16.5,16.6,8156007
2025-03-07,16.5,16.75,16.1,16.15,4808893
2025-03-10,16.05,16.75,15.9,16.65,5056585
2025-03-11,16.25,16.8,15.8,16.2,4734465
2025-03-12,16.2,16.55,16.05,16.3,2755126
2025-03-13,16.4,16.6,15.9,16.05,3094736
2025-03-14,16.15,17.35,15.95,16.95,10999827
2025-03-17,17.05,17.6,16.7,17.45,8867919
2025-03-18,17.4,17.9,17.15,17.35,8645807
2025-03-19,17.25,17.35,16.9,17.2,3419822
2025-03-20,17.15,17.3,17.0,17.15,2567553
2025-03-21,17.25,17.3,16.7,16.7,1709140
2025-03-24,17.05,18.0,16.9,17.5,9779951
2025-03-25,17.8,17.8,16.7,16.7,4872909
2025-03-26,16.8,17.05,16.3,16.35,2725924
2025-03-27,16.25,16.5,16.1,16.4,1293616
2025-03-28,16.2,16.25,15.7,16.1,2585703
2025-03-31,15.35,15.65,14.5,14.75,5366345
2025-04-01,14.85,15.15,14.85,15.1,1756153
2025-04-02,15.1,15.3,14.9,15.25,1393626
2025-04-07,13.75,13.75,13.75,13.75,183678
2025-04-08,12.4,12.65,12.4,12.4,2764382
2025-04-09,11.35,11.95,11.2,11.2,3616234
2025-04-10,12.05,12.3,11.95,12.3,2259124
2025-04-11,11.35,12.25,11.15,12.15,3267143
2025-04-14,12.4,12.9,12.2,12.3,2462584
2025-04-15,12.45,12.85,12.35,12.85,2311660
2025-04-16,13.05,13.05,12.2,12.2,1790332
2025-04-17,12.2,12.25,11.95,12.15,1140954
2025-04-18,12.15,12.45,12.05,12.2,1214659
2025-04-21,12.3,12.35,11.65,11.7,1462873
2025-04-22,11.45,11.85,11.45,11.55,975815
2025-04-23,11.95,12.15,11.9,12.0,1094887
2025-04-24,12.25,12.35,12.0,12.15,724679
2025-04-25,12.4,12.45,12.2,12.2,883002
2025-04-28,12.25,12.45,12.1,12.35,846164
2025-04-29,12.35,13.1,12.35,12.9,2310008
2025-04-30,13.05,14.15,12.95,13.5,9153484
2025-05-02,13.6,13.9,13.25,13.25,4840977
2025-05-05,13.35,13.4,12.35,12.5,2847310
2025-05-06,12.5,12.8,12.45,12.6,1463899
2025-05-07,12.65,12.75,12.45,12.5,609481
2025-05-08,12.6,12.7,12.55,12.65,583613
2025-05-09,12.7,13.4,12.7,13.0,2497135
2025-05-12,13.05,14.2,13.05,13.9,5186973
2025-05-13,14.0,14.3,13.7,13.85,4526817
2025-05-14,14.0,14.45,13.9,14.1,4145236
2025-05-15,14.1,14.4,14.0,14.15,2190001
2025-05-16,14.05,14.25,13.95,14.25,1283493
2025-05-19,14.35,14.7,13.95,14.0,3805077
2025-05-20,14.25,14.45,13.8,13.9,1200659
2025-05-21,14.0,14.8,14.0,14.15,3280860
2025-05-22,14.0,14.0,13.75,13.9,917486
2025-05-23,14.1,14.1,13.7,13.75,1003546
2025-05-26,13.7,14.1,13.6,14.05,1171337
2025-05-27,14.05,14.15,13.55,13.65,1148494
2025-05-28,13.9,14.0,13.55,13.6,834975
2025-05-29,13.75,13.85,13.4,13.55,718937
2025-06-02,13.4,13.4,13.0,13.2,639637
2025-06-03,13.25,13.35,13.1,13.25,392261
2025-06-04,13.3,13.75,13.3,13.4,942736
2025-06-05,13.5,13.5,13.1,13.1,764866
2025-06-06,13.15,13.7,13.1,13.2,1296276
2025-06-09,13.4,13.4,13.0,13.1,641137
2025-06-10,13.1,13.3,13.05,13.1,612156
2025-06-11,13.2,13.4,13.15,13.25,638772
2025-06-12,13.4,13.55,13.25,13.35,862604
2025-06-13,13.35,13.35,12.8,12.8,1452340
2025-06-16,12.7,12.9,12.35,12.85,1111505
2025-06-17,12.9,13.1,12.85,12.9,628685
2025-06-18,12.9,13.0,12.8,12.9,395892
2025-06-19,12.9,12.9,12.55,12.6,449897
2025-06-20,12.6,12.7,12.3,12.4,650237
2025-06-23,12.3,12.35,12.05,12.25,639485
2025-06-24,12.45,12.8,12.45,12.65,621158
2025-06-25,12.85,12.85,12.45,12.5,462276
2025-06-26,12.45,13.05,12.45,12.85,1916560
2025-06-27,12.85,12.95,12.6,12.65,707095
2025-06-30,12.7,12.7,12.4,12.4,425043
2025-07-01,12.55,12.7,12.4,12.4,484554
2025-07-02,12.6,13.0,12.55,12.65,1167317
2025-07-03,12.8,13.5,12.7,13.1,1996099
2025-07-04,13.5,14.0,12.7,12.7,5753212
2025-07-07,12.8,12.8,12.3,12.55,963620
