date,open,high,low,close,volume
2025-01-02,16.8,16.85,16.6,16.8,357365
2025-01-03,16.85,16.9,16.35,16.6,619894
2025-01-06,16.55,16.85,16.15,16.4,865942
2025-01-07,16.3,16.35,16.1,16.1,342328
2025-01-08,16.0,16.35,15.9,16.15,568336
2025-01-09,16.25,16.6,15.8,15.95,742721
2025-01-10,16.05,16.3,15.7,15.9,593091
2025-01-13,15.65,15.65,14.85,14.95,1361625
2025-01-14,14.8,15.7,14.8,15.45,576472
2025-01-15,15.3,15.8,15.25,15.6,418704
2025-01-16,15.6,16.1,15.4,15.4,573547
2025-01-17,15.4,15.65,15.4,15.5,370556
2025-01-20,15.55,15.55,15.3,15.3,323281
2025-01-21,15.4,15.65,15.4,15.6,239271
2025-01-22,15.7,15.8,15.45,15.8,324346
2025-02-03,15.5,15.95,15.4,15.95,335419
2025-02-04,15.9,16.05,15.7,16.05,183470
2025-02-05,16.05,16.6,15.95,16.4,602840
2025-02-06,16.45,16.55,16.25,16.25,341313
2025-02-07,16.25,16.7,16.25,16.7,567547
2025-02-10,16.5,16.85,16.5,16.8,636515
2025-02-11,16.65,17.45,16.6,17.35,1652743
2025-02-12,17.3,17.4,17.0,17.25,753962
2025-02-13,17.3,17.3,16.9,16.9,696742
2025-02-14,16.95,17.2,16.8,17.2,711575
2025-02-17,17.1,17.1,16.7,16.8,431760
2025-02-18,16.75,16.95,16.7,16.7,254486
2025-02-19,16.8,17.0,16.8,16.9,406577
2025-02-20,16.85,16.95,16.7,16.7,199912
2025-02-21,16.7,17.0,16.7,17.0,302384
2025-02-24,16.95,17.0,16.75,16.8,300831
2025-02-25,16.85,16.9,16.7,16.75,190290
2025-02-26,16.75,16.95,16.75,16.9,162452
2025-02-27,16.85,17.05,16.75,16.8,401912
2025-03-03,16.8,16.8,16.45,16.55,274103
2025-03-04,16.4,16.7,16.25,16.55,177183
2025-03-05,16.6,16.9,16.55,16.9,218259
2025-03-06,16.9,16.95,16.7,16.8,196604
2025-03-07,16.8,17.3,16.6,16.75,456931
2025-03-10,16.85,17.0,16.6,16.65,306725
2025-03-11,16.45,16.55,16.1,16.5,369371
2025-03-12,16.35,16.7,16.35,16.5,124133
2025-03-13,16.7,16.75,16.25,16.25,305400
2025-03-14,16.3,16.5,16.2,16.45,179279
2025-03-17,16.45,16.65,16.45,16.45,142685
2025-03-18,16.6,16.9,16.55,16.9,222475
2025-03-19,16.9,16.9,16.65,16.75,168398
2025-03-20,16.75,16.9,16.75,16.9,180308
2025-03-21,16.95,16.95,16.8,16.85,212272
2025-03-24,16.85,17.1,16.75,16.8,598384
2025-03-25,16.8,16.95,16.7,16.8,333389
2025-03-26,16.8,17.0,16.75,16.75,131268
2025-03-27,16.7,16.8,16.4,16.45,290098
2025-03-28,16.4,16.4,15.8,15.85,405183
2025-03-31,15.6,15.6,15.1,15.25,697569
2025-04-01,15.4,15.65,15.25,15.6,495269
2025-04-02,15.6,15.8,15.4,15.8,186308
2025-04-07,14.25,14.35,14.25,14.25,962170
2025-04-08,13.65,14.1,13.2,13.65,944913
2025-04-09,13.65,13.85,12.75,12.8,980506
2025-04-10,13.7,14.05,13.65,14.05,385200
2025-04-11,13.4,14.1,13.4,13.8,366491
2025-04-14,13.85,14.4,13.85,13.95,347111
2025-04-15,13.95,14.35,13.85,14.35,158989
2025-04-16,14.3,14.5,14.1,14.1,174640
2025-04-17,14.1,14.2,13.85,14.2,219299
2025-04-18,14.1,14.3,14.1,14.2,114627
2025-04-21,14.2,14.4,14.0,14.05,208203
2025-04-22,14.15,14.15,13.65,13.9,86117
2025-04-23,13.95,14.8,13.95,14.5,236116
2025-04-24,14.5,14.5,14.25,14.25,183204
2025-04-25,14.5,14.5,14.3,14.4,111281
2025-04-28,14.4,14.65,14.3,14.55,144380
2025-04-29,14.7,14.8,14.6,14.8,130178
2025-04-30,14.7,14.75,14.55,14.6,63566
2025-05-02,14.6,14.7,14.5,14.7,92087
2025-05-05,14.65,14.65,14.2,14.4,190406
2025-05-06,14.25,14.5,14.25,14.45,65076
2025-05-07,14.35,14.45,14.3,14.45,79005
2025-05-08,14.3,14.5,14.3,14.5,85203
2025-05-09,14.5,14.6,14.4,14.55,117591
2025-05-12,14.6,14.8,14.6,14.7,193366
2025-05-13,14.8,15.0,14.7,14.85,194292
2025-05-14,15.0,15.1,14.85,15.0,182644
2025-05-15,15.0,15.0,14.9,14.9,70172
2025-05-16,15.0,15.0,14.7,14.8,107038
2025-05-19,14.85,14.85,14.4,14.45,199234
2025-05-20,14.7,14.7,14.45,14.55,50041
2025-05-21,14.35,14.7,14.35,14.7,101690
2025-05-22,14.5,14.75,14.4,14.5,78739
2025-05-23,14.7,14.85,14.5,14.5,56229
2025-05-26,14.5,14.75,14.5,14.6,47029
2025-05-27,14.6,14.85,14.4,14.4,33146
2025-05-28,14.7,14.7,14.4,14.4,32056
2025-05-29,14.6,14.6,14.35,14.5,20131
2025-06-02,14.35,14.35,14.05,14.1,82053
2025-06-03,14.25,14.3,13.9,14.1,44108
2025-06-04,14.15,14.4,14.15,14.3,56261
2025-06-05,14.3,14.5,14.25,14.3,57248
2025-06-06,14.3,14.5,14.25,14.45,16190
2025-06-09,14.45,14.45,14.2,14.25,61711
2025-06-10,14.5,14.5,14.3,14.3,27063
2025-06-11,14.35,14.45,14.0,14.15,75572
2025-06-12,14.2,14.3,14.1,14.25,28239
2025-06-13,14.25,14.25,13.9,13.95,134087
2025-06-16,13.95,14.1,13.9,14.1,24034
2025-06-17,14.05,14.1,13.95,14.1,44377
2025-06-18,14.1,14.25,14.1,14.2,39083
2025-06-19,14.2,14.2,13.85,13.9,66126
2025-06-20,13.9,14.0,13.8,13.85,71008
2025-06-23,13.8,13.85,13.5,13.6,127067
2025-06-24,13.6,14.0,13.6,13.85,57281
2025-06-25,14.0,14.1,13.85,14.0,60049
2025-06-26,13.95,14.25,13.95,13.95,111457
2025-06-27,14.05,14.05,13.55,13.9,145127
2025-06-30,13.7,14.1,13.7,13.9,55067
2025-07-01,13.95,14.2,13.95,14.05,113015
2025-07-02,14.15,14.15,13.6,13.9,73239
2025-07-03,13.95,14.0,13.9,14.0,43227
2025-07-04,13.9,14.05,13.8,14.05,31634
2025-07-07,13.9,14.15,13.8,14.1,60045
2025-07-08,14.1,14.1,13.85,13.9,44166
2025-07-09,14.0,14.1,13.8,13.85,46122
2025-07-10,13.8,13.85,13.75,13.75,57525
2025-07-11,13.75,14.0,13.6,13.75,93045
2025-07-14,13.65,13.75,13.65,13.7,29057
2025-07-15,13.85,13.85,13.7,13.75,56608
2025-07-16,13.75,14.0,13.7,14.0,99082
2025-07-17,14.1,14.1,13.8,13.85,102173
2025-07-18,13.95,13.95,13.8,13.9,42024
2025-07-21,13.95,13.95,13.85,13.85,11016
2025-07-22,13.85,13.95,13.65,13.85,71365
2025-07-23,13.8,13.9,13.75,13.85,91114
2025-07-24,13.8,13.8,13.7,13.8,69153
2025-07-25,13.75,14.15,13.75,14.05,124030
2025-07-28,14.25,14.3,14.0,14.1,198432
2025-07-29,14.1,14.1,13.9,13.9,53244
2025-07-30,14.0,14.2,13.9,14.15,200114
2025-07-31,14.05,14.15,13.9,13.95,89330
2025-08-01,13.95,14.2,13.9,14.15,122030
2025-08-04,14.0,15.55,14.0,15.55,1163435
2025-08-05,16.2,16.3,15.3,15.3,1748742
2025-08-06,15.35,15.4,15.0,15.15,325796
2025-08-07,15.15,15.4,15.1,15.3,205901
2025-08-08,15.3,15.45,15.25,15.4,156363
2025-08-11,15.4,15.5,15.3,15.4,254501
2025-08-12,15.45,15.75,15.45,15.55,310568
2025-08-13,15.75,15.85,15.4,15.6,310079
2025-08-14,15.75,15.8,15.6,15.75,289988
2025-08-15,15.7,15.7,15.35,15.6,205350
2025-08-18,15.6,15.75,15.3,15.55,370195
2025-08-19,15.6,15.6,15.35,15.4,153318
2025-08-20,15.4,15.5,15.2,15.4,201531
2025-08-21,15.4,15.7,15.4,15.45,285350
2025-08-22,15.55,15.55,15.35,15.5,253636
2025-08-25,15.75,15.75,15.4,15.45,325832
2025-08-26,15.45,15.55,15.35,15.45,286098
2025-08-27,15.65,15.75,15.5,15.7,626463
2025-08-28,15.0,15.1,14.65,14.7,804631
2025-08-29,14.8,14.8,14.45,14.6,286701
2025-09-01,14.6,14.6,14.15,14.2,298034
2025-09-02,14.15,14.35,13.95,13.95,232349
2025-09-03,14.0,14.1,13.8,14.0,120379
2025-09-04,14.05,14.15,14.0,14.05,117611
2025-09-05,14.1,14.1,14.0,14.05,34261
2025-09-08,14.05,14.05,13.8,13.9,85462
2025-09-09,13.9,13.9,13.8,13.85,87444
2025-09-10,13.8,14.1,13.8,13.95,346071
2025-09-11,13.85,13.95,13.7,13.7,131512
2025-09-12,13.75,14.2,13.75,14.15,351976
