Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
MA,Mastercard,Financial Services,Credit Services,535.33,3422018.0,0.74,-2.44,-3.61,-7.71,1.83,1.83,1.83
PSLV,PSLV,Other,Other,27.49,22384849.0,0.68,10.31,6.55,7.89,0.62,0.62,0.62
PANW,Palo Alto,Technology,Software - Infrastructure,166.0,20476059.0,2.13,4.19,-5.37,-13.0,3.4,3.4,3.4
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.1,87322910.0,0.84,0.96,0.96,-9.48,0.18,0.18,0.18
PLTR,Palantir,Technology,Software - Infrastructure,142.91,57149262.0,0.63,5.16,-3.28,-19.2,8.17,8.17,8.17
LUNR,LUNR,Industrials,Aerospace & Defense,19.45,13366438.0,1.39,11.02,9.02,-0.92,0.26,0.26,0.26
^VIX,VIX,Index,Market Index,17.36,0.0,0.0,-14.78,6.24,12.36,0.0,0.0,0.0
DJTWW,DJTWW,,,6.69,70013.0,0.0,-67.54,-67.54,-67.54,0.0,0.0,0.0
SNAP,SNAP,Communication Services,Internet Content & Information,5.19,86467411.0,0.86,-0.57,-22.07,-38.21,0.45,0.45,0.45
WMT,Walmart,Consumer Defensive,Discount Stores,129.02,27114780.0,0.92,-1.65,4.0,14.11,3.5,3.5,3.5
AVGO,Broadcom,Technology,Semiconductors,343.94,29825713.0,0.86,3.31,3.87,3.45,10.26,10.26,10.26
ADBE,Adobe,Technology,Software - Application,266.9,5454637.0,0.83,-0.55,-9.03,-21.28,1.46,1.46,1.46
F,F,Consumer Cyclical,Auto Manufacturers,13.59,53914368.0,0.8,-1.52,-1.59,-5.62,0.73,0.73,0.73
GOOG,Alphabet,Communication Services,Internet Content & Information,324.4,25933816.0,0.76,0.4,-5.94,-0.49,8.41,8.41,8.41
TSM,TSMC,Technology,Semiconductors,355.41,14454220.0,0.96,1.88,4.12,11.76,5.14,5.14,5.14
BBAI,BBAI,Technology,Information Technology Services,4.87,58368964.0,0.91,3.18,1.88,-21.07,0.28,0.28,0.28
BTC-USD,Bitcoin,Crypto,Cryptocurrency,70333.88,52190388224.0,0.64,0.1,-3.68,-24.01,3670752.24,3670752.24,3670752.24
AMZN,Amazon,Consumer Cyclical,Internet Retail,208.72,90894780.0,1.07,-0.76,-14.09,-15.25,18.97,18.97,18.97
VRNS,VRNS,Technology,Software - Infrastructure,25.61,7993333.0,0.82,13.07,-12.44,-28.36,0.2,0.2,0.2
^GSPC,S&P 500,Index,Market Index,6964.82,3363942000.0,0.5,0.47,-0.17,0.63,23429.25,23429.25,23429.25
SI=F,Silver (白銀),Other,Other,83.15,65135.0,146.04,8.36,8.3,11.29,0.01,0.01,0.01
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,330.57,7449348.0,0.75,2.5,0.66,17.37,2.46,2.46,2.46
RBLX,RBLX,Communication Services,Electronic Gaming & Multimedia,73.45,19532622.0,0.98,10.58,8.85,-0.6,1.43,1.43,1.43
MSFT,Microsoft,Technology,Software - Infrastructure,413.6,44443596.0,0.83,3.11,-2.31,-13.49,18.38,18.38,18.38
META,Meta,Communication Services,Internet Content & Information,677.22,14721791.0,0.92,2.38,-4.13,4.82,9.97,9.97,9.97
ALAB,ALAB,Technology,Semiconductors,187.67,7221135.0,1.39,10.49,23.11,19.74,1.36,1.36,1.36
QCOM,Qualcomm,Technology,Semiconductors,138.93,11008873.0,0.64,1.16,-8.97,-23.61,1.53,1.53,1.53
HG=F,Copper (銅),Other,Other,5.96,42678.0,48.48,1.69,2.78,3.76,0.0,0.0,0.0
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,167.25,10507406.0,0.58,1.29,-10.97,-31.9,1.76,1.76,1.76
NU,NU,Financial Services,Banks - Regional,17.55,49168040.0,0.97,0.86,-3.09,-0.34,0.86,0.86,0.86
UI,UI,Technology,Communication Equipment,712.38,202782.0,1.34,14.47,30.75,29.71,0.14,0.14,0.14
NIO,NIO,Consumer Cyclical,Auto Manufacturers,4.89,47315268.0,0.66,-2.98,8.19,3.38,0.23,0.23,0.23
VAL,VAL,Energy,Oil & Gas Equipment & Services,83.82,15023082.0,13.33,34.31,44.69,57.26,1.26,1.26,1.26
CORZ,CORZ,Technology,Software - Infrastructure,18.55,16078385.0,1.14,10.35,3.81,11.21,0.3,0.3,0.3
VALE,VALE,Basic Materials,Other Industrial Metals & Mining,16.79,58815363.0,1.4,3.01,4.03,19.33,0.99,0.99,0.99
AMD,AMD,Technology,Semiconductors,216.0,38629094.0,0.62,3.63,-12.29,5.53,8.34,8.34,8.34
BMNR,BMNR,Financial Services,Capital Markets,21.45,48200564.0,0.79,4.79,-5.92,-31.43,1.03,1.03,1.03
DIS,Disney,Communication Services,Entertainment,107.13,8020189.0,0.38,-1.44,2.57,-6.17,0.86,0.86,0.86
ONDS,ONDS,Technology,Communication Equipment,10.34,87097510.0,0.86,6.71,-2.82,-26.2,0.9,0.9,0.9
SOFI,SOFI,Financial Services,Credit Services,21.35,63521725.0,0.8,2.35,-3.31,-22.98,1.36,1.36,1.36
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,417.32,52801785.0,0.81,1.51,-1.06,-4.24,22.04,22.04,22.04
CL=F,Crude Oil (原油),Other,Other,64.41,256016.0,0.63,1.35,3.65,11.51,0.02,0.02,0.02
IBRX,IBRX,Healthcare,Biotechnology,6.93,23463911.0,1.13,14.55,13.05,209.37,0.16,0.16,0.16
JNJ,J&J,Healthcare,Drug Manufacturers - General,238.64,6337301.0,0.71,-0.56,3.42,15.99,1.51,1.51,1.51
IREN,IREN,Financial Services,Capital Markets,46.15,48554136.0,0.84,10.33,-13.06,1.03,2.24,2.24,2.24
^IXIC,Nasdaq,Index,Market Index,23238.67,6735310000.0,0.68,0.9,-1.5,-1.03,156519.65,156519.65,156519.65
KVUE,KVUE,Consumer Defensive,Household & Personal Products,18.18,91482962.0,1.36,0.28,4.6,7.0,1.66,1.66,1.66
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,151.21,15732576.0,0.6,1.45,9.26,23.02,2.38,2.38,2.38
V,Visa,Financial Services,Credit Services,325.58,8485873.0,1.01,-1.81,-2.47,-7.57,2.76,2.76,2.76
GC=F,Gold (黃金),Other,Other,5087.1,118337.0,57.6,2.74,10.05,14.32,0.6,0.6,0.6
CLF,CLF,Basic Materials,Steel,12.31,55237563.0,3.49,-16.43,-11.12,0.41,0.68,0.68,0.68
APP,APP,Communication Services,Advertising Agencies,460.38,10037615.0,1.15,13.19,-4.68,-25.33,4.62,4.62,4.62
CRDO,CRDO,Technology,Semiconductors,123.41,7059246.0,0.72,10.78,2.88,-12.84,0.87,0.87,0.87
^SOX,PHLX Semi,Index,Market Index,8162.58,0.0,0.0,1.42,0.35,9.77,0.0,0.0,0.0
INTC,Intel,Technology,Semiconductors,50.24,93712628.0,0.81,-0.69,2.93,22.21,4.71,4.71,4.71
RIG,RIG,Energy,Oil & Gas Drilling,5.71,179006825.0,4.28,5.94,18.46,33.72,1.02,1.02,1.02
ORCL,Oracle,Technology,Software - Infrastructure,156.59,49506363.0,1.2,9.64,-2.17,-17.43,7.75,7.75,7.75
PYPL,PayPal,Financial Services,Credit Services,41.15,25651624.0,0.42,1.81,-21.36,-29.38,1.06,1.06,1.06
ORLA,ORLA,Basic Materials,Gold,17.34,2160614.0,0.98,11.15,16.61,20.92,0.04,0.04,0.04
^DJI,Dow Jones,Index,Market Index,50135.87,623640099.0,0.87,0.04,1.47,1.77,31266.74,31266.74,31266.74
NFLX,Netflix,Communication Services,Entertainment,81.47,42010031.0,0.87,-0.89,-1.56,-10.01,3.42,3.42,3.42
BLSH,BLSH,Technology,Software - Infrastructure,32.05,4998339.0,1.22,16.76,11.4,-18.45,0.16,0.16,0.16
MU,Micron,Technology,Semiconductors,383.5,30701187.0,0.72,-2.84,-12.4,17.27,11.77,11.77,11.77
AAPL,Apple,Technology,Consumer Electronics,274.62,44361333.0,0.67,-1.26,1.71,6.01,12.18,12.18,12.18
MARA,MARA,Financial Services,Capital Markets,8.06,67481919.0,1.06,-2.18,-11.62,-22.8,0.54,0.54,0.54
WULF,WULF,Financial Services,Capital Markets,16.65,64387444.0,1.39,16.52,23.88,29.67,1.07,1.07,1.07
CIFR,CIFR,Financial Services,Capital Markets,16.76,36605497.0,0.95,13.78,6.01,1.27,0.61,0.61,0.61
JPM,JPMorgan,Financial Services,Banks - Diversified,322.1,8205193.0,0.69,-0.09,4.53,-2.33,2.64,2.64,2.64
EMAT,EMAT,Basic Materials,Other Industrial Metals & Mining,6.76,180025.0,1.53,10.2,-5.66,-60.29,0.0,0.0,0.0
NN,NN,Technology,Software - Infrastructure,16.5,1155323.0,0.91,9.93,11.49,16.44,0.02,0.02,0.02
HRC=F,Steel (熱軋鋼),Other,Other,974.0,120.0,0.76,-0.31,0.21,3.84,0.0,0.0,0.0
CRM,Salesforce,Technology,Software - Application,194.03,12093261.0,0.7,1.4,-7.96,-25.52,2.35,2.35,2.35
CRWD,CrowdStrike,Technology,Software - Infrastructure,408.04,2758493.0,0.64,3.17,-7.02,-12.04,1.13,1.13,1.13
MSTR,MicroStrategy,Technology,Software - Application,138.44,34055455.0,0.87,2.6,-0.85,-17.09,4.71,4.71,4.71
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1044.67,2720251.0,0.49,-1.28,0.05,-3.73,2.84,2.84,2.84
VSAT,VSAT,Technology,Communication Equipment,46.28,2131325.0,0.88,10.98,5.78,19.52,0.1,0.1,0.1
AUGO,AUGO,Basic Materials,Gold,73.0,1245575.0,0.92,10.62,19.14,42.58,0.09,0.09,0.09
SMCI,Super Micro,Technology,Computer Hardware,33.53,32068217.0,0.54,-2.47,12.86,12.14,1.08,1.08,1.08
CRWV,CoreWeave,Technology,Software - Infrastructure,96.79,25342501.0,0.99,7.6,8.83,25.55,2.45,2.45,2.45
TXN,Texas Inst,Technology,Semiconductors,218.77,9242466.0,0.75,-1.21,-2.77,16.09,2.02,2.02,2.02
USAS,USAS,Basic Materials,Other Industrial Metals & Mining,8.0,5019942.0,0.76,12.2,14.12,48.98,0.04,0.04,0.04
NVDA,NVIDIA,Technology,Semiconductors,190.04,195213912.0,0.96,2.5,2.39,2.7,37.1,37.1,37.1
IAG,IAG,Basic Materials,Gold,21.28,8818765.0,0.9,11.3,16.99,24.88,0.19,0.19,0.19
HIMS,HIMS,Healthcare,Drug Manufacturers - Specialty & Generic,19.33,143515504.0,3.94,-16.03,-26.89,-42.93,2.77,2.77,2.77
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,229.28,9967671.0,0.7,-0.75,-3.46,14.09,2.29,2.29,2.29
COST,Costco,Consumer Defensive,Discount Stores,997.59,1658328.0,0.62,-0.36,3.02,8.99,1.65,1.65,1.65
HYMC,HYMC,Basic Materials,Gold,38.76,3513229.0,0.7,12.06,10.08,48.05,0.14,0.14,0.14
