Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
NVDA,NVIDIA,Technology,Semiconductors,171.88,199099429.0,1.07,-1.33,-10.72,-8.2,34.22,34.22,34.22
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,146.08,15316076.0,0.48,-1.02,3.96,20.68,2.24,2.24,2.24
ITT,ITT,Industrials,Specialty Industrial Machinery,202.05,2572803.0,2.72,9.13,9.38,12.26,0.52,0.52,0.52
NIO,NIO,Consumer Cyclical,Auto Manufacturers,4.7,118289405.0,2.12,5.86,-1.47,-1.67,0.56,0.56,0.56
SIRI,SIRI,Communication Services,Entertainment,22.6,25506270.0,3.73,9.02,12.66,4.53,0.58,0.58,0.58
PAHC,PAHC,Healthcare,Drug Manufacturers - Specialty & Generic,50.0,980932.0,3.9,21.95,25.34,26.45,0.05,0.05,0.05
PYPL,PayPal,Financial Services,Credit Services,39.9,41785086.0,0.79,-2.75,-24.87,-33.29,1.67,1.67,1.67
COR,COR,Healthcare,Medical Distribution,352.16,2352636.0,1.35,6.72,0.02,1.73,0.83,0.83,0.83
OWL,OWL,Financial Services,Asset Management,11.63,66181110.0,1.74,-3.57,-16.87,-27.49,0.77,0.77,0.77
BTC-USD,Bitcoin,Crypto,Cryptocurrency,63816.93,122891567104.0,1.84,-12.6,-18.83,-33.21,7842562.5,7842562.5,7842562.5
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,146.12,28691076.0,2.18,-13.34,-26.64,-41.68,4.19,4.19,4.19
FORM,FORM,Technology,Semiconductor Equipment & Materials,83.87,3791531.0,2.53,17.19,14.37,31.05,0.32,0.32,0.32
AAPL,Apple,Technology,Consumer Electronics,275.91,52178159.0,0.67,-0.21,6.83,5.16,14.4,14.4,14.4
GOOG,Alphabet,Communication Services,Internet Content & Information,331.33,51105924.0,1.94,-0.6,-2.16,5.33,16.93,16.93,16.93
TSEM,TSEM,Technology,Semiconductors,129.08,5069499.0,1.98,6.43,-4.18,5.56,0.65,0.65,0.65
QCOM,Qualcomm,Technology,Semiconductors,136.3,30082173.0,2.55,-8.46,-10.46,-25.29,4.1,4.1,4.1
WMT,Walmart,Consumer Defensive,Discount Stores,126.94,30381827.0,1.17,-0.83,8.12,11.02,3.86,3.86,3.86
MU,Micron,Technology,Semiconductors,382.89,37777447.0,0.81,0.92,-12.14,11.49,14.46,14.46,14.46
TXN,Texas Inst,Technology,Semiconductors,223.98,11023124.0,0.86,0.48,2.29,16.6,2.47,2.47,2.47
TW,TW,Financial Services,Capital Markets,109.53,3321683.0,1.88,8.64,6.2,-1.07,0.36,0.36,0.36
RRX,RRX,Industrials,Specialty Industrial Machinery,200.0,4500520.0,3.09,12.17,23.41,26.88,0.9,0.9,0.9
ADBE,Adobe,Technology,Software - Application,269.39,6072792.0,0.88,-3.69,-7.63,-19.82,1.64,1.64,1.64
GOOGL,GOOGL,Communication Services,Internet Content & Information,331.25,87068779.0,2.07,-0.54,-2.07,5.38,28.84,28.84,28.84
KVUE,KVUE,Consumer Defensive,Household & Personal Products,18.07,108818774.0,2.23,0.33,5.06,7.88,1.97,1.97,1.97
CCC,CCC,Technology,Software - Application,5.68,59562131.0,3.41,-12.62,-24.57,-31.57,0.34,0.34,0.34
ALGN,ALGN,Healthcare,Medical Instruments & Supplies,175.62,2506121.0,1.75,8.88,7.01,4.75,0.44,0.44,0.44
GC=F,Gold (黃金),Other,Other,4781.9,226301.0,29.7,-2.81,-10.09,6.69,1.08,1.08,1.08
AMD,AMD,Technology,Semiconductors,192.5,60875849.0,1.13,-3.84,-23.67,-10.19,11.72,11.72,11.72
