Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
GOOG,Alphabet,Communication Services,Internet Content & Information,311.33,23851112.0,0.69,-2.29,-6.6,-6.43,7.43,7.43,7.43
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,153.2,13788139.0,0.81,-5.73,-9.14,-36.95,2.11,2.11,2.11
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,155.56,22863268.0,1.12,2.62,5.4,25.42,3.56,3.56,3.56
QCOM,Qualcomm,Technology,Semiconductors,141.04,9000345.0,0.53,0.68,-5.27,-16.68,1.27,1.27,1.27
PYPL,PayPal,Financial Services,Credit Services,40.46,21466350.0,0.58,-2.48,-1.39,-29.38,0.87,0.87,0.87
MSFT,Microsoft,Technology,Software - Infrastructure,404.37,41077209.0,0.8,-2.15,-2.37,-15.26,16.61,16.61,16.61
WMT,Walmart,Consumer Defensive,Discount Stores,128.77,19157514.0,0.7,1.63,0.6,9.15,2.47,2.47,2.47
U,U,Technology,Software - Application,21.41,102414964.0,4.12,-26.32,-14.15,-54.73,2.19,2.19,2.19
BTC-USD,Bitcoin,Crypto,Cryptocurrency,67917.02,49561538560.0,0.8,-1.27,-3.74,-24.01,3366071.79,3366071.79,3366071.79
DIS,Disney,Communication Services,Entertainment,108.12,8016620.0,0.63,-1.67,1.0,-4.17,0.87,0.87,0.87
PATH,PATH,Technology,Software - Infrastructure,11.69,42981018.0,1.28,-9.73,-5.19,-32.19,0.5,0.5,0.5
V,Visa,Financial Services,Credit Services,329.24,8259737.0,1.06,0.33,-0.22,-4.07,2.72,2.72,2.72
TXN,Texas Inst,Technology,Semiconductors,226.56,9124077.0,0.92,2.55,1.63,19.83,2.07,2.07,2.07
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,339.88,7052128.0,0.77,3.29,14.21,10.62,2.4,2.4,2.4
COST,Costco,Consumer Defensive,Discount Stores,978.14,1767343.0,0.76,0.71,-0.02,3.72,1.73,1.73,1.73
CRWV,CoreWeave,Technology,Software - Infrastructure,95.15,19123387.0,0.76,0.04,15.39,5.8,1.82,1.82,1.82
F,F,Consumer Cyclical,Auto Manufacturers,13.85,120343638.0,1.74,2.06,0.22,-1.28,1.67,1.67,1.67
META,Meta,Communication Services,Internet Content & Information,668.69,14240432.0,0.92,-0.3,-0.04,4.16,9.52,9.52,9.52
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,428.27,56462222.0,0.86,0.72,5.48,-4.61,24.18,24.18,24.18
SI=F,Silver (白銀),Other,Other,83.91,59994.0,189.38,4.6,-0.3,-0.83,0.01,0.01,0.01
SOFI,SOFI,Financial Services,Credit Services,20.55,52285963.0,0.73,-2.97,-0.96,-22.74,1.07,1.07,1.07
PLUG,PLUG,Industrials,Electrical Equipment & Parts,1.96,91495558.0,0.88,-3.92,-4.39,-14.04,0.18,0.18,0.18
GGB,GGB,Basic Materials,Steel,4.35,62967007.0,1.68,2.59,1.64,9.3,0.27,0.27,0.27
^IXIC,Nasdaq,Index,Market Index,23066.47,8604369000.0,0.92,-0.16,0.71,-2.81,198472.39,198472.39,198472.39
NVDA,NVIDIA,Technology,Semiconductors,190.05,143008331.0,0.73,0.8,9.11,2.76,27.18,27.18,27.18
HG=F,Copper (銅),Other,Other,5.99,66781.0,103.7,1.59,2.81,0.08,0.0,0.0,0.0
QXO,QXO,Industrials,Industrial Distribution,27.06,17081327.0,2.24,16.59,16.99,9.11,0.46,0.46,0.46
KVUE,KVUE,Consumer Defensive,Household & Personal Products,18.54,42967919.0,0.47,1.2,2.94,9.06,0.8,0.8,0.8
LSCC,LSCC,Technology,Semiconductors,105.77,6110860.0,2.39,16.29,29.32,27.28,0.65,0.65,0.65
HOOD,HOOD,Financial Services,Capital Markets,77.97,68323080.0,1.33,-8.91,-3.29,-33.65,5.33,5.33,5.33
^SOX,PHLX Semi,Index,Market Index,8291.86,0.0,0.0,2.28,8.83,8.04,0.0,0.0,0.0
HNGE,HNGE,Healthcare,Health Information Services,38.76,5624847.0,3.44,17.28,16.57,-20.03,0.22,0.22,0.22
MWH,MWH,Other,Other,30.67,10368697.0,0.0,0.0,0.0,0.0,0.32,0.32,0.32
^GSPC,S&P 500,Index,Market Index,6941.47,3743710000.0,0.59,-0.0,0.85,-0.51,25986.85,25986.85,25986.85
SUZ,SUZ,Basic Materials,Paper & Paper Products,11.18,8840426.0,2.83,13.5,18.31,15.73,0.1,0.1,0.1
RIG,RIG,Energy,Oil & Gas Drilling,6.0,111689821.0,1.3,10.29,12.36,40.52,0.67,0.67,0.67
MSTR,MicroStrategy,Technology,Software - Application,126.07,25619065.0,0.64,-5.21,-2.34,-22.29,3.23,3.23,3.23
CL=F,Crude Oil (原油),Other,Other,64.96,297185.0,0.79,1.56,-0.28,9.18,0.02,0.02,0.02
MU,Micron,Technology,Semiconductors,410.34,47409760.0,1.18,9.94,8.15,18.64,19.45,19.45,19.45
MA,Mastercard,Financial Services,Credit Services,537.46,3009318.0,0.78,-0.54,-2.9,-5.09,1.62,1.62,1.62
HRC=F,Steel (熱軋鋼),Other,Other,978.0,183.0,2.17,0.2,0.2,3.71,0.0,0.0,0.0
SOLS,SOLS,Basic Materials,Specialty Chemicals,74.95,7665492.0,3.04,17.48,14.92,44.11,0.57,0.57,0.57
