Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B
APLD,APLD,Technology,Information Technology Services,34.95,44242491.0,1.49,25.52,3.16,18.23,1.55,1.55,1.55
CRWD,CrowdStrike,Technology,Software - Infrastructure,395.5,4917118.0,1.27,4.86,-10.4,-17.42,1.94,1.94,1.94
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.08,108344027.0,0.98,11.56,-2.12,-8.99,0.22,0.22,0.22
PLTR,Palantir,Technology,Software - Infrastructure,135.9,61314225.0,0.7,4.53,-7.29,-25.2,8.33,8.33,8.33
COST,Costco,Consumer Defensive,Discount Stores,1001.16,2077763.0,0.77,1.2,6.48,13.44,2.08,2.08,2.08
MSFT,Microsoft,Technology,Software - Infrastructure,401.14,52425974.0,0.96,1.9,-6.77,-17.03,21.03,21.03,21.03
MSTR,MicroStrategy,Technology,Software - Application,134.93,56808932.0,1.75,26.11,-9.87,-16.62,7.67,7.67,7.67
RGTI,RGTI,Technology,Computer Hardware,17.71,36685732.0,1.13,18.26,-2.53,-29.75,0.65,0.65,0.65
GOOG,Alphabet,Communication Services,Internet Content & Information,323.1,33668788.0,1.06,-2.48,-4.56,0.21,10.88,10.88,10.88
BBD,BBD,Financial Services,Banks - Regional,3.98,89885829.0,2.05,-0.5,-1.73,14.04,0.36,0.36,0.36
AAPL,Apple,Technology,Consumer Electronics,278.12,50050812.0,0.67,0.8,7.18,6.83,13.92,13.92,13.92
IREN,IREN,Financial Services,Capital Markets,41.83,74326025.0,1.41,5.13,-22.16,-4.11,3.11,3.11,3.11
ALAB,ALAB,Technology,Semiconductors,169.85,6923633.0,1.51,18.93,12.77,2.46,1.18,1.18,1.18
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,411.11,60591652.0,0.88,3.5,-4.48,-4.71,24.91,24.91,24.91
PANW,Palo Alto,Technology,Software - Infrastructure,159.32,9864237.0,1.08,2.94,-9.97,-17.83,1.57,1.57,1.57
TSM,TSMC,Technology,Semiconductors,348.85,15829736.0,1.13,5.48,5.53,9.47,5.52,5.52,5.52
^IXIC,Nasdaq,Index,Market Index,23031.21,7324127000.0,0.74,2.18,-1.84,-2.35,168683.53,168683.53,168683.53
BMNR,BMNR,Financial Services,Capital Markets,20.47,73492593.0,1.32,17.64,-18.45,-32.58,1.5,1.5,1.5
HRC=F,Steel (熱軋鋼),Other,Other,972.0,218.0,1.23,-0.1,0.0,3.62,0.0,0.0,0.0
META,Meta,Communication Services,Internet Content & Information,661.46,17610125.0,1.03,-1.31,-7.68,1.97,11.65,11.65,11.65
