Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
OPEN,OPEN,Real Estate,Real Estate Services,5.41,52822885.0,0.77,8.63,16.34,-6.88,0.29,0.29,0.29,5.16
FTDR,FTDR,Consumer Cyclical,Personal Services,65.76,1186639.0,1.79,16.8,18.27,10.86,0.08,0.08,0.08,4.79
HRC=F,Steel (熱軋鋼),Index,Market Index,1018.0,332.0,5.16,1.09,3.67,8.07,0.0,0.0,0.0,0.0
LUNR,LUNR,Industrials,Aerospace & Defense,17.67,14393841.0,1.28,11.2,-2.86,-12.91,0.25,0.25,0.25,2.51
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,375.72,7264961.0,1.0,-4.87,1.59,12.93,2.73,2.73,2.73,298.18
GRAL,GRAL,Healthcare,Diagnostics & Research,58.1,1494178.0,0.26,12.18,-42.78,-46.69,0.09,0.09,0.09,2.26
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,224.69,3977866.0,0.71,-0.98,0.15,0.34,0.89,0.89,0.89,397.29
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,80.5,9316395.0,0.56,0.04,2.01,9.45,0.75,0.75,0.75,346.28
IONQ,IONQ,Technology,Computer Hardware,40.88,61696537.0,3.59,21.7,22.29,-10.13,2.52,2.52,2.52,14.69
OWL,OWL,Financial Services,Asset Management,11.22,45345296.0,0.78,-1.15,-3.11,-22.78,0.51,0.51,0.51,17.54
^DJI,Dow Jones,Index,Market Index,49499.2,684637858.0,1.29,0.03,0.21,1.01,33889.03,33889.03,33889.03,0.0
INTC,Intel,Technology,Semiconductors,45.46,66494469.0,0.84,-3.03,1.88,3.48,3.02,3.02,3.02,227.08
NU,NU,Financial Services,Banks - Regional,15.06,138939134.0,2.54,-9.55,-13.05,-18.81,2.09,2.09,2.09,72.97
META,Meta,Communication Services,Internet Content & Information,657.01,9320866.0,0.86,0.51,1.9,-2.37,6.12,6.12,6.12,1661.94
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,181.06,12450888.0,0.91,-1.57,9.11,-14.12,2.25,2.25,2.25,48.82
^VIX,VIX,Index,Market Index,18.63,0.0,0.0,3.9,-7.91,13.94,0.0,0.0,0.0,0.0
UNH,UnitedHealth,Healthcare,Healthcare Plans,286.66,8244693.0,1.02,0.87,-1.13,1.4,2.36,2.36,2.36,259.67
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,375.09,2228700.0,0.48,-0.13,-0.92,-1.39,0.84,0.84,0.84,373.41
CL=F,Crude Oil (原油),Index,Market Index,65.45,472348.0,1.74,0.05,-1.48,4.9,0.03,0.03,0.03,0.0
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,148.54,12519954.0,0.68,-0.35,-1.61,8.56,1.86,1.86,1.86,618.93
VAC,VAC,Consumer Cyclical,Resorts & Casinos,67.66,1531953.0,2.34,16.66,15.26,22.53,0.1,0.1,0.1,2.34
RGTI,RGTI,Technology,Computer Hardware,18.64,53474336.0,1.99,5.73,12.29,-16.45,1.0,1.0,1.0,6.15
BRK-B,Berkshire,Financial Services,Insurance - Diversified,502.67,3426122.0,1.0,1.76,1.15,5.9,1.72,1.72,1.72,1084.43
DAVE,DAVE,Technology,Software - Application,192.33,819521.0,2.29,11.55,7.91,8.35,0.16,0.16,0.16,2.6
PLUG,PLUG,Industrials,Electrical Equipment & Parts,1.91,110770417.0,1.39,0.0,0.0,-20.75,0.21,0.21,0.21,2.66
MSFT,Microsoft,Technology,Software - Infrastructure,401.72,33545783.0,0.92,0.28,0.82,-16.41,13.48,13.48,13.48,2985.73
AAL,AAL,Industrials,Airlines,13.94,94155927.0,1.66,4.65,4.42,2.88,1.31,1.31,1.31,9.2
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,408.58,52348306.0,0.9,-2.11,-0.76,-5.18,21.39,21.39,21.39,1533.17
PG,P&G,Consumer Defensive,Household & Personal Products,163.75,6373357.0,0.58,0.22,3.27,10.39,1.04,1.04,1.04,383.25
GC=F,Gold (黃金),Index,Market Index,5206.3,126970.0,563.81,-0.0,4.63,2.49,0.66,0.66,0.66,0.0
