Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
NVDA,NVIDIA,Technology,Semiconductors,224.09,106431963.0,0.89,3.03,2.22,5.8,23.85,23.85,23.85,5427.68
TXN,Texas Inst,Technology,Semiconductors,276.59,5900438.0,1.11,-1.65,-0.41,-9.48,1.63,1.63,1.63,252.6
MARA,MARA,Financial Services,Capital Markets,9.64,39576795.0,0.99,-0.41,-14.23,-20.72,0.38,0.38,0.38,3.72
^IXIC,Nasdaq,Index,Market Index,26588.49,7139452000.0,0.86,0.54,0.85,1.84,189827.24,189827.24,189827.24,0.0
ATRO,ATRO,Industrials,Aerospace & Defense,87.89,2149455.0,3.76,17.33,13.94,21.31,0.19,0.19,0.19,4.34
SHAZ,SHAZ,Technology,Information Technology Services,68.46,2443268.0,1.55,21.0,20.06,-3.93,0.17,0.17,0.17,2.45
CBRS,CBRS,Technology,Semiconductors,262.06,8133629.0,2.3,11.63,22.29,28.58,2.13,2.13,2.13,58.4
MU,Micron,Technology,Semiconductors,911.29,35803171.0,1.1,4.92,2.03,-7.31,32.63,32.63,32.63,1029.2
WMT,Walmart,Consumer Defensive,Discount Stores,116.01,21976390.0,1.1,2.43,3.27,2.03,2.55,2.55,2.55,923.22
ONDS,ONDS,Technology,Communication Equipment,9.77,83493622.0,1.01,0.31,10.15,32.74,0.82,0.82,0.82,5.57
AVGO,Broadcom,Technology,Semiconductors,416.05,14256945.0,0.99,-0.01,-0.53,6.92,5.93,5.93,5.93,1979.39
VIAV,VIAV,Technology,Communication Equipment,43.11,5889946.0,0.98,12.27,10.82,3.01,0.25,0.25,0.25,10.63
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,248.76,2891601.0,0.54,0.32,2.03,0.31,0.72,0.72,0.72,439.59
QCOM,Qualcomm,Technology,Semiconductors,163.07,7718235.0,0.91,0.24,3.52,-8.44,1.26,1.26,1.26,171.22
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.29,91152011.0,1.1,3.15,9.05,0.88,0.21,0.21,0.21,3.2
PLTR,Palantir,Technology,Software - Infrastructure,171.04,35000125.0,0.62,-2.23,7.96,27.91,5.99,5.99,5.99,411.02
^VIX,VIX,Index,Market Index,14.55,0.0,0.0,-4.78,-7.97,-11.82,0.0,0.0,0.0,0.0
META,Meta,Communication Services,Internet Content & Information,578.85,15847495.0,1.2,-3.38,-1.68,-12.43,9.17,9.17,9.17,1474.62
MSTR,MicroStrategy,Technology,Software - Application,94.83,11083349.0,0.71,-1.31,-3.6,-2.82,1.05,1.05,1.05,37.35
V,Visa,Financial Services,Credit Services,359.42,2817525.0,0.5,-0.94,-2.47,0.96,1.01,1.01,1.01,671.05
NU,NU,Financial Services,Banks - Regional,13.56,45694766.0,0.81,-0.66,-6.35,-3.07,0.62,0.62,0.62,65.5
NBIS,NBIS,Communication Services,Internet Content & Information,259.2,62364592.0,3.0,34.14,18.36,33.55,16.16,16.16,16.16,65.81
UNH,UnitedHealth,Healthcare,Healthcare Plans,405.59,2658752.0,0.64,0.85,-1.73,-4.61,1.08,1.08,1.08,364.06
AAL,AAL,Industrials,Airlines,14.93,39484580.0,0.86,-2.35,-9.95,-4.72,0.59,0.59,0.59,9.88
AMD,AMD,Technology,Semiconductors,482.93,17829871.0,0.64,1.82,0.18,-11.89,8.61,8.61,8.61,788.37
ACHR,ACHR,Industrials,Aerospace & Defense,6.29,49227697.0,0.81,-7.36,20.96,29.69,0.31,0.31,0.31,4.84
EROC,EROC,Industrials,Specialty Industrial Machinery,13.82,5975009.0,3.38,22.84,28.8,11.45,0.08,0.08,0.08,3.78
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,548.15,6046408.0,1.08,4.29,2.6,-7.98,3.31,3.31,3.31,435.21
DELL,DELL,Technology,Computer Hardware,484.5,6158466.0,1.1,9.87,4.71,5.89,2.98,2.98,2.98,313.06
PG,P&G,Consumer Defensive,Household & Personal Products,144.08,5458885.0,0.66,-0.78,-1.85,-1.37,0.79,0.79,0.79,335.5
BTC-USD,Bitcoin,Crypto,Cryptocurrency,63428.6,22482737152.0,1.24,-0.19,-2.24,-4.04,1426048.58,1426048.58,1426048.58,0.0
MSGE,MSGE,Communication Services,Entertainment,88.42,611935.0,1.75,11.4,13.65,20.05,0.05,0.05,0.05,4.18
WULF,WULF,Financial Services,Capital Markets,17.19,34546339.0,1.09,2.63,-4.87,-11.44,0.59,0.59,0.59,8.58
KEEL,KEEL,Technology,Information Technology Services,3.54,42350235.0,1.55,7.6,-9.92,-21.16,0.15,0.15,0.15,2.19
^GSPC,S&P 500,Index,Market Index,7748.5,2674503000.0,0.52,0.26,0.32,2.72,20723.39,20723.39,20723.39,0.0
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,86.71,9048802.0,0.64,0.27,-0.14,4.37,0.78,0.78,0.78,373.07
ADBE,Adobe,Technology,Software - Application,258.75,3946014.0,0.88,-1.88,-0.22,17.2,1.02,1.02,1.02,102.85
PATH,PATH,Technology,Software - Infrastructure,15.26,59559496.0,0.85,-2.93,10.42,27.81,0.91,0.91,0.91,7.91
CL=F,Crude Oil (原油),Index,Market Index,82.58,207122.0,0.8,-0.75,9.78,4.08,0.02,0.02,0.02,0.0
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,327.51,27695899.0,0.98,-1.59,1.85,-17.33,9.07,9.07,9.07,1293.52
DOCN,DOCN,Technology,Software - Infrastructure,133.37,1819584.0,0.76,10.35,7.16,5.6,0.24,0.24,0.24,15.59
AMZN,Amazon,Consumer Cyclical,Internet Retail,267.28,29447706.0,0.83,-1.83,-1.97,8.0,7.87,7.87,7.87,2882.97
BAC,Bank of America,Financial Services,Banks - Diversified,64.81,23141641.0,0.94,1.27,2.47,6.91,1.5,1.5,1.5,453.2
LITE,LITE,Technology,Communication Equipment,932.47,11738891.0,2.3,13.63,12.85,14.44,10.95,10.95,10.95,72.55
MA,Mastercard,Financial Services,Credit Services,559.73,2199321.0,0.81,-0.3,-1.88,4.04,1.23,1.23,1.23,490.33
MRX,MRX,Financial Services,Capital Markets,71.13,1330923.0,2.43,17.47,10.95,9.64,0.09,0.09,0.09,5.12
IREN,IREN,Financial Services,Capital Markets,43.67,48407033.0,1.39,9.86,12.29,13.16,2.11,2.11,2.11,15.61
UWMC,UWMC,Financial Services,Mortgage Finance,1.51,35741209.0,0.75,-1.31,-17.93,-25.25,0.05,0.05,0.05,4.33
JNJ,J&J,Healthcare,Drug Manufacturers - General,260.86,3262519.0,0.47,0.41,1.27,2.76,0.85,0.85,0.85,628.65
CIEN,CIEN,Technology,Communication Equipment,432.05,3753658.0,2.19,11.49,5.68,-3.33,1.62,1.62,1.62,61.16
EAT,EAT,Consumer Cyclical,Restaurants,245.89,2464959.0,2.37,11.07,8.82,32.68,0.61,0.61,0.61,10.55
CRM,Salesforce,Technology,Software - Application,193.32,12024387.0,1.09,-2.1,0.18,15.37,2.32,2.32,2.32,158.33
NFLX,Netflix,Communication Services,Entertainment,74.21,20458153.0,0.74,-0.78,0.01,0.92,1.52,1.52,1.52,309.01
GC=F,Gold (黃金),Index,Market Index,4469.0,147971.0,98.94,1.96,5.26,10.04,0.66,0.66,0.66,0.0
CRWV,CoreWeave,Technology,Software - Infrastructure,107.73,86984872.0,3.53,19.28,19.85,34.76,9.37,9.37,9.37,58.77
BE,BE,Industrials,Electrical Equipment & Parts,237.16,14371370.0,1.24,12.29,1.21,-2.56,3.41,3.41,3.41,69.85
HG=F,Copper (銅),Index,Market Index,6.61,40864.0,33.29,-0.06,-1.42,4.39,0.0,0.0,0.0,0.0
^SOX,PHLX Semi,Index,Market Index,12399.38,0.0,0.0,2.49,3.25,-2.07,0.0,0.0,0.0,0.0
HRB,HRB,Consumer Cyclical,Personal Services,54.18,7520437.0,2.35,16.09,18.09,32.34,0.41,0.41,0.41,6.87
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,343.43,3189366.0,1.06,-3.12,-2.75,1.68,1.1,1.1,1.1,342.44
ORCL,Oracle,Technology,Software - Infrastructure,153.28,43399366.0,1.77,5.36,6.16,19.81,6.65,6.65,6.65,441.52
NOK,NOK,Technology,Communication Equipment,10.32,111389496.0,2.03,9.32,7.72,-11.79,1.15,1.15,1.15,57.61
DIS,Disney,Communication Services,Entertainment,103.22,6711321.0,0.55,-0.3,1.43,7.67,0.69,0.69,0.69,178.23
HRC=F,Steel (熱軋鋼),Index,Market Index,1213.0,291.0,12.65,1.51,1.68,4.75,0.0,0.0,0.0,0.0
CAVA,CAVA,Consumer Cyclical,Restaurants,69.47,10593662.0,2.68,14.24,4.99,-0.71,0.74,0.74,0.74,8.09
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1220.28,1526985.0,0.43,0.43,4.31,5.88,1.86,1.86,1.86,1087.71
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,326.11,7255725.0,0.95,4.72,6.08,-5.78,2.37,2.37,2.37,408.07
FIGR,FIGR,Financial Services,Capital Markets,30.68,7490016.0,2.74,10.2,6.79,2.4,0.23,0.23,0.23,6.78
CDE,CDE,Basic Materials,Gold,18.8,42925616.0,0.92,1.18,7.86,17.5,0.81,0.81,0.81,19.33
QNT,QNT,Technology,Software - Application,71.74,4554271.0,4.29,27.97,26.06,7.67,0.33,0.33,0.33,18.6
AEHR,AEHR,Technology,Semiconductor Equipment & Materials,129.23,3118717.0,1.46,10.28,30.83,79.46,0.4,0.4,0.4,4.22
MSFT,Microsoft,Technology,Software - Infrastructure,492.43,27275247.0,0.89,-2.26,1.02,27.93,13.43,13.43,13.43,3656.56
RIOT,RIOT,Financial Services,Capital Markets,20.32,33148691.0,1.07,0.4,-5.49,0.64,0.67,0.67,0.67,7.63
SMCI,Super Micro,Technology,Computer Hardware,37.61,164567403.0,3.34,19.02,24.04,36.02,6.19,6.19,6.19,24.33
JPM,JPMorgan,Financial Services,Banks - Diversified,365.18,4361009.0,0.85,0.87,1.65,6.5,1.59,1.59,1.59,970.72
TSM,TSMC,Technology,Semiconductors,429.15,8375025.0,0.77,1.68,3.66,2.08,3.59,3.59,3.59,2225.78
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,159.75,7697293.0,0.51,-0.03,5.36,10.1,1.23,1.23,1.23,656.88
ITUB,ITUB,Financial Services,Banks - Regional,7.4,32414926.0,1.36,-1.33,-9.87,-13.45,0.24,0.24,0.24,81.56
RIG,RIG,Energy,Oil & Gas Drilling,5.7,45087543.0,1.01,-1.89,10.89,7.34,0.26,0.26,0.26,6.37
GRAB,GRAB,Technology,Software - Application,3.61,35279838.0,0.86,-3.48,-3.48,-5.0,0.13,0.13,0.13,14.73
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,149.04,5906713.0,0.87,0.31,-0.57,-7.72,0.88,0.88,0.88,39.32
BRK-B,Berkshire,Financial Services,Insurance - Diversified,510.0,4527202.0,1.0,-1.24,-1.71,3.85,2.31,2.31,2.31,1091.76
GOOG,Alphabet,Communication Services,Internet Content & Information,342.37,15407674.0,0.84,-0.18,-4.93,-4.19,5.28,5.28,5.28,4187.16
SI=F,Silver (白銀),Index,Market Index,65.53,49107.0,469.47,1.17,5.53,11.5,0.0,0.0,0.0,0.0
AAPL,Apple,Technology,Consumer Electronics,302.25,38820559.0,0.91,-0.87,-2.81,-4.0,11.73,11.73,11.73,4411.09
HL,HL,Basic Materials,Other Precious Metals & Mining,18.1,47436392.0,1.17,1.91,9.43,16.77,0.86,0.86,0.86,12.14
IOND,IOND,Financial Services,Capital Markets,64.91,1126067.0,0.91,9.28,5.65,0.0,0.07,0.07,0.07,2.92
INTC,Intel,Technology,Semiconductors,100.95,161584069.0,1.6,3.32,-0.11,-6.32,16.31,16.31,16.31,509.19
COST,Costco,Consumer Defensive,Discount Stores,949.58,1311512.0,0.76,0.56,0.81,3.02,1.25,1.25,1.25,421.12
SPCX,SPCX,Industrials,Aerospace & Defense,146.15,165771792.0,0.84,9.65,34.99,7.4,24.23,24.23,24.23,1925.41
^DJI,Dow Jones,Index,Market Index,53770.27,410994494.0,0.97,-0.04,-1.07,2.4,22099.28,22099.28,22099.28,0.0
