Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
^IXIC,Nasdaq,Index,Market Index,25873.18,6313046000.0,0.82,-1.55,-0.95,2.8,163338.55,163338.55,163338.55,0.0
INSW,INSW,Energy,Oil & Gas Midstream,86.17,406626.0,0.83,-2.61,1.07,4.31,0.04,0.04,0.04,4.27
WPP,WPP,Communication Services,Advertising Agencies,18.86,426490.0,1.0,2.0,8.64,2.95,0.01,0.01,0.01,4.07
SOFI,SOFI,Financial Services,Credit Services,18.13,96562789.0,1.17,-3.46,-2.58,14.24,1.75,1.75,1.75,23.26
MSFT,Microsoft,Technology,Software - Infrastructure,390.99,27505099.0,0.95,1.53,1.1,-1.6,10.75,10.75,10.75,2904.44
EQPT,EQPT,Industrials,Rental & Leasing Services,16.83,3863652.0,1.12,-9.79,-10.46,-8.81,0.07,0.07,0.07,4.25
CCC,CCC,Technology,Software - Application,6.23,15808339.0,1.63,5.24,9.49,32.55,0.1,0.1,0.1,3.66
^DJI,Dow Jones,Index,Market Index,52498.64,407344253.0,0.91,-0.26,-1.05,5.17,21385.02,21385.02,21385.02,0.0
GGAL,GGAL,Financial Services,Banks - Regional,51.41,723501.0,0.62,-4.32,-3.04,3.61,0.04,0.04,0.04,8.71
SI=F,Silver (白銀),Index,Market Index,57.97,50.0,0.28,-3.07,-6.37,-10.25,0.0,0.0,0.0,0.0
BETA,BETA,Industrials,Aerospace & Defense,17.46,1229412.0,1.12,-1.41,-8.11,11.07,0.02,0.02,0.02,4.18
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1181.87,1525845.0,0.64,-0.56,-1.52,4.0,1.8,1.8,1.8,1053.92
SPCX,SPCX,Industrials,Aerospace & Defense,139.14,70450492.0,0.83,-4.24,-13.27,0.0,9.8,9.8,9.8,1833.06
QXO,QXO,Industrials,Industrial Distribution,13.89,20596760.0,0.54,-7.34,-12.14,-7.77,0.29,0.29,0.29,14.42
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,337.11,2524082.0,0.71,-1.8,-3.86,5.7,0.85,0.85,0.85,336.14
WHR,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",38.85,2421964.0,0.8,-4.59,2.13,-3.14,0.09,0.09,0.09,2.52
WMT,Walmart,Consumer Defensive,Discount Stores,114.78,15880294.0,0.78,0.77,3.73,-4.82,1.82,1.82,1.82,913.43
BBAR,BBAR,Financial Services,Banks - Regional,19.98,443125.0,0.64,-5.58,-3.76,13.14,0.01,0.01,0.01,4.08
OPEN,OPEN,Real Estate,Real Estate Services,4.49,62053386.0,0.67,-5.88,-11.89,0.11,0.28,0.28,0.28,4.33
MA,Mastercard,Financial Services,Credit Services,537.7,1895413.0,0.66,2.08,0.86,9.94,1.02,1.02,1.02,475.1
TRMD,TRMD,Energy,Oil & Gas Midstream,28.86,519526.0,0.86,-2.1,3.11,-1.1,0.01,0.01,0.01,2.95
ECO,ECO,Industrials,Marine Shipping,54.2,230706.0,0.5,-1.35,1.59,10.16,0.01,0.01,0.01,2.12
CRCL,CRCL,Financial Services,Capital Markets,63.0,12697861.0,0.83,-4.75,-8.23,-20.18,0.8,0.8,0.8,16.84
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.17,35189375.0,0.71,-2.69,-17.8,-24.13,0.08,0.08,0.08,3.03
CEPU,CEPU,Utilities,Utilities - Regulated Electric,14.78,158163.0,0.72,-3.15,-0.4,-2.12,0.0,0.0,0.0,2.22
BTC-USD,Bitcoin,Crypto,Cryptocurrency,62119.44,30611972096.0,1.34,-2.57,-0.22,-2.87,1901598.61,1901598.61,1901598.61,0.0
ONDS,ONDS,Technology,Communication Equipment,6.96,107164418.0,1.55,-4.13,-11.0,-25.24,0.75,0.75,0.75,3.97
KB,KB,Financial Services,Banks - Regional,123.25,352613.0,1.02,0.05,8.2,22.32,0.04,0.04,0.04,43.72
NOK,NOK,Technology,Communication Equipment,11.69,95853408.0,1.47,-6.03,-6.55,-12.76,1.12,1.12,1.12,65.26
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,84.25,11945820.0,0.77,0.91,1.55,0.79,1.01,1.01,1.01,362.48
CAKE,CAKE,Consumer Cyclical,Restaurants,81.95,1833632.0,1.31,-0.98,6.58,16.04,0.15,0.15,0.15,4.07
AMZN,Amazon,Consumer Cyclical,Internet Retail,247.31,33220841.0,0.92,0.8,1.29,3.91,8.22,8.22,8.22,2660.34
T,T,Communication Services,Telecom Services,21.55,57091441.0,0.83,1.99,4.71,-7.15,1.23,1.23,1.23,149.74
HRC=F,Steel (熱軋鋼),Index,Market Index,1175.0,80.0,5.19,1.47,1.73,4.63,0.0,0.0,0.0,0.0
MARA,MARA,Financial Services,Capital Markets,12.19,34999707.0,0.81,-3.25,-5.87,-3.41,0.43,0.43,0.43,4.65
RIG,RIG,Energy,Oil & Gas Drilling,5.37,43455853.0,1.21,3.27,8.92,-10.65,0.23,0.23,0.23,5.94
NVDA,NVIDIA,Technology,Semiconductors,203.53,113202886.0,0.86,-3.52,4.08,1.55,23.04,23.04,23.04,4929.7
INTC,Intel,Technology,Semiconductors,103.12,99602024.0,0.99,-6.12,-15.61,-3.66,10.27,10.27,10.27,518.28
CBRS,CBRS,Technology,Semiconductors,204.62,3475274.0,0.74,-4.86,6.57,-13.78,0.71,0.71,0.71,45.6
