Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
JNJ,J&J,Healthcare,Drug Manufacturers - General,266.73,10390341.0,1.27,0.29,6.43,4.74,2.77,2.77,2.77,642.79
IQV,IQV,Healthcare,Diagnostics & Research,242.94,4675230.0,3.52,13.94,20.49,27.1,1.14,1.14,1.14,40.55
IOND,IOND,Financial Services,Capital Markets,62.9,1561606.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0
SHW,SHW,Basic Materials,Specialty Chemicals,354.27,3745539.0,1.6,8.25,11.24,2.96,1.33,1.33,1.33,87.38
GOOG,Alphabet,Communication Services,Internet Content & Information,332.6,20880881.0,0.8,1.85,-3.93,-0.62,6.94,6.94,6.94,4067.68
DIS,Disney,Communication Services,Entertainment,98.89,9119006.0,0.83,2.32,2.86,0.1,0.9,0.9,0.9,171.72
NOK,NOK,Technology,Communication Equipment,8.93,107823243.0,0.91,-3.77,-15.99,-31.36,0.96,0.96,0.96,49.85
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,88.27,31976054.0,2.27,5.0,7.69,6.83,2.82,2.82,2.82,379.78
RGEN,RGEN,Healthcare,Medical Instruments & Supplies,145.34,2437089.0,1.17,10.9,6.1,-1.14,0.35,0.35,0.35,8.2
^IXIC,Nasdaq,Index,Market Index,24876.91,7572789000.0,0.99,-0.22,-3.72,-1.66,188387.61,188387.61,188387.61,0.0
WMT,Walmart,Consumer Defensive,Discount Stores,113.1,23838807.0,1.13,1.22,2.45,-2.24,2.7,2.7,2.7,900.06
ADBE,Adobe,Technology,Software - Application,249.18,7889783.0,1.64,4.81,9.69,22.91,1.97,1.97,1.97,99.05
ONDS,ONDS,Technology,Communication Equipment,7.86,61574729.0,0.43,-2.0,2.61,0.38,0.48,0.48,0.48,4.48
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1220.66,2374056.0,1.3,1.93,3.85,1.04,2.9,2.9,2.9,1088.51
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,263.2,5188767.0,1.08,2.45,2.77,3.89,1.37,1.37,1.37,465.02
TSM,TSMC,Technology,Semiconductors,392.31,18055646.0,1.31,-1.7,-7.61,-9.26,7.08,7.08,7.08,2034.71
PLUG,PLUG,Industrials,Electrical Equipment & Parts,1.96,82651405.0,2.11,-4.85,-13.66,-22.83,0.16,0.16,0.16,2.73
LCID,LCID,Consumer Cyclical,Auto Manufacturers,7.9,39606602.0,3.51,21.54,7.92,33.45,0.31,0.31,0.31,3.08
^VIX,VIX,Index,Market Index,18.21,0.0,0.0,-2.46,6.8,-1.09,0.0,0.0,0.0,0.0
T,T,Communication Services,Telecom Services,24.66,50553014.0,0.43,0.98,10.78,8.54,1.25,1.25,1.25,168.98
AAPL,Apple,Technology,Consumer Electronics,340.08,50765695.0,1.16,0.94,3.77,19.84,17.26,17.26,17.26,4994.88
SOUN,SOUN,Technology,Software - Application,6.24,41245179.0,1.03,-2.65,-4.81,-2.65,0.26,0.26,0.26,2.72
GLW,GLW,Technology,Electronic Components,126.01,44125982.0,4.23,-12.1,-22.41,-42.99,5.56,5.56,5.56,108.45
CRM,Salesforce,Technology,Software - Application,181.5,17126230.0,1.3,4.55,6.73,14.61,3.11,3.11,3.11,148.65
QCOM,Qualcomm,Technology,Semiconductors,162.88,15382725.0,1.42,-4.21,-6.12,-14.0,2.51,2.51,2.51,171.68
PATH,PATH,Technology,Software - Infrastructure,12.19,45086917.0,0.5,4.91,1.25,15.76,0.55,0.55,0.55,6.32
KNSA,KNSA,Healthcare,Drug Manufacturers - Specialty & Generic,79.44,2838856.0,5.47,25.03,25.0,34.19,0.23,0.23,0.23,6.11
^GSPC,S&P 500,Index,Market Index,7428.78,3656681000.0,0.72,0.21,-1.07,1.02,27164.68,27164.68,27164.68,0.0
