Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
DIS,Disney,Communication Services,Entertainment,95.87,8812235.0,0.92,-0.28,-1.32,-6.42,0.84,0.84,0.84,166.48
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,253.3,4789383.0,0.83,-1.09,3.76,10.13,1.21,1.21,1.21,447.53
SOUN,SOUN,Technology,Software - Application,6.46,36805691.0,0.98,-1.45,-0.62,-6.1,0.24,0.24,0.24,2.81
HG=F,Copper (銅),Index,Market Index,6.49,92.0,0.08,-0.38,3.07,2.05,0.0,0.0,0.0,0.0
EQNR,EQNR,Energy,Oil & Gas Integrated,39.96,5199195.0,1.28,6.3,11.4,21.57,0.21,0.21,0.21,94.96
BAC,Bank of America,Financial Services,Banks - Diversified,61.62,51471065.0,1.37,0.65,0.05,7.41,3.17,3.17,3.17,432.45
RIOT,RIOT,Financial Services,Capital Markets,23.38,27820342.0,1.65,8.79,16.32,-18.34,0.65,0.65,0.65,8.84
WEGZY,WEGZY,Industrials,Electrical Equipment & Parts,9.25,28481.0,0.93,10.51,6.44,-4.34,0.0,0.0,0.0,38.81
AMAT,Applied Mat,Technology,Semiconductor Equipment & Materials,553.92,4931808.0,0.6,-1.88,-4.4,-13.47,2.73,2.73,2.73,439.79
MU,Micron,Technology,Semiconductors,959.48,30291568.0,0.6,-1.17,6.1,-20.79,29.06,29.06,29.06,1083.63
CRK,CRK,Energy,Oil & Gas E&P,14.02,2326083.0,1.02,5.57,7.27,4.24,0.03,0.03,0.03,4.12
V,Visa,Financial Services,Credit Services,353.42,4617326.0,0.59,-0.67,-0.48,8.21,1.63,1.63,1.63,672.11
KSS,KSS,Consumer Cyclical,Department Stores,19.08,3332491.0,1.12,5.24,11.58,8.41,0.06,0.06,0.06,2.16
SI=F,Silver (白銀),Index,Market Index,59.88,409.0,0.33,1.77,4.84,-8.63,0.0,0.0,0.0,0.0
VG,VG,Energy,Oil & Gas Midstream,14.82,20851838.0,1.22,5.41,14.79,31.62,0.31,0.31,0.31,36.82
HRC=F,Steel (熱軋鋼),Index,Market Index,1192.0,207.0,14.58,3.29,3.29,6.43,0.0,0.0,0.0,0.0
T,T,Communication Services,Telecom Services,23.04,187232347.0,2.0,3.5,7.51,4.25,4.31,4.31,4.31,160.09
BMNR,BMNR,Financial Services,Capital Markets,17.74,35004321.0,1.0,2.96,12.35,11.85,0.62,0.62,0.62,10.7
AMZN,Amazon,Consumer Cyclical,Internet Retail,244.85,33166965.0,0.85,-1.09,-3.97,5.18,8.12,8.12,8.12,2633.88
SOFI,SOFI,Financial Services,Credit Services,17.07,89319456.0,1.11,-3.23,-4.48,-0.18,1.52,1.52,1.52,21.9
IREN,IREN,Financial Services,Capital Markets,41.28,40847104.0,0.76,-0.02,7.84,-27.41,1.69,1.69,1.69,14.75
CDE,CDE,Basic Materials,Gold,15.84,49532390.0,1.83,3.53,-0.44,-9.33,0.78,0.78,0.78,16.32
NU,NU,Financial Services,Banks - Regional,14.51,94354543.0,0.6,0.83,4.54,13.45,1.37,1.37,1.37,70.09
CACI,CACI,Technology,Information Technology Services,467.43,204560.0,0.83,6.05,-0.93,3.94,0.1,0.1,0.1,10.33
LQDA,LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,87.04,3328654.0,3.03,7.6,11.95,15.3,0.29,0.29,0.29,7.74
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,82.2,11598150.0,0.6,0.28,-0.3,3.36,0.95,0.95,0.95,353.66
BMA,BMA,Financial Services,Banks - Regional,97.63,436412.0,1.89,5.24,1.23,0.36,0.04,0.04,0.04,6.24
^DJI,Dow Jones,Index,Market Index,52218.58,449101175.0,0.94,-0.01,-0.84,0.98,23451.42,23451.42,23451.42,0.0
NFLX,Netflix,Communication Services,Entertainment,68.53,44662255.0,0.6,-0.2,-6.99,-5.97,3.06,3.06,3.06,285.35
UNH,UnitedHealth,Healthcare,Healthcare Plans,431.31,3295997.0,0.39,-1.16,3.06,6.06,1.42,1.42,1.42,391.69
CIFR,CIFR,Technology,Information Technology Services,24.46,24331002.0,0.8,6.86,23.1,-13.08,0.6,0.6,0.6,10.01
ADBE,Adobe,Technology,Software - Application,218.36,4330358.0,0.77,-3.87,-2.76,12.04,0.95,0.95,0.95,86.8
ORCL,Oracle,Technology,Software - Infrastructure,125.84,20859306.0,0.5,-0.95,-5.02,-28.12,2.62,2.62,2.62,362.48
LLY,Eli Lilly,Healthcare,Drug Manufacturers - General,1163.01,1551867.0,0.6,-1.05,0.55,5.53,1.8,1.8,1.8,1037.1
SMCI,Super Micro,Technology,Computer Hardware,30.56,162073657.0,4.77,19.84,13.65,-13.82,4.95,4.95,4.95,19.77
^SOX,PHLX Semi,Index,Market Index,12410.67,0.0,0.0,0.44,0.09,-15.2,0.0,0.0,0.0,0.0
PAG,PAG,Consumer Cyclical,Auto & Truck Dealerships,214.57,2452818.0,7.4,9.93,7.07,22.61,0.53,0.53,0.53,14.11
WAB,WAB,Industrials,Railroads,290.0,3262143.0,3.56,10.04,11.66,4.79,0.95,0.95,0.95,49.21
AVGO,Broadcom,Technology,Semiconductors,396.81,15131620.0,0.8,2.67,0.64,1.19,6.0,6.0,6.0,1887.86
WMT,Walmart,Consumer Defensive,Discount Stores,109.33,23456899.0,1.11,-0.96,-2.84,-6.7,2.56,2.56,2.56,870.06
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,154.45,13651842.0,0.96,1.81,6.88,11.54,2.11,2.11,2.11,640.19
PLSE,PLSE,Healthcare,Medical Instruments & Supplies,32.76,589498.0,2.36,8.26,24.47,27.42,0.02,0.02,0.02,2.27
MSFT,Microsoft,Technology,Software - Infrastructure,390.34,27810955.0,0.88,-1.86,-1.34,6.26,10.86,10.86,10.86,2899.62
JNJ,J&J,Healthcare,Drug Manufacturers - General,255.63,8621330.0,0.9,2.0,3.49,10.52,2.2,2.2,2.2,615.36
RIG,RIG,Energy,Oil & Gas Drilling,5.3,42522582.0,1.29,1.15,1.92,-2.03,0.23,0.23,0.23,5.87
AAPL,Apple,Technology,Consumer Electronics,325.89,38603904.0,0.68,-0.56,-0.49,9.72,12.58,12.58,12.58,4786.46
BRK-B,Berkshire,Financial Services,Insurance - Diversified,489.39,3165847.0,0.69,-0.05,0.21,0.14,1.55,1.55,1.55,1055.54
OPEN,OPEN,Real Estate,Real Estate Services,4.38,95417654.0,0.92,-2.23,-7.79,2.34,0.42,0.42,0.42,4.23
EQT,EQT,Energy,Oil & Gas E&P,54.01,17794788.0,2.51,8.45,9.66,4.19,0.96,0.96,0.96,33.78
GC=F,Gold (黃金),Index,Market Index,4126.9,2522.0,7.05,1.37,2.05,-1.32,0.01,0.01,0.01,0.0
ONDS,ONDS,Technology,Communication Equipment,8.0,171868206.0,0.93,4.44,13.48,-10.01,1.37,1.37,1.37,4.56
ACHR,ACHR,Industrials,Aerospace & Defense,5.18,36917717.0,0.82,-1.89,8.37,-4.6,0.19,0.19,0.19,3.95
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,331.45,2903180.0,0.75,-0.05,-2.93,1.48,0.96,0.96,0.96,330.49
MSTR,MicroStrategy,Technology,Software - Application,100.01,12994125.0,0.86,-1.9,2.61,-8.63,1.3,1.3,1.3,36.54
NRG,NRG,Utilities,Utilities - Independent Power Producers,139.98,2579015.0,1.18,6.37,1.51,0.77,0.36,0.36,0.36,29.53
CRM,Salesforce,Technology,Software - Application,163.0,9921632.0,0.8,-4.15,-2.4,8.58,1.62,1.62,1.62,133.5
ARWR,ARWR,Healthcare,Biotechnology,88.7,6988383.0,2.85,19.03,23.5,8.17,0.62,0.62,0.62,12.49
QCOM,Qualcomm,Technology,Semiconductors,175.63,7728968.0,0.6,1.23,-1.32,-20.85,1.36,1.36,1.36,185.11
NOK,NOK,Technology,Communication Equipment,10.28,85741086.0,0.77,-3.29,-8.62,-28.76,0.88,0.88,0.88,57.39
^VIX,VIX,Index,Market Index,16.64,0.0,0.0,-2.4,6.19,-3.7,0.0,0.0,0.0,0.0
SSMR,SSMR,Basic Materials,Other Industrial Metals & Mining,14.96,281934.0,3.8,5.65,12.99,7.78,0.0,0.0,0.0,2.15
PATH,PATH,Technology,Software - Infrastructure,10.7,103941940.0,0.78,-11.13,-10.46,5.31,1.11,1.11,1.11,5.54
AYA,AYA,Basic Materials,Silver,20.9,769930.0,1.59,8.52,5.82,5.88,0.02,0.02,0.02,3.0
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,166.12,6899193.0,0.87,-5.53,-0.65,0.78,1.15,1.15,1.15,43.77
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,374.01,27489260.0,0.87,-1.3,-5.18,-7.66,10.28,10.28,10.28,1404.68
DELL,DELL,Technology,Computer Hardware,441.8,7151847.0,0.97,9.32,7.06,5.51,3.16,3.16,3.16,285.47
JPM,JPMorgan,Financial Services,Banks - Diversified,348.21,7882375.0,0.85,0.86,0.37,5.05,2.74,2.74,2.74,925.61
LRCX,Lam Research,Technology,Semiconductor Equipment & Materials,319.29,6316324.0,0.59,-0.84,-4.81,-22.04,2.02,2.02,2.02,399.29
FTAI,FTAI,Industrials,Aerospace & Defense,222.49,2642132.0,1.94,5.82,4.06,-18.22,0.59,0.59,0.59,22.82
SPCX,SPCX,Industrials,Aerospace & Defense,115.26,90188695.0,1.34,-6.7,-14.79,-25.45,10.4,10.4,10.4,1518.46
BBD,BBD,Financial Services,Banks - Regional,3.73,36333572.0,1.1,1.91,3.04,8.75,0.14,0.14,0.14,39.43
AAL,AAL,Industrials,Airlines,14.79,118238137.0,0.73,-3.21,-5.37,-8.02,1.75,1.75,1.75,9.78
SKM,SKM,Communication Services,Telecom Services,33.94,2250175.0,0.95,6.23,5.21,-1.34,0.08,0.08,0.08,13.03
F,F,Consumer Cyclical,Auto Manufacturers,14.42,61830715.0,1.37,1.05,1.69,2.2,0.89,0.89,0.89,57.46
NG,NG,Basic Materials,Gold,6.21,25106960.0,7.26,10.3,8.95,-17.86,0.16,0.16,0.16,2.72
JOBY,JOBY,Industrials,Airports & Air Services,7.63,39808503.0,0.56,-0.39,-1.68,-22.62,0.3,0.3,0.3,7.51
META,Meta,Communication Services,Internet Content & Information,627.17,10616447.0,0.69,-2.58,-7.95,11.23,6.66,6.66,6.66,1592.02
^IXIC,Nasdaq,Index,Market Index,25690.9,6651314000.0,0.86,-0.57,-2.2,-1.82,170878.26,170878.26,170878.26,0.0
^GSPC,S&P 500,Index,Market Index,7498.96,2989299000.0,0.57,-0.14,-0.97,0.35,22416.63,22416.63,22416.63,0.0
SMR,SMR,Industrials,Specialty Industrial Machinery,8.68,37753435.0,1.3,-0.34,3.83,-22.78,0.33,0.33,0.33,3.0
COST,Costco,Consumer Defensive,Discount Stores,927.31,1753246.0,0.8,-0.21,1.18,-2.53,1.63,1.63,1.63,411.24
NVDA,NVIDIA,Technology,Semiconductors,212.06,128176151.0,1.09,2.3,-0.21,1.63,27.18,27.18,27.18,5136.31
EGO,EGO,Basic Materials,Gold,32.09,2056570.0,1.15,5.35,9.0,-0.86,0.07,0.07,0.07,8.36
MARA,MARA,Financial Services,Capital Markets,12.41,42432659.0,0.72,1.31,0.98,-16.43,0.53,0.53,0.53,4.73
RPM,RPM,Basic Materials,Specialty Chemicals,107.43,1613260.0,1.62,5.81,4.26,-0.12,0.17,0.17,0.17,13.76
BTC-USD,Bitcoin,Crypto,Cryptocurrency,65976.19,28106299392.0,1.2,-0.8,3.25,9.95,1854346.48,1854346.48,1854346.48,0.0
AMD,AMD,Technology,Semiconductors,552.33,24428871.0,0.88,1.45,4.38,0.13,13.49,13.49,13.49,900.63
CL=F,Crude Oil (原油),Index,Market Index,88.2,5332.0,0.04,3.87,10.8,17.88,0.0,0.0,0.0,0.0
PLTR,Palantir,Technology,Software - Infrastructure,124.57,38141414.0,1.36,-6.1,-6.87,4.24,4.75,4.75,4.75,298.63
PG,P&G,Consumer Defensive,Household & Personal Products,149.13,5331015.0,0.77,0.7,0.73,0.98,0.8,0.8,0.8,347.26
AMC,AMC,Communication Services,Entertainment,2.25,41150514.0,0.53,2.27,8.7,-18.48,0.09,0.09,0.09,2.01
MA,Mastercard,Financial Services,Credit Services,531.98,2312132.0,0.78,-1.17,-0.6,9.89,1.23,1.23,1.23,470.05
TSM,TSMC,Technology,Semiconductors,421.21,9028630.0,0.49,-0.8,0.41,-9.93,3.8,3.8,3.8,2184.59
INTC,Intel,Technology,Semiconductors,102.62,76785571.0,0.7,-2.68,-0.36,-27.19,7.88,7.88,7.88,515.77
TXN,Texas Inst,Technology,Semiconductors,294.19,10243668.0,1.4,0.99,-2.32,-11.46,3.01,3.01,3.01,267.74
