Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
HG=F,Copper (銅),Index,Market Index,6.33,120.0,0.12,1.77,1.56,-2.34,0.0,0.0,0.0,0.0
NFLX,Netflix,Communication Services,Entertainment,67.6,59580599.0,0.93,-1.96,-8.44,-12.16,4.03,4.03,4.03,284.65
QCOM,Qualcomm,Technology,Semiconductors,170.32,9635338.0,0.71,-0.85,-7.42,-20.03,1.64,1.64,1.64,179.52
^DJI,Dow Jones,Index,Market Index,51839.26,400285661.0,0.82,-0.59,-1.26,0.67,20750.51,20750.51,20750.51,0.0
ACHR,ACHR,Industrials,Aerospace & Defense,5.31,95667839.0,3.73,19.59,16.7,-0.93,0.51,0.51,0.51,4.05
MSFT,Microsoft,Technology,Software - Infrastructure,402.29,27729614.0,0.85,2.15,2.89,6.17,11.16,11.16,11.16,2988.39
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.13,35550388.0,0.72,-1.84,-1.84,-19.62,0.08,0.08,0.08,2.97
AXTI,AXTI,Technology,Semiconductor Equipment & Materials,48.83,6664774.0,0.71,6.48,-3.23,-46.99,0.33,0.33,0.33,3.19
AAL,AAL,Industrials,Airlines,15.14,165449523.0,0.98,1.07,-7.17,-1.82,2.5,2.5,2.5,10.01
MARA,MARA,Financial Services,Capital Markets,11.67,60659809.0,1.32,9.17,-4.27,-16.16,0.71,0.71,0.71,4.45
HD,Home Depot,Consumer Cyclical,Home Improvement Retail,333.04,4123193.0,1.11,-1.72,-1.21,1.7,1.37,1.37,1.37,332.08
IREN,IREN,Financial Services,Capital Markets,40.2,89872144.0,2.29,19.57,3.13,-30.82,3.61,3.61,3.61,14.37
PLTR,Palantir,Technology,Software - Infrastructure,134.85,30202806.0,0.86,1.87,3.7,3.23,4.07,4.07,4.07,323.28
TSLA,Tesla,Consumer Cyclical,Auto Manufacturers,369.57,32893543.0,1.11,-2.96,-6.38,-6.76,12.16,12.16,12.16,1388.0
CRWV,CoreWeave,Technology,Software - Infrastructure,73.06,21983744.0,0.85,-0.2,-12.3,-36.59,1.61,1.61,1.61,39.86
SPCX,SPCX,Industrials,Aerospace & Defense,119.85,56256348.0,0.88,-3.34,-13.86,-37.52,6.74,6.74,6.74,1578.93
AGX,AGX,Industrials,Engineering & Construction,602.18,475663.0,1.26,9.24,0.41,-16.31,0.29,0.29,0.29,8.44
BAC,Bank of America,Financial Services,Banks - Diversified,60.42,30720830.0,0.76,-1.39,1.55,6.88,1.86,1.86,1.86,424.03
ONDS,ONDS,Technology,Communication Equipment,6.87,186157416.0,1.39,5.29,-1.29,-24.67,1.28,1.28,1.28,3.91
^SOX,PHLX Semi,Index,Market Index,11743.85,0.0,0.0,0.6,-4.89,-12.86,0.0,0.0,0.0,0.0
CORZ,CORZ,Technology,Software - Infrastructure,22.4,11648448.0,1.47,6.97,-1.37,-21.07,0.26,0.26,0.26,7.12
