Code,Name,Sector,Industry,Close,Volume,RVOL,Daily_Chg%,Weekly_Chg%,Monthly_Chg%,Daily_Amount_B,Weekly_Amount_B,Monthly_Amount_B,Market_Cap_B
GOOG,Alphabet,Communication Services,Internet Content & Information,356.56,28432993.0,1.19,0.92,-3.44,-7.1,10.14,10.14,10.14,4348.23
IREN,IREN,Financial Services,Capital Markets,56.71,46546454.0,0.93,10.07,-8.33,0.27,2.64,2.64,2.64,20.27
RGTI,RGTI,Technology,Computer Hardware,20.63,44629537.0,1.04,6.09,-14.61,8.18,0.92,0.92,0.92,6.86
UNH,UnitedHealth,Healthcare,Healthcare Plans,405.55,4915933.0,0.54,-0.47,2.29,2.31,1.99,1.99,1.99,368.3
AMZN,Amazon,Consumer Cyclical,Internet Retail,241.51,40192069.0,0.97,1.47,-4.84,-9.15,9.71,9.71,9.71,2597.95
CRWV,CoreWeave,Technology,Software - Infrastructure,95.74,21941606.0,0.86,0.14,-11.38,-11.15,2.1,2.1,2.1,52.23
ADBE,Adobe,Technology,Software - Application,218.8,15006727.0,2.81,-6.25,-15.33,-9.15,3.28,3.28,3.28,88.44
CRM,Salesforce,Technology,Software - Application,166.45,14633383.0,1.12,-2.62,-11.81,-2.84,2.44,2.44,2.44,136.32
NOK,NOK,Technology,Communication Equipment,14.09,92824172.0,0.66,5.15,-15.22,6.99,1.31,1.31,1.31,78.66
^IXIC,Nasdaq,Index,Market Index,25809.66,8863106000.0,0.85,2.54,-3.81,-1.07,228753.75,228753.75,228753.75,0.0
TEO,TEO,Communication Services,Telecom Services,15.98,1945825.0,4.01,12.3,20.79,36.7,0.03,0.03,0.03,6.88
WMT,Walmart,Consumer Defensive,Discount Stores,120.5,20323780.0,0.81,-0.07,2.34,-7.56,2.45,2.45,2.45,958.95
CPNG,CPNG,Consumer Cyclical,Internet Retail,17.25,67806999.0,2.02,14.09,4.36,8.49,1.17,1.17,1.17,30.96
UCTT,UCTT,Technology,Semiconductor Equipment & Materials,104.83,1459108.0,1.15,15.32,11.89,26.32,0.15,0.15,0.15,4.7
QCOM,Qualcomm,Technology,Semiconductors,202.96,18835550.0,0.91,6.15,-16.33,-3.49,3.82,3.82,3.82,213.92
JPM,JPMorgan,Financial Services,Banks - Diversified,313.49,6303333.0,0.7,1.41,0.84,2.82,1.98,1.98,1.98,840.0
^SOX,PHLX Semi,Index,Market Index,13171.44,0.0,0.0,7.91,-3.28,12.41,0.0,0.0,0.0,0.0
CL=F,Crude Oil (原油),Index,Market Index,85.87,4355.0,0.02,-4.62,-7.71,-15.96,0.0,0.0,0.0,0.0
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,146.6,12281539.0,0.82,-2.67,-3.58,-2.68,1.8,1.8,1.8,607.65
VOYG,VOYG,Industrials,Aerospace & Defense,47.87,5665537.0,2.28,15.96,0.36,63.94,0.27,0.27,0.27,2.84
KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,82.53,10475839.0,0.53,-1.27,7.43,3.12,0.86,0.86,0.86,355.08
MSTR,MicroStrategy,Technology,Software - Application,120.15,17397745.0,0.69,4.16,-7.13,-34.85,2.09,2.09,2.09,42.45
FLY,FLY,Industrials,Aerospace & Defense,39.37,10060066.0,1.75,17.8,-4.74,0.13,0.4,0.4,0.4,6.47
PLUG,PLUG,Industrials,Electrical Equipment & Parts,2.83,45608735.0,0.78,-1.05,-21.39,-20.51,0.13,0.13,0.13,3.95
BAC,Bank of America,Financial Services,Banks - Diversified,55.16,31705136.0,0.83,1.14,1.83,8.63,1.75,1.75,1.75,391.45
ATRO,ATRO,Industrials,Aerospace & Defense,94.8,1271800.0,2.0,15.13,8.55,21.13,0.12,0.12,0.12,3.4
^GSPC,S&P 500,Index,Market Index,7394.3,3527515000.0,0.65,1.75,-2.51,-0.09,26083.5,26083.5,26083.5,0.0
RDW,RDW,Industrials,Aerospace & Defense,17.09,67782595.0,1.29,14.93,-20.25,47.84,1.16,1.16,1.16,3.4
PFE,PFE,Healthcare,Drug Manufacturers - General,26.17,45171147.0,1.32,2.23,1.87,1.16,1.18,1.18,1.18,149.15
V,Visa,Financial Services,Credit Services,319.05,5947091.0,0.93,-1.21,-0.35,-2.26,1.9,1.9,1.9,606.75
GRAB,GRAB,Technology,Software - Application,3.35,62416565.0,1.29,2.45,-3.18,-7.97,0.21,0.21,0.21,13.7
PG,P&G,Consumer Defensive,Household & Personal Products,148.34,4785309.0,0.57,-0.48,5.37,3.08,0.71,0.71,0.71,345.42
LUNR,LUNR,Industrials,Aerospace & Defense,30.64,21825283.0,1.9,15.47,-8.89,-4.52,0.67,0.67,0.67,4.92
AMD,AMD,Technology,Semiconductors,488.45,29108151.0,0.87,7.97,-6.64,8.96,14.22,14.22,14.22,796.47
AVGO,Broadcom,Technology,Semiconductors,385.57,33809601.0,0.69,3.62,-7.96,-8.04,13.04,13.04,13.04,1834.38
MRVL,MRVL,Technology,Semiconductors,280.71,56567944.0,0.68,11.13,-11.29,70.64,15.88,15.88,15.88,245.78
FORM,FORM,Technology,Semiconductor Equipment & Materials,130.24,1192110.0,0.78,12.46,2.87,-1.35,0.16,0.16,0.16,10.15
NU,NU,Financial Services,Banks - Regional,12.09,49645947.0,0.92,4.04,-0.25,-8.89,0.6,0.6,0.6,58.78
ORCL,Oracle,Technology,Software - Infrastructure,184.1,63236517.0,2.28,-8.53,-22.1,-1.46,11.64,11.64,11.64,529.48
TSM,TSMC,Technology,Semiconductors,421.07,13751483.0,0.9,3.01,-5.36,5.99,5.79,5.79,5.79,2183.87
ONTO,ONTO,Technology,Semiconductor Equipment & Materials,303.53,1357076.0,1.2,12.7,10.47,9.21,0.41,0.41,0.41,15.1
BRK-B,Berkshire,Financial Services,Insurance - Diversified,485.79,3975092.0,0.69,0.44,1.5,0.17,1.93,1.93,1.93,1047.78
ABBV,AbbVie,Healthcare,Drug Manufacturers - General,224.77,4488049.0,0.85,-0.08,-0.08,8.14,1.01,1.01,1.01,397.12
VSAT,VSAT,Technology,Communication Equipment,72.71,3457308.0,1.16,18.23,-0.3,2.42,0.25,0.25,0.25,9.93
BBAR,BBAR,Financial Services,Banks - Regional,20.19,1626916.0,3.21,14.33,13.75,35.23,0.03,0.03,0.03,4.12
META,Meta,Communication Services,Internet Content & Information,568.43,16355426.0,0.78,-0.45,-9.42,-5.73,9.3,9.3,9.3,1442.92
COIN,Coinbase,Financial Services,Financial Data & Stock Exchanges,160.43,6879536.0,0.7,4.2,-2.25,-22.74,1.1,1.1,1.1,42.27
F,F,Consumer Cyclical,Auto Manufacturers,14.71,39399512.0,0.79,2.87,-4.11,22.69,0.58,0.58,0.58,58.61
^DJI,Dow Jones,Index,Market Index,50848.75,518692354.0,0.96,1.86,-1.38,2.19,26374.86,26374.86,26374.86,0.0
ICHR,ICHR,Technology,Semiconductor Equipment & Materials,84.04,1299689.0,1.22,16.45,18.27,14.68,0.11,0.11,0.11,2.93
SNDK,SNDK,Technology,Computer Hardware,1881.51,13440811.0,1.15,14.5,6.92,29.58,25.29,25.29,25.29,278.63
ALK,ALK,Industrials,Airlines,46.66,3862042.0,1.08,11.95,9.3,20.48,0.18,0.18,0.18,5.2
ACMR,ACMR,Technology,Semiconductor Equipment & Materials,91.7,1297168.0,0.83,14.68,1.66,45.58,0.12,0.12,0.12,6.34
HG=F,Copper (銅),Index,Market Index,6.4,286.0,0.58,2.37,-1.75,-1.36,0.0,0.0,0.0,0.0
PLTR,Palantir,Technology,Software - Infrastructure,131.08,26450100.0,0.75,0.67,-7.49,-3.62,3.47,3.47,3.47,314.24
